patch_cycle,server_id,kb_or_advisory,severity,deployment_ring,result,installed_at,reboot_required,exception_id
2026-02,SRV-020,KB5015870,Critical,Ring-1,Installed,2026-02-20T22:00,Yes,
2026-02,SRV-021,KB5071552,Moderate,Ring-0,Installed,2026-02-16T22:00,No,
2026-02,SRV-022,KB5076431,Important,Ring-0,Installed,2026-02-19T22:00,No,
2026-02,SRV-023,KB5062774,Moderate,Ring-2,Installed,2026-02-16T22:00,Yes,
2026-02,SRV-024,KB5038930,Critical,Ring-1,Installed,2026-02-18T22:00,No,
2026-02,SRV-025,KB5005003,Moderate,Ring-1,Installed,2026-02-21T22:00,No,
2026-02,SRV-026,KB5006938,Moderate,Ring-1,Installed,2026-02-14T22:00,No,
2026-02,SRV-027,KB5036547,Critical,Ring-2,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-028,KB5039342,Important,Ring-0,Installed,2026-02-15T22:00,No,
2026-02,SRV-029,KB5053997,Critical,Ring-0,Installed,2026-02-10T22:00,No,
2026-02,SRV-030,KB5085095,Critical,Ring-1,Installed,2026-02-18T22:00,Yes,
2026-02,SRV-031,KB5059817,Important,Ring-2,Installed,2026-02-11T22:00,No,
2026-02,SRV-032,KB5016240,Important,Ring-2,Installed,2026-02-16T22:00,No,
2026-02,SRV-033,KB5071583,Critical,Ring-1,Installed,2026-02-18T22:00,No,
2026-02,SRV-034,KB5041175,Important,Ring-1,Installed,2026-02-18T22:00,No,
2026-02,SRV-035,KB5015092,Moderate,Ring-2,Installed,2026-02-10T22:00,No,
2026-02,SRV-036,KB5070115,Important,Ring-1,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-037,KB5061563,Important,Ring-0,Installed,2026-02-10T22:00,Yes,
2026-02,SRV-038,KB5088125,Moderate,Ring-2,Installed,2026-02-13T22:00,No,
2026-02,SRV-039,KB5022720,Important,Ring-1,Installed,2026-02-16T22:00,No,
2026-02,SRV-040,KB5080210,Important,Ring-2,Installed,2026-02-21T22:00,No,
2026-02,SRV-041,KB5051696,Critical,Ring-1,Installed,2026-02-11T22:00,No,
2026-02,SRV-042,KB5063227,Critical,Ring-0,Installed,2026-02-18T22:00,Yes,
2026-02,SRV-043,KB5095829,Important,Ring-0,Installed,2026-02-21T22:00,No,
2026-02,SRV-044,KB5009175,Important,Ring-2,Installed,2026-02-13T22:00,No,
2026-02,SRV-045,KB5051423,Critical,Ring-2,Installed,2026-02-22T22:00,Yes,
2026-02,SRV-046,KB5025936,Critical,Ring-1,Installed,2026-02-21T22:00,No,
2026-02,SRV-047,KB5089763,Moderate,Ring-2,Installed,2026-02-18T22:00,Yes,
2026-02,SRV-048,KB5033143,Important,Ring-2,Installed,2026-02-16T22:00,Yes,
2026-02,SRV-049,KB5074320,Important,Ring-1,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-050,KB5051661,Important,Ring-2,Installed,2026-02-14T22:00,No,
2026-02,SRV-051,KB5033647,Moderate,Ring-2,Installed,2026-02-20T22:00,Yes,
2026-02,SRV-052,KB5014278,Moderate,Ring-1,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-053,KB5070893,Moderate,Ring-0,Installed,2026-02-10T22:00,No,
2026-02,SRV-054,KB5069604,Moderate,Ring-0,Installed,2026-02-13T22:00,No,
2026-02,SRV-055,KB5021432,Moderate,Ring-0,Installed,2026-02-10T22:00,No,
2026-02,SRV-056,KB5077230,Critical,Ring-2,Installed,2026-02-10T22:00,Yes,
2026-02,SRV-057,KB5042119,Critical,Ring-2,Installed,2026-02-14T22:00,No,
2026-02,SRV-058,KB5055878,Moderate,Ring-1,Installed,2026-02-16T22:00,No,
2026-02,SRV-059,KB5010437,Moderate,Ring-1,Installed,2026-02-12T22:00,No,
2026-02,SRV-060,KB5041436,Critical,Ring-0,Installed,2026-02-22T22:00,Yes,
2026-03,SRV-001,KB5016099,Important,Ring-1,Failed,2026-03-20T22:00,Yes,EXC-3001
2026-03,SRV-002,KB5034981,Moderate,Ring-0,Installed,2026-03-22T22:00,Yes,
2026-03,SRV-003,KB5054688,Critical,Ring-2,Installed,2026-03-20T22:00,No,
2026-03,SRV-004,KB5095450,Moderate,Ring-2,Installed,2026-03-21T22:00,No,
2026-03,SRV-005,KB5029648,Critical,Ring-0,Installed,2026-03-15T22:00,Yes,
2026-03,SRV-006,KB5040725,Critical,Ring-1,Installed,2026-03-10T22:00,Yes,
2026-03,SRV-007,KB5042006,Important,Ring-2,Installed,2026-03-16T22:00,No,
2026-03,SRV-008,KB5094016,Moderate,Ring-2,Installed,2026-03-12T22:00,No,
2026-03,SRV-009,KB5093704,Important,Ring-2,Installed,2026-03-10T22:00,No,
2026-03,SRV-010,KB5001820,Critical,Ring-1,Installed,2026-03-11T22:00,Yes,
2026-03,SRV-011,KB5085275,Important,Ring-1,Installed,2026-03-13T22:00,No,
2026-03,SRV-012,KB5048313,Critical,Ring-1,Installed,2026-03-13T22:00,Yes,
2026-03,SRV-013,KB5048425,Moderate,Ring-1,Pending Reboot,2026-03-15T22:00,Yes,
2026-03,SRV-014,KB5016708,Moderate,Ring-0,Installed,2026-03-22T22:00,Yes,
2026-03,SRV-015,KB5070994,Important,Ring-2,Installed,2026-03-21T22:00,No,
2026-03,SRV-016,KB5022744,Important,Ring-2,Installed,2026-03-14T22:00,Yes,
2026-03,SRV-017,KB5078904,Moderate,Ring-0,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-018,KB5078854,Critical,Ring-1,Pending Reboot,2026-03-14T22:00,No,
2026-03,SRV-019,KB5027789,Important,Ring-1,Installed,2026-03-20T22:00,Yes,
2026-03,SRV-020,KB5082521,Moderate,Ring-1,Installed,2026-03-16T22:00,Yes,
2026-03,SRV-021,KB5087602,Important,Ring-0,Pending Reboot,2026-03-22T22:00,No,
2026-03,SRV-022,KB5090906,Moderate,Ring-0,Installed,2026-03-11T22:00,No,
2026-03,SRV-023,KB5066425,Important,Ring-2,Installed,2026-03-21T22:00,Yes,
2026-03,SRV-024,KB5009566,Critical,Ring-1,Installed,2026-03-21T22:00,No,
2026-03,SRV-025,KB5060712,Moderate,Ring-1,Installed,2026-03-14T22:00,No,
2026-03,SRV-026,KB5096368,Important,Ring-1,Installed,2026-03-10T22:00,Yes,
2026-03,SRV-027,KB5018160,Moderate,Ring-2,Installed,2026-03-14T22:00,Yes,
2026-03,SRV-028,KB5041322,Important,Ring-0,Installed,2026-03-16T22:00,No,
2026-03,SRV-029,KB5007793,Important,Ring-0,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-030,KB5056460,Critical,Ring-1,Installed,2026-03-11T22:00,No,
2026-03,SRV-031,KB5045715,Moderate,Ring-2,Installed,2026-03-17T22:00,Yes,
2026-03,SRV-032,KB5043017,Critical,Ring-2,Installed,2026-03-22T22:00,Yes,
2026-03,SRV-033,KB5070142,Important,Ring-1,Installed,2026-03-16T22:00,Yes,
2026-03,SRV-034,KB5078110,Important,Ring-1,Failed,2026-03-14T22:00,No,EXC-3034
2026-03,SRV-035,KB5071702,Critical,Ring-2,Installed,2026-03-21T22:00,Yes,
2026-03,SRV-036,KB5008019,Moderate,Ring-1,Installed,2026-03-12T22:00,No,
2026-03,SRV-037,KB5027617,Critical,Ring-0,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-038,KB5061888,Moderate,Ring-2,Installed,2026-03-17T22:00,Yes,
2026-03,SRV-039,KB5044861,Moderate,Ring-1,Installed,2026-03-13T22:00,No,
2026-03,SRV-040,KB5031443,Important,Ring-2,Installed,2026-03-20T22:00,No,
2026-03,SRV-041,KB5024403,Moderate,Ring-1,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-042,KB5003290,Important,Ring-0,Installed,2026-03-20T22:00,Yes,
2026-03,SRV-043,KB5092649,Important,Ring-0,Installed,2026-03-21T22:00,No,
2026-03,SRV-044,KB5066190,Important,Ring-2,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-045,KB5045232,Moderate,Ring-2,Installed,2026-03-17T22:00,Yes,
2026-03,SRV-046,KB5030072,Moderate,Ring-1,Installed,2026-03-13T22:00,No,
2026-03,SRV-047,KB5027200,Critical,Ring-2,Installed,2026-03-10T22:00,No,
2026-03,SRV-048,KB5070712,Moderate,Ring-2,Installed,2026-03-18T22:00,Yes,
2026-03,SRV-049,KB5057657,Moderate,Ring-1,Installed,2026-03-12T22:00,No,
2026-03,SRV-050,KB5001982,Moderate,Ring-2,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-051,KB5066812,Critical,Ring-2,Installed,2026-03-19T22:00,Yes,
2026-03,SRV-052,KB5089406,Critical,Ring-1,Installed,2026-03-18T22:00,No,
2026-03,SRV-053,KB5047364,Moderate,Ring-0,Installed,2026-03-20T22:00,No,
2026-03,SRV-054,KB5068502,Important,Ring-0,Installed,2026-03-16T22:00,No,
2026-03,SRV-055,KB5095845,Critical,Ring-0,Installed,2026-03-17T22:00,No,
2026-03,SRV-056,KB5054991,Critical,Ring-2,Installed,2026-03-20T22:00,Yes,
2026-03,SRV-057,KB5083929,Important,Ring-2,Installed,2026-03-10T22:00,No,
2026-03,SRV-058,KB5058655,Critical,Ring-1,Installed,2026-03-18T22:00,No,
2026-03,SRV-059,KB5046750,Moderate,Ring-1,Installed,2026-03-17T22:00,No,
2026-03,SRV-060,KB5075991,Moderate,Ring-0,Installed,2026-03-10T22:00,No,
2026-04,SRV-001,KB5044748,Moderate,Ring-1,Installed,2026-04-12T22:00,Yes,
2026-04,SRV-002,KB5076732,Critical,Ring-0,Installed,2026-04-17T22:00,No,
2026-04,SRV-003,KB5002735,Moderate,Ring-2,Installed,2026-04-16T22:00,No,
2026-04,SRV-004,KB5032950,Important,Ring-2,Installed,2026-04-17T22:00,Yes,
2026-04,SRV-005,KB5019535,Important,Ring-0,Installed,2026-04-20T22:00,No,
2026-04,SRV-006,KB5035247,Critical,Ring-1,Installed,2026-04-20T22:00,Yes,
2026-04,SRV-007,KB5075255,Important,Ring-2,Installed,2026-04-11T22:00,No,
2026-04,SRV-008,KB5098172,Moderate,Ring-2,Installed,2026-04-10T22:00,Yes,
2026-04,SRV-009,KB5099259,Critical,Ring-2,Installed,2026-04-22T22:00,Yes,
2026-04,SRV-010,KB5080009,Moderate,Ring-1,Installed,2026-04-20T22:00,Yes,
2026-04,SRV-011,KB5082601,Important,Ring-1,Installed,2026-04-12T22:00,No,
2026-04,SRV-012,KB5083705,Important,Ring-1,Installed,2026-04-16T22:00,No,
2026-04,SRV-013,KB5008687,Critical,Ring-1,Installed,2026-04-17T22:00,No,
2026-04,SRV-014,KB5023979,Important,Ring-0,Installed,2026-04-15T22:00,Yes,
2026-04,SRV-015,KB5091882,Moderate,Ring-2,Installed,2026-04-10T22:00,Yes,
2026-04,SRV-016,KB5089743,Critical,Ring-2,Installed,2026-04-10T22:00,No,
2026-04,SRV-017,KB5050627,Critical,Ring-0,Installed,2026-04-20T22:00,No,
2026-04,SRV-018,KB5011872,Important,Ring-1,Installed,2026-04-12T22:00,No,
2026-04,SRV-019,KB5007787,Important,Ring-1,Failed,2026-04-14T22:00,Yes,EXC-4019
2026-04,SRV-020,KB5049486,Moderate,Ring-1,Installed,2026-04-21T22:00,Yes,
2026-04,SRV-021,KB5072068,Important,Ring-0,Failed,2026-04-10T22:00,No,EXC-4021
2026-04,SRV-022,KB5086958,Critical,Ring-0,Installed,2026-04-11T22:00,Yes,
2026-04,SRV-023,KB5017131,Important,Ring-2,Installed,2026-04-16T22:00,No,
2026-04,SRV-024,KB5036801,Important,Ring-1,Installed,2026-04-11T22:00,Yes,
2026-04,SRV-025,KB5051570,Critical,Ring-1,Installed,2026-04-16T22:00,Yes,
2026-04,SRV-026,KB5064414,Important,Ring-1,Installed,2026-04-18T22:00,Yes,
2026-04,SRV-027,KB5009489,Important,Ring-2,Installed,2026-04-11T22:00,Yes,
2026-04,SRV-028,KB5060179,Critical,Ring-0,Installed,2026-04-22T22:00,No,
2026-04,SRV-029,KB5033713,Important,Ring-0,Installed,2026-04-19T22:00,No,
2026-04,SRV-030,KB5094371,Critical,Ring-1,Installed,2026-04-21T22:00,Yes,
2026-04,SRV-031,KB5007989,Moderate,Ring-2,Installed,2026-04-15T22:00,No,
2026-04,SRV-032,KB5083586,Moderate,Ring-2,Installed,2026-04-16T22:00,No,
2026-04,SRV-033,KB5048544,Important,Ring-1,Installed,2026-04-22T22:00,Yes,
2026-04,SRV-034,KB5029527,Moderate,Ring-1,Installed,2026-04-13T22:00,Yes,
2026-04,SRV-035,KB5095450,Important,Ring-2,Installed,2026-04-20T22:00,No,
2026-04,SRV-036,KB5036635,Important,Ring-1,Installed,2026-04-19T22:00,No,
2026-04,SRV-037,KB5002717,Moderate,Ring-0,Installed,2026-04-22T22:00,No,
2026-04,SRV-038,KB5082026,Critical,Ring-2,Installed,2026-04-21T22:00,No,
2026-04,SRV-039,KB5037008,Moderate,Ring-1,Installed,2026-04-21T22:00,No,
2026-04,SRV-040,KB5028470,Critical,Ring-2,Installed,2026-04-18T22:00,Yes,
2026-04,SRV-041,KB5028050,Critical,Ring-1,Installed,2026-04-14T22:00,No,
2026-04,SRV-042,KB5080198,Moderate,Ring-0,Installed,2026-04-12T22:00,Yes,
2026-04,SRV-043,KB5004230,Critical,Ring-0,Installed,2026-04-10T22:00,Yes,
2026-04,SRV-044,KB5061421,Important,Ring-2,Failed,2026-04-15T22:00,Yes,EXC-4044
2026-04,SRV-045,KB5092917,Moderate,Ring-2,Installed,2026-04-16T22:00,No,
2026-04,SRV-046,KB5011712,Important,Ring-1,Installed,2026-04-13T22:00,Yes,
2026-04,SRV-047,KB5013644,Important,Ring-2,Installed,2026-04-12T22:00,No,
2026-04,SRV-048,KB5006907,Critical,Ring-2,Installed,2026-04-22T22:00,Yes,
2026-04,SRV-049,KB5062219,Critical,Ring-1,Installed,2026-04-16T22:00,No,
2026-04,SRV-050,KB5003825,Moderate,Ring-2,Installed,2026-04-22T22:00,No,
2026-04,SRV-051,KB5098131,Important,Ring-2,Installed,2026-04-18T22:00,No,
2026-04,SRV-052,KB5083527,Moderate,Ring-1,Installed,2026-04-10T22:00,Yes,
2026-04,SRV-053,KB5093517,Important,Ring-0,Installed,2026-04-21T22:00,Yes,
2026-04,SRV-054,KB5048147,Moderate,Ring-0,Installed,2026-04-10T22:00,Yes,
2026-04,SRV-055,KB5030364,Critical,Ring-0,Installed,2026-04-16T22:00,No,
2026-04,SRV-056,KB5060873,Important,Ring-2,Installed,2026-04-12T22:00,Yes,
2026-04,SRV-057,KB5014027,Moderate,Ring-2,Installed,2026-04-16T22:00,Yes,
2026-04,SRV-058,KB5069573,Critical,Ring-1,Installed,2026-04-20T22:00,No,
2026-04,SRV-059,KB5056218,Critical,Ring-1,Pending Reboot,2026-04-15T22:00,Yes,
2026-04,SRV-060,KB5054816,Important,Ring-0,Installed,2026-04-13T22:00,No,
2026-05,SRV-001,KB5009527,Critical,Ring-1,Installed,2026-05-17T22:00,No,
2026-05,SRV-002,KB5070009,Important,Ring-0,Failed,2026-05-18T22:00,No,EXC-5002
2026-05,SRV-003,KB5096754,Important,Ring-2,Installed,2026-05-11T22:00,Yes,
2026-05,SRV-004,KB5045864,Moderate,Ring-2,Installed,2026-05-14T22:00,Yes,
2026-05,SRV-005,KB5025091,Moderate,Ring-0,Installed,2026-05-17T22:00,Yes,
2026-05,SRV-006,KB5022596,Important,Ring-1,Installed,2026-05-17T22:00,Yes,
2026-05,SRV-007,KB5076407,Moderate,Ring-2,Installed,2026-05-20T22:00,No,
2026-05,SRV-008,KB5098749,Critical,Ring-2,Installed,2026-05-20T22:00,No,
2026-05,SRV-009,KB5050859,Moderate,Ring-2,Installed,2026-05-16T22:00,Yes,
2026-05,SRV-010,KB5087565,Moderate,Ring-1,Installed,2026-05-13T22:00,No,
2026-05,SRV-011,KB5003949,Critical,Ring-1,Installed,2026-05-14T22:00,No,
2026-05,SRV-012,KB5080613,Important,Ring-1,Installed,2026-05-21T22:00,No,
2026-05,SRV-013,KB5057657,Moderate,Ring-1,Installed,2026-05-22T22:00,Yes,
2026-05,SRV-014,KB5012792,Moderate,Ring-0,Installed,2026-05-19T22:00,No,
2026-05,SRV-015,KB5082728,Moderate,Ring-2,Installed,2026-05-13T22:00,Yes,
2026-05,SRV-016,KB5040233,Important,Ring-2,Installed,2026-05-17T22:00,Yes,
2026-05,SRV-017,KB5054862,Critical,Ring-0,Installed,2026-05-21T22:00,Yes,
2026-05,SRV-018,KB5084206,Moderate,Ring-1,Installed,2026-05-21T22:00,Yes,
2026-05,SRV-019,KB5030138,Critical,Ring-1,Installed,2026-05-22T22:00,No,
2026-05,SRV-020,KB5012009,Important,Ring-1,Installed,2026-05-12T22:00,No,
2026-05,SRV-021,KB5075977,Moderate,Ring-0,Pending Reboot,2026-05-22T22:00,Yes,
2026-05,SRV-022,KB5096352,Moderate,Ring-0,Installed,2026-05-11T22:00,Yes,
2026-05,SRV-023,KB5053559,Important,Ring-2,Installed,2026-05-10T22:00,No,
2026-05,SRV-024,KB5025298,Critical,Ring-1,Installed,2026-05-19T22:00,Yes,
2026-05,SRV-025,KB5010990,Moderate,Ring-1,Installed,2026-05-18T22:00,Yes,
2026-05,SRV-026,KB5035928,Moderate,Ring-1,Failed,2026-05-13T22:00,Yes,EXC-5026
2026-05,SRV-027,KB5069133,Critical,Ring-2,Installed,2026-05-21T22:00,No,
2026-05,SRV-028,KB5058055,Moderate,Ring-0,Installed,2026-05-20T22:00,No,
2026-05,SRV-029,KB5032614,Important,Ring-0,Failed,2026-05-17T22:00,Yes,EXC-5029
2026-05,SRV-030,KB5034155,Critical,Ring-1,Installed,2026-05-21T22:00,Yes,
2026-05,SRV-031,KB5012365,Moderate,Ring-2,Installed,2026-05-17T22:00,No,
2026-05,SRV-032,KB5080902,Important,Ring-2,Installed,2026-05-14T22:00,Yes,
2026-05,SRV-033,KB5083922,Critical,Ring-1,Installed,2026-05-12T22:00,Yes,
2026-05,SRV-034,KB5039562,Moderate,Ring-1,Installed,2026-05-17T22:00,Yes,
2026-05,SRV-035,KB5083675,Critical,Ring-2,Installed,2026-05-19T22:00,No,
2026-05,SRV-036,KB5088082,Critical,Ring-1,Installed,2026-05-18T22:00,No,
2026-05,SRV-037,KB5040916,Important,Ring-0,Installed,2026-05-14T22:00,Yes,
2026-05,SRV-038,KB5018331,Important,Ring-2,Installed,2026-05-17T22:00,No,
2026-05,SRV-039,KB5024542,Important,Ring-1,Installed,2026-05-18T22:00,Yes,
2026-05,SRV-040,KB5073452,Important,Ring-2,Installed,2026-05-16T22:00,No,
2026-05,SRV-041,KB5000920,Important,Ring-1,Installed,2026-05-22T22:00,Yes,
2026-05,SRV-042,KB5097292,Important,Ring-0,Installed,2026-05-14T22:00,No,
2026-05,SRV-043,KB5044705,Moderate,Ring-0,Installed,2026-05-12T22:00,No,
2026-05,SRV-044,KB5052551,Moderate,Ring-2,Installed,2026-05-16T22:00,Yes,
2026-05,SRV-045,KB5099947,Critical,Ring-2,Installed,2026-05-16T22:00,No,
2026-05,SRV-046,KB5048589,Critical,Ring-1,Installed,2026-05-17T22:00,Yes,
2026-05,SRV-047,KB5086120,Critical,Ring-2,Installed,2026-05-20T22:00,No,
2026-05,SRV-048,KB5084200,Important,Ring-2,Installed,2026-05-10T22:00,No,
2026-05,SRV-049,KB5000931,Moderate,Ring-1,Installed,2026-05-10T22:00,Yes,
2026-05,SRV-050,KB5034054,Moderate,Ring-2,Installed,2026-05-15T22:00,No,
2026-05,SRV-051,KB5063530,Important,Ring-2,Failed,2026-05-16T22:00,Yes,EXC-5051
2026-05,SRV-052,KB5039074,Critical,Ring-1,Installed,2026-05-13T22:00,Yes,
2026-05,SRV-053,KB5023435,Important,Ring-0,Installed,2026-05-16T22:00,Yes,
2026-05,SRV-054,KB5030785,Critical,Ring-0,Installed,2026-05-15T22:00,No,
2026-05,SRV-055,KB5083519,Critical,Ring-0,Installed,2026-05-14T22:00,Yes,
2026-05,SRV-056,KB5099215,Moderate,Ring-2,Installed,2026-05-18T22:00,Yes,
2026-05,SRV-057,KB5086947,Critical,Ring-2,Installed,2026-05-15T22:00,No,
2026-05,SRV-058,KB5063858,Important,Ring-1,Installed,2026-05-21T22:00,No,
2026-05,SRV-059,KB5013976,Important,Ring-1,Installed,2026-05-11T22:00,Yes,
