asset_id,asset_type,manufacturer,model,serial_number,assigned_user_id,location,operating_system,encryption_status,intune_compliance,purchase_date,warranty_end,lifecycle_status
AST-00027,Desktop,HP,Surface Laptop 6,NS202400027,U0204,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-07-25,2028-03-22,In Service
AST-00028,Laptop,Microsoft,Surface Laptop 6,NS202400028,U0093,Richmond-VA,Windows 11 24H2,Encrypted,Noncompliant,2025-04-02,2027-07-19,In Service
AST-00029,Laptop,Apple,MacBook Air M3,NS202400029,U0080,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2025-04-23,2027-08-12,In Service
AST-00030,Laptop,Apple,Surface Laptop 6,NS202400030,U0116,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2025-06-18,2028-04-28,Repair
AST-00031,Laptop,Microsoft,Latitude 5450,NS202400031,U0111,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-11-08,2026-06-18,In Service
AST-00032,Laptop,Microsoft,EliteBook 840,NS202400032,U0089,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-07-21,2027-10-13,Repair
AST-00033,Laptop,Microsoft,Latitude 5450,NS202400033,U0158,Charlotte-NC,macOS 15,Encrypted,Compliant,2023-06-25,2027-11-06,Repair
AST-00034,Desktop,Microsoft,Latitude 5450,NS202400034,U0216,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-02-16,2028-08-29,Repair
AST-00035,Laptop,Dell,MacBook Air M3,NS202400035,U0159,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-05-09,2026-09-08,Spare
AST-00036,Laptop,Apple,MacBook Air M3,NS202400036,U0041,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2023-07-28,2026-12-15,Repair
AST-00037,Laptop,HP,MacBook Air M3,NS202400037,U0188,Charlotte-NC,macOS 15,Encrypted,Compliant,2024-06-11,2027-07-30,In Service
AST-00038,Laptop,Apple,ThinkPad T14,NS202400038,U0069,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2023-02-21,2026-10-25,Spare
AST-00039,Mobile,Lenovo,EliteBook 840,NS202400039,U0222,Richmond-VA,iOS 18,Encrypted,Compliant,2025-02-20,2026-06-13,Spare
AST-00040,Printer,HP,MacBook Air M3,NS202400040,,Raleigh-NC,Embedded,Not Applicable,Not Managed,2023-04-03,2028-08-25,Spare
AST-00041,Laptop,HP,Latitude 5450,NS202400041,U0150,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-05-21,2027-09-04,Spare
AST-00042,Laptop,Lenovo,EliteBook 840,NS202400042,U0111,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2024-01-10,2026-02-16,Spare
AST-00043,Laptop,Microsoft,EliteBook 840,NS202400043,U0093,Raleigh-NC,macOS 15,Encrypted,Noncompliant,2024-05-31,2027-04-07,Repair
AST-00044,Laptop,Dell,MacBook Air M3,NS202400044,U0033,Richmond-VA,macOS 15,Encrypted,Compliant,2024-07-25,2028-08-19,In Service
AST-00045,Desktop,Dell,Latitude 5450,NS202400045,U0129,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-12-31,2026-12-08,Spare
AST-00046,Laptop,Microsoft,EliteBook 840,NS202400046,U0084,Charlotte-NC,Windows 11 23H2,Encrypted,Noncompliant,2024-09-23,2028-01-28,In Service
AST-00047,Laptop,Microsoft,EliteBook 840,NS202400047,U0182,Remote-US,macOS 15,Encrypted,Compliant,2024-01-13,2026-12-06,In Service
AST-00048,Printer,Dell,Surface Laptop 6,NS202400048,,Remote-US,Embedded,Not Applicable,Not Managed,2023-09-29,2028-09-17,Repair
AST-00049,Laptop,Apple,ThinkPad T14,NS202400049,U0150,Remote-US,macOS 15,Encrypted,Compliant,2025-04-21,2027-11-29,In Service
AST-00050,Laptop,Dell,MacBook Air M3,NS202400050,U0049,Richmond-VA,macOS 15,Encrypted,Noncompliant,2023-06-05,2027-02-27,In Service
AST-00051,Laptop,Dell,ThinkPad T14,NS202400051,U0224,Charlotte-NC,macOS 15,Encrypted,Compliant,2024-11-09,2027-05-05,Repair
AST-00052,Laptop,Microsoft,EliteBook 840,NS202400052,U0234,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-09-16,2027-05-11,In Service
AST-00053,Printer,Lenovo,EliteBook 840,NS202400053,,Richmond-VA,Embedded,Not Applicable,Not Managed,2024-12-22,2026-08-01,Spare
AST-00054,Laptop,Dell,Surface Laptop 6,NS202400054,U0074,Remote-US,Windows 11 24H2,Encrypted,Noncompliant,2025-04-18,2026-12-20,In Service
AST-00055,Laptop,Apple,EliteBook 840,NS202400055,U0089,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-07-26,2028-04-27,Repair
AST-00056,Laptop,Dell,Surface Laptop 6,NS202400056,U0036,Charlotte-NC,macOS 15,Encrypted,Compliant,2023-02-21,2027-11-17,Repair
AST-00057,Laptop,Apple,EliteBook 840,NS202400057,U0026,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-11-28,2028-02-29,In Service
AST-00058,Laptop,Apple,MacBook Air M3,NS202400058,U0105,Charlotte-NC,macOS 15,Encrypted,Compliant,2023-11-25,2026-10-20,In Service
AST-00059,Mobile,Dell,ThinkPad T14,NS202400059,U0137,Remote-US,iOS 18,Encrypted,Compliant,2023-02-07,2028-05-06,Spare
AST-00060,Desktop,Dell,Latitude 5450,NS202400060,U0225,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-12-10,2026-10-19,Spare
AST-00061,Printer,Lenovo,Surface Laptop 6,NS202400061,,Remote-US,Embedded,Not Applicable,Not Managed,2023-10-07,2026-07-17,In Service
AST-00062,Laptop,HP,ThinkPad T14,NS202400062,U0166,Raleigh-NC,macOS 15,Encrypted,Compliant,2025-03-20,2026-10-30,Repair
AST-00063,Desktop,Apple,MacBook Air M3,NS202400063,U0157,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-02-15,2027-11-17,In Service
AST-00064,Laptop,Lenovo,Latitude 5450,NS202400064,U0083,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2023-08-30,2027-04-03,In Service
AST-00065,Printer,HP,EliteBook 840,NS202400065,,Charlotte-NC,Embedded,Not Applicable,Not Managed,2023-03-05,2027-11-15,In Service
AST-00066,Laptop,Microsoft,EliteBook 840,NS202400066,U0176,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-01-12,2027-09-22,In Service
AST-00067,Laptop,Apple,Surface Laptop 6,NS202400067,U0040,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2024-12-19,2027-07-17,Spare
AST-00068,Desktop,Lenovo,Surface Laptop 6,NS202400068,U0196,Raleigh-NC,Windows 11 23H2,Encrypted,Noncompliant,2024-06-24,2027-12-22,In Service
AST-00069,Laptop,Microsoft,Surface Laptop 6,NS202400069,U0016,Charlotte-NC,macOS 15,Encrypted,Compliant,2023-06-18,2026-12-02,Repair
AST-00070,Laptop,Microsoft,MacBook Air M3,NS202400070,U0184,Raleigh-NC,macOS 15,Encrypted,Noncompliant,2025-04-08,2026-02-26,Spare
AST-00071,Laptop,Dell,Surface Laptop 6,NS202400071,U0145,Remote-US,Windows 11 24H2,Encrypted,Compliant,2025-01-10,2026-01-23,Spare
AST-00072,Laptop,Dell,Latitude 5450,NS202400072,U0149,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-12-18,2026-03-07,Repair
AST-00073,Printer,Dell,EliteBook 840,NS202400073,,Remote-US,Embedded,Not Applicable,Not Managed,2023-07-04,2028-02-27,In Service
AST-00074,Desktop,Apple,MacBook Air M3,NS202400074,U0096,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2023-03-24,2027-12-01,Repair
AST-00075,Laptop,Microsoft,MacBook Air M3,NS202400075,U0046,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2025-05-04,2026-01-04,In Service
AST-00076,Printer,Microsoft,MacBook Air M3,NS202400076,,Charlotte-NC,Embedded,Not Applicable,Not Managed,2023-09-11,2027-04-17,In Service
AST-00077,Laptop,Apple,Surface Laptop 6,NS202400077,U0009,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-07-31,2026-03-10,In Service
AST-00078,Laptop,Dell,MacBook Air M3,NS202400078,U0063,Remote-US,Windows 11 24H2,Encrypted,Compliant,2024-07-06,2026-08-11,In Service
AST-00079,Laptop,Microsoft,EliteBook 840,NS202400079,U0209,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2023-11-06,2028-06-16,In Service
AST-00080,Printer,Apple,EliteBook 840,NS202400080,,Richmond-VA,Embedded,Not Applicable,Not Managed,2023-03-04,2027-07-25,Repair
AST-00081,Mobile,Apple,Latitude 5450,NS202400081,U0143,Richmond-VA,Android 15,Encrypted,Noncompliant,2025-03-15,2027-06-22,In Service
AST-00082,Desktop,Apple,ThinkPad T14,NS202400082,U0077,Remote-US,Windows 11 23H2,Encrypted,Compliant,2025-05-19,2026-08-19,In Service
AST-00083,Mobile,Dell,Surface Laptop 6,NS202400083,U0235,Remote-US,Android 15,Encrypted,Noncompliant,2024-07-24,2027-06-27,In Service
AST-00084,Laptop,Dell,MacBook Air M3,NS202400084,U0085,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2024-07-02,2028-01-12,In Service
AST-00085,Laptop,Dell,ThinkPad T14,NS202400085,U0224,Charlotte-NC,Windows 11 24H2,Encrypted,Noncompliant,2023-08-02,2028-06-09,In Service
AST-00086,Laptop,Dell,MacBook Air M3,NS202400086,U0049,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-02-11,2028-07-26,In Service
AST-00087,Laptop,Microsoft,EliteBook 840,NS202400087,U0120,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2024-01-04,2027-06-10,Spare
AST-00088,Laptop,HP,ThinkPad T14,NS202400088,U0195,Richmond-VA,macOS 15,Encrypted,Compliant,2024-02-28,2026-02-16,Repair
AST-00089,Mobile,HP,Surface Laptop 6,NS202400089,U0005,Remote-US,iOS 18,Encrypted,Compliant,2023-06-06,2026-07-20,In Service
AST-00090,Laptop,Microsoft,EliteBook 840,NS202400090,U0128,Richmond-VA,macOS 15,Encrypted,Noncompliant,2025-01-10,2027-10-20,Spare
AST-00091,Laptop,Lenovo,Surface Laptop 6,NS202400091,U0044,Remote-US,macOS 15,Encrypted,Compliant,2024-07-09,2027-10-20,In Service
AST-00092,Laptop,Dell,MacBook Air M3,NS202400092,U0196,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-03-11,2027-12-26,In Service
AST-00093,Laptop,Dell,Surface Laptop 6,NS202400093,U0096,Remote-US,macOS 15,Encrypted,Noncompliant,2023-01-17,2026-01-07,Repair
AST-00094,Laptop,HP,Surface Laptop 6,NS202400094,U0136,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-05-29,2028-04-12,Spare
AST-00095,Desktop,Dell,Surface Laptop 6,NS202400095,U0236,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-07-16,2027-09-27,Repair
AST-00096,Laptop,Apple,Latitude 5450,NS202400096,U0204,Richmond-VA,Windows 11 24H2,Encrypted,Noncompliant,2024-04-15,2027-08-02,In Service
AST-00097,Printer,Dell,Latitude 5450,NS202400097,,Raleigh-NC,Embedded,Not Applicable,Not Managed,2024-02-20,2027-01-24,Spare
AST-00098,Laptop,Lenovo,Latitude 5450,NS202400098,U0180,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-10-22,2028-03-14,In Service
AST-00099,Laptop,Lenovo,Surface Laptop 6,NS202400099,U0059,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-02-17,2028-08-04,In Service
AST-00100,Desktop,HP,Latitude 5450,NS202400100,U0046,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2025-02-09,2028-04-20,Spare
AST-00101,Mobile,Lenovo,Surface Laptop 6,NS202400101,U0145,Remote-US,iOS 18,Encrypted,Compliant,2024-01-29,2028-02-13,In Service
AST-00102,Desktop,HP,Latitude 5450,NS202400102,U0129,Raleigh-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-08-26,2028-05-08,In Service
AST-00103,Laptop,HP,Latitude 5450,NS202400103,U0199,Richmond-VA,macOS 15,Encrypted,Noncompliant,2024-05-17,2026-08-22,In Service
AST-00104,Laptop,Microsoft,MacBook Air M3,NS202400104,U0048,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2025-03-28,2026-09-10,In Service
AST-00105,Laptop,Lenovo,MacBook Air M3,NS202400105,U0183,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-04-20,2026-04-04,In Service
AST-00106,Mobile,HP,Latitude 5450,NS202400106,U0195,Charlotte-NC,Android 15,Encrypted,Compliant,2023-07-11,2027-03-18,Spare
AST-00107,Laptop,Dell,Latitude 5450,NS202400107,U0027,Richmond-VA,macOS 15,Encrypted,Compliant,2024-09-03,2027-09-05,In Service
AST-00108,Mobile,Apple,Latitude 5450,NS202400108,U0106,Charlotte-NC,Android 15,Encrypted,Compliant,2024-12-02,2027-01-25,In Service
AST-00109,Laptop,Lenovo,Latitude 5450,NS202400109,U0127,Charlotte-NC,Windows 11 24H2,Encrypted,Noncompliant,2023-10-10,2027-03-08,In Service
AST-00110,Laptop,Lenovo,MacBook Air M3,NS202400110,U0065,Charlotte-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-04-20,2026-05-19,In Service
AST-00111,Laptop,Microsoft,MacBook Air M3,NS202400111,U0216,Richmond-VA,Windows 11 24H2,Encrypted,Noncompliant,2023-12-09,2027-03-17,Repair
AST-00112,Laptop,HP,ThinkPad T14,NS202400112,U0123,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-10-26,2028-01-23,Spare
AST-00113,Printer,Apple,EliteBook 840,NS202400113,,Remote-US,Embedded,Not Applicable,Not Managed,2024-01-09,2026-04-27,Repair
AST-00114,Laptop,Microsoft,Latitude 5450,NS202400114,U0175,Remote-US,macOS 15,Encrypted,Compliant,2024-03-24,2028-03-27,In Service
AST-00115,Desktop,Apple,ThinkPad T14,NS202400115,U0173,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-09-16,2027-11-06,In Service
AST-00116,Desktop,Microsoft,MacBook Air M3,NS202400116,U0115,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-07-10,2026-02-07,In Service
AST-00117,Desktop,Lenovo,EliteBook 840,NS202400117,U0028,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-07-30,2027-10-23,Spare
AST-00118,Printer,Dell,Latitude 5450,NS202400118,,Raleigh-NC,Embedded,Not Applicable,Not Managed,2023-09-22,2026-08-16,Repair
AST-00119,Desktop,HP,MacBook Air M3,NS202400119,U0115,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-12-20,2026-01-26,Spare
AST-00120,Laptop,Lenovo,EliteBook 840,NS202400120,U0030,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2024-04-11,2028-03-14,In Service
AST-00121,Laptop,Apple,MacBook Air M3,NS202400121,U0025,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2023-11-04,2026-02-15,In Service
AST-00122,Laptop,Lenovo,ThinkPad T14,NS202400122,U0174,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2023-12-05,2027-07-28,Spare
AST-00123,Printer,Lenovo,ThinkPad T14,NS202400123,,Remote-US,Embedded,Not Applicable,Not Managed,2024-02-10,2026-01-30,Repair
AST-00124,Mobile,Dell,ThinkPad T14,NS202400124,U0100,Charlotte-NC,Android 15,Encrypted,Compliant,2025-02-09,2027-12-22,In Service
AST-00125,Laptop,HP,ThinkPad T14,NS202400125,U0094,Remote-US,macOS 15,Encrypted,Compliant,2023-09-26,2027-11-18,Spare
AST-00126,Laptop,Apple,Surface Laptop 6,NS202400126,U0153,Remote-US,macOS 15,Encrypted,Compliant,2023-12-23,2026-12-27,Spare
AST-00127,Laptop,Microsoft,Surface Laptop 6,NS202400127,U0236,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-11-17,2026-05-01,In Service
AST-00128,Laptop,Lenovo,Surface Laptop 6,NS202400128,U0178,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-09-02,2026-05-22,Repair
AST-00129,Laptop,Microsoft,ThinkPad T14,NS202400129,U0163,Charlotte-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-10-23,2026-05-24,In Service
AST-00130,Laptop,HP,Latitude 5450,NS202400130,U0222,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-07-19,2028-04-14,Spare
AST-00131,Printer,Apple,MacBook Air M3,NS202400131,,Remote-US,Embedded,Not Applicable,Not Managed,2024-12-28,2028-05-10,Spare
AST-00132,Laptop,Lenovo,EliteBook 840,NS202400132,U0204,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-08-19,2027-07-05,In Service
AST-00133,Laptop,Microsoft,Latitude 5450,NS202400133,U0141,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2025-03-04,2027-07-11,In Service
AST-00134,Laptop,Lenovo,MacBook Air M3,NS202400134,U0140,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2023-11-01,2028-06-14,In Service
AST-00135,Laptop,Dell,ThinkPad T14,NS202400135,U0113,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2025-05-31,2027-12-29,Repair
AST-00136,Laptop,Lenovo,ThinkPad T14,NS202400136,U0201,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-06-29,2026-10-15,Repair
AST-00137,Laptop,Microsoft,EliteBook 840,NS202400137,U0075,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2025-02-07,2028-03-15,Spare
AST-00138,Mobile,Lenovo,ThinkPad T14,NS202400138,U0180,Charlotte-NC,iOS 18,Encrypted,Compliant,2025-04-28,2026-09-11,Spare
AST-00139,Laptop,Apple,MacBook Air M3,NS202400139,U0161,Remote-US,macOS 15,Encrypted,Compliant,2024-10-10,2028-03-24,In Service
AST-00140,Laptop,HP,MacBook Air M3,NS202400140,U0178,Remote-US,macOS 15,Encrypted,Compliant,2024-08-18,2026-01-03,In Service
AST-00141,Desktop,Dell,Surface Laptop 6,NS202400141,U0218,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-03-15,2028-04-24,In Service
AST-00142,Laptop,Microsoft,Surface Laptop 6,NS202400142,U0087,Charlotte-NC,Windows 11 24H2,Encrypted,Noncompliant,2025-03-18,2026-12-18,In Service
AST-00143,Laptop,Dell,ThinkPad T14,NS202400143,U0005,Remote-US,macOS 15,Encrypted,Noncompliant,2023-01-01,2028-09-08,Spare
AST-00144,Laptop,HP,ThinkPad T14,NS202400144,U0226,Richmond-VA,macOS 15,Encrypted,Compliant,2024-11-01,2027-01-05,In Service
AST-00145,Laptop,Apple,EliteBook 840,NS202400145,U0014,Charlotte-NC,macOS 15,Encrypted,Noncompliant,2024-11-02,2026-04-04,In Service
AST-00146,Laptop,Microsoft,ThinkPad T14,NS202400146,U0034,Remote-US,Windows 11 24H2,Encrypted,Compliant,2023-01-09,2027-12-14,In Service
AST-00147,Desktop,Dell,ThinkPad T14,NS202400147,U0123,Remote-US,Windows 11 23H2,Encrypted,Compliant,2025-01-18,2028-04-05,In Service
AST-00148,Laptop,Apple,ThinkPad T14,NS202400148,U0036,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2024-06-27,2027-07-31,In Service
AST-00149,Laptop,Lenovo,ThinkPad T14,NS202400149,U0090,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2025-05-30,2026-08-11,In Service
AST-00150,Mobile,Apple,EliteBook 840,NS202400150,U0151,Remote-US,iOS 18,Encrypted,Compliant,2025-03-21,2026-05-24,In Service
AST-00151,Laptop,Microsoft,Surface Laptop 6,NS202400151,U0142,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2025-05-18,2028-05-17,In Service
AST-00152,Laptop,Apple,EliteBook 840,NS202400152,U0192,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-05-21,2027-01-31,In Service
AST-00153,Laptop,Dell,EliteBook 840,NS202400153,U0136,Richmond-VA,macOS 15,Encrypted,Compliant,2024-02-01,2028-05-31,Repair
AST-00154,Laptop,Apple,Latitude 5450,NS202400154,U0196,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-01-15,2026-09-26,In Service
AST-00155,Laptop,HP,Surface Laptop 6,NS202400155,U0130,Remote-US,Windows 11 23H2,Encrypted,Noncompliant,2024-12-19,2027-02-16,In Service
AST-00156,Laptop,Dell,EliteBook 840,NS202400156,U0072,Raleigh-NC,macOS 15,Encrypted,Compliant,2025-04-07,2026-06-09,Repair
AST-00157,Laptop,Apple,ThinkPad T14,NS202400157,U0080,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-03-30,2028-08-04,Spare
AST-00158,Laptop,Lenovo,Latitude 5450,NS202400158,U0080,Raleigh-NC,macOS 15,Encrypted,Compliant,2024-12-19,2026-01-12,In Service
AST-00159,Laptop,HP,ThinkPad T14,NS202400159,U0043,Richmond-VA,Windows 11 24H2,Encrypted,Compliant,2025-02-28,2028-07-10,In Service
AST-00160,Laptop,Dell,EliteBook 840,NS202400160,U0135,Raleigh-NC,Windows 11 24H2,Encrypted,Noncompliant,2024-04-11,2027-06-08,In Service
AST-00161,Laptop,Lenovo,EliteBook 840,NS202400161,U0095,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-08-22,2028-01-29,Repair
AST-00162,Laptop,Apple,EliteBook 840,NS202400162,U0012,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-07-03,2028-08-11,In Service
AST-00163,Laptop,HP,ThinkPad T14,NS202400163,U0058,Remote-US,macOS 15,Encrypted,Compliant,2023-10-05,2028-04-25,In Service
AST-00164,Laptop,Lenovo,Surface Laptop 6,NS202400164,U0046,Raleigh-NC,Windows 11 23H2,Encrypted,Noncompliant,2023-03-12,2028-06-17,Spare
AST-00165,Mobile,Microsoft,MacBook Air M3,NS202400165,U0023,Raleigh-NC,Android 15,Encrypted,Compliant,2023-07-25,2026-10-26,Repair
AST-00166,Desktop,HP,Surface Laptop 6,NS202400166,U0119,Remote-US,Windows 11 23H2,Encrypted,Compliant,2025-01-20,2028-07-11,Repair
AST-00167,Desktop,Apple,Latitude 5450,NS202400167,U0002,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2024-10-13,2028-05-09,In Service
AST-00168,Printer,HP,Latitude 5450,NS202400168,,Charlotte-NC,Embedded,Not Applicable,Not Managed,2024-06-26,2026-09-01,Spare
AST-00169,Laptop,HP,Latitude 5450,NS202400169,U0183,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-05-15,2027-06-17,Spare
AST-00170,Desktop,Dell,Surface Laptop 6,NS202400170,U0192,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2024-10-14,2028-04-19,Spare
AST-00171,Laptop,Lenovo,ThinkPad T14,NS202400171,U0112,Richmond-VA,macOS 15,Encrypted,Compliant,2025-05-21,2026-11-19,Spare
AST-00172,Desktop,Apple,EliteBook 840,NS202400172,U0082,Charlotte-NC,Windows 11 23H2,Encrypted,Compliant,2023-07-27,2026-05-20,Repair
AST-00173,Laptop,Apple,EliteBook 840,NS202400173,U0116,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-07-02,2027-01-02,In Service
AST-00174,Laptop,Dell,Latitude 5450,NS202400174,U0219,Charlotte-NC,Windows 11 24H2,Encrypted,Compliant,2025-04-26,2027-12-23,Repair
