ticket_id,opened_at,resolved_at,requester_id,assigned_group,category,subcategory,priority,channel,resolution_hours,sla_target_hours,sla_met,reopened,csat_score,first_contact_resolution
INC-30086,2026-06-02T12:00,2026-06-02T14:19,U0239,Service Desk,Identity and Access,Access Request,P4,Phone,2.33,72,Yes,No,4,No
INC-30087,2026-07-16T11:00,2026-07-17T11:48,U0112,Security Operations,Identity and Access,Password Reset,P3,Email,24.81,24,No,Yes,5,No
INC-30088,2026-06-14T21:00,2026-06-15T16:33,U0175,Cloud Operations,Microsoft 365,Shared Mailbox,P3,Portal,19.55,24,Yes,No,5,Yes
INC-30089,2026-07-02T19:00,2026-07-03T01:32,U0166,Infrastructure,Server,Service Down,P2,Portal,6.54,8,Yes,No,5,Yes
INC-30090,2026-05-14T11:00,2026-05-14T17:42,U0162,Security Operations,Microsoft 365,Teams,P3,Email,6.7,24,Yes,No,3,No
INC-30091,2026-03-23T17:00,2026-03-24T16:28,U0128,Security Operations,Security,Phishing,P3,Portal,23.48,24,Yes,No,4,No
INC-30092,2026-01-15T22:00,2026-01-17T00:46,U0118,Infrastructure,Printing,Driver,P2,Email,26.78,8,No,No,3,No
INC-30093,2026-06-17T05:00,2026-06-17T15:59,U0045,Service Desk,Identity and Access,Account Lockout,P3,Portal,11.0,24,Yes,No,4,No
INC-30094,2026-01-23T03:00,2026-01-23T14:13,U0017,Infrastructure,Microsoft 365,Shared Mailbox,P2,Phone,11.22,8,No,No,5,Yes
INC-30095,2026-04-22T00:00,2026-04-22T09:08,U0215,Infrastructure,Microsoft 365,Outlook,P4,Email,9.15,72,Yes,No,3,Yes
INC-30096,2026-05-23T00:00,2026-05-23T09:13,U0237,Service Desk,Endpoint,Software Install,P4,Portal,9.23,72,Yes,No,5,Yes
INC-30097,2026-02-24T04:00,2026-02-24T13:39,U0178,Security Operations,Identity and Access,MFA,P4,Email,9.66,72,Yes,No,4,Yes
INC-30098,2026-05-21T23:00,2026-05-22T08:28,U0047,Security Operations,Network,VPN,P4,Phone,9.47,72,Yes,No,3,Yes
INC-30099,2026-03-07T20:00,2026-03-08T04:18,U0161,Infrastructure,Microsoft 365,OneDrive,P4,Portal,8.32,72,Yes,No,4,Yes
INC-30100,2026-06-12T06:00,2026-06-12T16:15,U0166,Cloud Operations,Security,Malware Alert,P3,Email,10.27,24,Yes,No,4,Yes
INC-30101,2026-06-05T00:00,2026-06-05T02:21,U0041,Service Desk,Identity and Access,Access Request,P2,Portal,2.35,8,Yes,No,4,No
INC-30102,2026-07-18T05:00,2026-07-18T10:31,U0059,Service Desk,Server,Service Down,P3,Monitoring,5.53,24,Yes,No,5,No
INC-30103,2026-01-26T10:00,2026-01-26T12:57,U0056,Security Operations,Security,Phishing,P3,Monitoring,2.96,24,Yes,No,5,No
INC-30104,2026-05-03T17:00,2026-05-03T18:43,U0016,Cloud Operations,Cloud,Azure VM,P3,Portal,1.72,24,Yes,No,5,Yes
INC-30105,2026-04-28T14:00,2026-04-29T05:23,U0164,Infrastructure,Network,DNS,P4,Portal,15.39,72,Yes,No,5,Yes
INC-30106,2026-03-16T05:00,2026-03-16T07:51,U0189,Infrastructure,Security,Phishing,P4,Phone,2.85,72,Yes,No,4,No
INC-30107,2026-02-21T04:00,2026-02-21T18:58,U0109,Security Operations,Identity and Access,Access Request,P3,Portal,14.97,24,Yes,No,4,Yes
INC-30108,2026-01-05T13:00,2026-01-05T17:10,U0166,Service Desk,Printing,Printer Offline,P4,Monitoring,4.17,72,Yes,No,4,Yes
INC-30109,2026-07-15T00:00,2026-07-15T07:44,U0181,Security Operations,Identity and Access,MFA,P4,Phone,7.74,72,Yes,No,5,Yes
INC-30110,2026-01-25T11:00,2026-01-25T17:32,U0110,Cloud Operations,Printing,Driver,P4,Email,6.54,72,Yes,No,3,Yes
INC-30111,2026-04-25T22:00,2026-04-26T16:43,U0014,Service Desk,Identity and Access,Access Request,P3,Phone,18.72,24,Yes,No,3,Yes
INC-30112,2026-03-02T03:00,2026-03-02T15:17,U0086,Infrastructure,Microsoft 365,Outlook,P3,Monitoring,12.29,24,Yes,No,5,No
INC-30113,2026-03-13T22:00,2026-03-14T20:54,U0109,Cloud Operations,Network,VPN,P3,Portal,22.9,24,Yes,No,5,Yes
INC-30114,2026-06-30T02:00,2026-06-30T12:19,U0231,Cloud Operations,Microsoft 365,Shared Mailbox,P3,Phone,10.33,24,Yes,No,5,No
INC-30115,2026-01-23T17:00,2026-01-24T00:41,U0230,Infrastructure,Network,Wi-Fi,P4,Portal,7.7,72,Yes,No,4,Yes
INC-30116,2026-02-20T20:00,2026-02-20T22:51,U0175,Infrastructure,Security,Malware Alert,P3,Phone,2.85,24,Yes,No,5,Yes
INC-30117,2026-04-10T20:00,2026-04-11T11:13,U0243,Cloud Operations,Network,DHCP,P2,Phone,15.23,8,No,No,4,Yes
INC-30118,2026-07-01T07:00,2026-07-02T02:07,U0079,Infrastructure,Security,Malware Alert,P3,Email,19.12,24,Yes,No,4,No
INC-30119,2026-01-17T11:00,2026-01-17T18:37,U0237,Infrastructure,Endpoint,BitLocker,P3,Email,7.63,24,Yes,No,5,Yes
INC-30120,2026-02-22T17:00,2026-02-22T20:26,U0033,Security Operations,Endpoint,BitLocker,P3,Phone,3.44,24,Yes,No,5,Yes
INC-30121,2026-04-19T12:00,2026-04-19T12:32,U0137,Cloud Operations,Server,Disk Capacity,P2,Portal,0.55,8,Yes,No,5,No
INC-30122,2026-06-06T16:00,2026-06-07T22:57,U0130,Cloud Operations,Server,Patch Failure,P3,Monitoring,30.96,24,No,No,5,Yes
INC-30123,2026-07-13T06:00,2026-07-13T09:08,U0011,Infrastructure,Security,Conditional Access,P3,Portal,3.13,24,Yes,No,5,Yes
INC-30124,2026-03-17T13:00,2026-03-17T17:37,U0050,Infrastructure,Security,Malware Alert,P3,Email,4.62,24,Yes,Yes,5,No
INC-30125,2026-01-31T03:00,2026-01-31T07:30,U0242,Service Desk,Printing,Driver,P3,Phone,4.51,24,Yes,No,5,No
INC-30126,2026-05-07T12:00,2026-05-07T17:19,U0115,Service Desk,Printing,Printer Offline,P3,Monitoring,5.33,24,Yes,No,5,No
INC-30127,2026-04-09T20:00,2026-04-10T19:20,U0230,Security Operations,Endpoint,Software Install,P4,Portal,23.34,72,Yes,No,4,Yes
INC-30128,2026-06-29T15:00,2026-06-29T18:19,U0235,Cloud Operations,Server,Backup,P2,Email,3.33,8,Yes,No,5,Yes
INC-30129,2026-02-17T01:00,2026-02-17T06:48,U0011,Cloud Operations,Network,Wi-Fi,P3,Monitoring,5.81,24,Yes,No,5,Yes
INC-30130,2026-01-02T04:00,2026-01-02T11:22,U0229,Cloud Operations,Endpoint,Windows Update,P3,Email,7.37,24,Yes,No,5,Yes
INC-30131,2026-01-11T01:00,2026-01-11T07:01,U0154,Cloud Operations,Microsoft 365,Shared Mailbox,P4,Monitoring,6.02,72,Yes,No,5,Yes
INC-30132,2026-02-11T03:00,2026-02-11T18:16,U0042,Service Desk,Server,Service Down,P3,Phone,15.27,24,Yes,No,5,Yes
INC-30133,2026-02-26T01:00,2026-02-26T03:30,U0092,Service Desk,Identity and Access,Account Lockout,P3,Phone,2.51,24,Yes,No,3,Yes
INC-30134,2026-03-04T21:00,2026-03-05T01:20,U0081,Cloud Operations,Microsoft 365,OneDrive,P3,Phone,4.34,24,Yes,No,5,Yes
INC-30135,2026-02-19T09:00,2026-02-19T11:17,U0106,Cloud Operations,Identity and Access,MFA,P2,Portal,2.29,8,Yes,No,5,Yes
INC-30136,2026-03-06T15:00,2026-03-06T19:20,U0036,Security Operations,Microsoft 365,OneDrive,P3,Email,4.34,24,Yes,No,3,No
INC-30137,2026-02-10T19:00,2026-02-11T13:11,U0079,Infrastructure,Network,DNS,P2,Email,18.2,8,No,No,5,Yes
INC-30138,2026-02-08T11:00,2026-02-08T18:52,U0051,Service Desk,Microsoft 365,Outlook,P1,Portal,7.88,4,No,No,4,Yes
INC-30139,2026-04-14T07:00,2026-04-14T11:22,U0024,Infrastructure,Identity and Access,Account Lockout,P4,Phone,4.37,72,Yes,No,5,No
INC-30140,2026-03-24T21:00,2026-03-25T06:02,U0056,Infrastructure,Microsoft 365,OneDrive,P2,Email,9.04,8,No,No,5,Yes
INC-30141,2026-02-04T00:00,2026-02-04T19:18,U0179,Infrastructure,Network,DHCP,P4,Portal,19.31,72,Yes,No,4,No
INC-30142,2026-05-26T02:00,2026-05-26T06:57,U0081,Service Desk,Network,DHCP,P3,Portal,4.96,24,Yes,No,5,No
INC-30143,2026-04-09T17:00,2026-04-10T01:03,U0117,Cloud Operations,Identity and Access,Access Request,P2,Email,8.06,8,No,No,4,No
INC-30144,2026-05-27T09:00,2026-05-28T04:56,U0004,Security Operations,Network,VPN,P4,Monitoring,19.95,72,Yes,No,5,Yes
INC-30145,2026-02-11T00:00,2026-02-11T04:10,U0051,Cloud Operations,Endpoint,Software Install,P3,Monitoring,4.18,24,Yes,No,5,No
INC-30146,2026-04-06T09:00,2026-04-06T13:41,U0244,Security Operations,Cloud,Storage,P4,Phone,4.69,72,Yes,No,5,Yes
INC-30147,2026-03-27T21:00,2026-03-28T06:53,U0026,Service Desk,Security,Phishing,P3,Monitoring,9.88,24,Yes,No,4,Yes
INC-30148,2026-04-22T22:00,2026-04-23T13:49,U0170,Security Operations,Endpoint,Windows Update,P3,Email,15.82,24,Yes,No,5,Yes
INC-30149,2026-03-31T15:00,2026-03-31T23:36,U0196,Service Desk,Server,Backup,P4,Portal,8.61,72,Yes,No,4,No
INC-30150,2026-06-01T09:00,2026-06-01T11:24,U0200,Cloud Operations,Security,Conditional Access,P2,Email,2.41,8,Yes,No,4,Yes
INC-30151,2026-05-14T03:00,2026-05-14T12:43,U0142,Security Operations,Security,Malware Alert,P4,Email,9.72,72,Yes,No,5,Yes
INC-30152,2026-05-10T06:00,2026-05-10T12:04,U0152,Service Desk,Server,Service Down,P4,Phone,6.08,72,Yes,No,5,Yes
INC-30153,2026-04-27T19:00,2026-04-28T00:59,U0090,Service Desk,Printing,Driver,P2,Email,5.99,8,Yes,No,5,Yes
INC-30154,2026-01-30T07:00,2026-01-30T11:29,U0138,Cloud Operations,Microsoft 365,Outlook,P4,Monitoring,4.49,72,Yes,No,5,Yes
INC-30155,2026-05-25T02:00,2026-05-25T09:50,U0082,Security Operations,Cloud,Storage,P2,Phone,7.85,8,Yes,No,5,Yes
INC-30156,2026-03-12T14:00,2026-03-13T17:14,U0043,Cloud Operations,Server,Patch Failure,P3,Monitoring,27.24,24,No,No,5,No
INC-30157,2026-01-27T01:00,2026-01-27T07:56,U0191,Service Desk,Network,VPN,P3,Phone,6.94,24,Yes,No,5,No
INC-30158,2026-06-12T13:00,2026-06-13T13:19,U0078,Cloud Operations,Printing,Queue,P3,Phone,24.33,24,No,No,5,Yes
INC-30159,2026-06-26T05:00,2026-06-26T18:39,U0161,Infrastructure,Security,Conditional Access,P4,Monitoring,13.65,72,Yes,No,5,No
INC-30160,2026-04-02T18:00,2026-04-03T05:08,U0052,Cloud Operations,Printing,Queue,P4,Email,11.14,72,Yes,No,5,Yes
INC-30161,2026-04-13T19:00,2026-04-14T19:59,U0069,Cloud Operations,Printing,Driver,P3,Email,25.0,24,No,No,5,Yes
INC-30162,2026-03-23T17:00,2026-03-23T22:05,U0112,Security Operations,Microsoft 365,Outlook,P2,Email,5.09,8,Yes,No,4,Yes
INC-30163,2026-04-06T03:00,2026-04-06T20:10,U0077,Service Desk,Endpoint,Windows Update,P3,Phone,17.18,24,Yes,No,3,Yes
INC-30164,2026-02-18T07:00,2026-02-18T16:37,U0244,Cloud Operations,Network,DHCP,P2,Portal,9.63,8,No,No,3,No
INC-30165,2026-04-18T07:00,2026-04-19T22:20,U0191,Infrastructure,Server,Backup,P4,Email,39.33,72,Yes,No,4,Yes
INC-30166,2026-04-05T01:00,2026-04-05T10:25,U0029,Cloud Operations,Security,Conditional Access,P3,Monitoring,9.42,24,Yes,No,4,No
INC-30167,2026-02-19T19:00,2026-02-20T01:23,U0166,Service Desk,Server,Disk Capacity,P3,Email,6.39,24,Yes,No,5,Yes
INC-30168,2026-05-05T04:00,2026-05-05T08:26,U0003,Security Operations,Microsoft 365,OneDrive,P3,Phone,4.44,24,Yes,No,4,Yes
INC-30169,2026-02-25T00:00,2026-02-25T07:12,U0222,Service Desk,Security,Malware Alert,P3,Monitoring,7.21,24,Yes,No,4,No
INC-30170,2026-02-04T14:00,2026-02-04T22:16,U0155,Cloud Operations,Endpoint,Windows Update,P4,Portal,8.27,72,Yes,No,5,Yes
INC-30171,2026-06-01T16:00,2026-06-01T20:41,U0148,Service Desk,Endpoint,Slow Device,P1,Email,4.68,4,No,No,5,No
INC-30172,2026-02-14T17:00,2026-02-14T22:13,U0189,Infrastructure,Printing,Queue,P4,Email,5.23,72,Yes,No,4,No
INC-30173,2026-03-10T03:00,2026-03-12T01:56,U0250,Security Operations,Microsoft 365,Teams,P3,Phone,46.94,24,No,No,4,Yes
INC-30174,2026-05-27T17:00,2026-05-28T01:54,U0135,Security Operations,Cloud,Storage,P2,Monitoring,8.92,8,No,No,5,Yes
INC-30175,2026-04-02T04:00,2026-04-02T10:15,U0053,Infrastructure,Cloud,IAM,P4,Email,6.25,72,Yes,No,5,No
INC-30176,2026-01-11T03:00,2026-01-11T07:23,U0064,Cloud Operations,Cloud,Storage,P4,Portal,4.39,72,Yes,Yes,4,No
INC-30177,2026-05-17T00:00,2026-05-17T22:33,U0066,Service Desk,Network,VPN,P4,Portal,22.56,72,Yes,No,4,Yes
INC-30178,2026-05-02T06:00,2026-05-02T14:14,U0102,Cloud Operations,Identity and Access,MFA,P1,Portal,8.24,4,No,No,4,Yes
INC-30179,2026-06-18T13:00,2026-06-18T17:04,U0136,Security Operations,Server,Service Down,P4,Phone,4.08,72,Yes,No,3,No
INC-30180,2026-06-20T17:00,2026-06-21T10:32,U0225,Cloud Operations,Cloud,IAM,P4,Phone,17.55,72,Yes,No,4,Yes
INC-30181,2026-06-18T00:00,2026-06-19T12:30,U0113,Service Desk,Endpoint,Software Install,P3,Email,36.5,24,No,No,4,Yes
INC-30182,2026-03-31T03:00,2026-03-31T07:19,U0125,Security Operations,Endpoint,Windows Update,P4,Portal,4.33,72,Yes,No,4,Yes
INC-30183,2026-02-02T06:00,2026-02-02T10:58,U0131,Cloud Operations,Network,DNS,P4,Portal,4.98,72,Yes,No,5,Yes
INC-30184,2026-01-27T13:00,2026-01-30T02:36,U0007,Cloud Operations,Network,VPN,P4,Monitoring,61.61,72,Yes,No,3,No
INC-30185,2026-02-22T19:00,2026-02-23T23:29,U0117,Cloud Operations,Identity and Access,Password Reset,P2,Phone,28.5,8,No,No,5,Yes
INC-30186,2026-06-04T23:00,2026-06-05T11:39,U0221,Service Desk,Server,Patch Failure,P4,Phone,12.67,72,Yes,No,5,Yes
INC-30187,2026-05-11T12:00,2026-05-12T02:02,U0200,Security Operations,Microsoft 365,OneDrive,P3,Email,14.04,24,Yes,No,5,No
INC-30188,2026-04-17T04:00,2026-04-17T07:35,U0052,Security Operations,Endpoint,Windows Update,P3,Monitoring,3.59,24,Yes,No,5,Yes
