date,service,availability_pct,latency_p95_ms,error_rate_pct,slo_met
2025-03-22,identity,99.95,198,0.025,Yes
2025-03-23,payments,99.95,199,0.025,Yes
2025-03-24,portal,99.95,200,0.025,Yes
2025-03-25,identity,99.95,201,0.025,Yes
2025-03-26,payments,99.95,202,0.025,Yes
2025-03-27,portal,99.95,203,0.025,Yes
2025-03-28,identity,99.95,204,0.025,Yes
2025-03-01,payments,99.95,205,0.025,Yes
2025-03-02,portal,99.95,206,0.025,Yes
2025-03-03,identity,99.7,207,0.15,No
2025-03-04,payments,99.95,208,0.025,Yes
2025-03-05,portal,99.95,209,0.025,Yes
2025-03-06,identity,99.95,210,0.025,Yes
2025-04-07,payments,99.95,211,0.025,Yes
2025-04-08,portal,99.95,212,0.025,Yes
2025-04-09,identity,99.95,213,0.025,Yes
2025-04-10,payments,99.95,214,0.025,Yes
2025-04-11,portal,99.95,215,0.025,Yes
2025-04-12,identity,99.95,216,0.025,Yes
2025-04-13,payments,99.95,217,0.025,Yes
2025-04-14,portal,99.95,218,0.025,Yes
2025-04-15,identity,99.95,219,0.025,Yes
2025-04-16,payments,99.95,220,0.025,Yes
2025-04-17,portal,99.95,221,0.025,Yes
2025-04-18,identity,99.95,222,0.025,Yes
2025-04-19,payments,99.95,223,0.025,Yes
2025-04-20,portal,99.95,224,0.025,Yes
2025-04-21,identity,99.95,225,0.025,Yes
2025-04-22,payments,99.95,226,0.025,Yes
2025-04-23,portal,99.95,227,0.025,Yes
2025-04-24,identity,99.95,228,0.025,Yes
2025-04-25,payments,99.95,229,0.025,Yes
2025-04-26,portal,99.95,230,0.025,Yes
2025-04-27,identity,99.95,231,0.025,Yes
2025-04-28,payments,99.95,232,0.025,Yes
2025-04-01,portal,99.95,233,0.025,Yes
2025-04-02,identity,99.95,234,0.025,Yes
2025-04-03,payments,99.95,235,0.025,Yes
2025-04-04,portal,99.7,236,0.15,No
2025-04-05,identity,99.95,237,0.025,Yes
2025-04-06,payments,99.95,238,0.025,Yes
2025-04-07,portal,99.95,239,0.025,Yes
2025-04-08,identity,99.95,240,0.025,Yes
2025-05-09,payments,99.95,241,0.025,Yes
2025-05-10,portal,99.95,242,0.025,Yes
2025-05-11,identity,99.95,243,0.025,Yes
2025-05-12,payments,99.95,244,0.025,Yes
2025-05-13,portal,99.95,245,0.025,Yes
2025-05-14,identity,99.95,246,0.025,Yes
2025-05-15,payments,99.95,247,0.025,Yes
2025-05-16,portal,99.95,248,0.025,Yes
2025-05-17,identity,99.95,249,0.025,Yes
2025-05-18,payments,99.95,250,0.025,Yes
2025-05-19,portal,99.95,251,0.025,Yes
2025-05-20,identity,99.95,252,0.025,Yes
2025-05-21,payments,99.95,253,0.025,Yes
2025-05-22,portal,99.95,254,0.025,Yes
2025-05-23,identity,99.95,255,0.025,Yes
2025-05-24,payments,99.95,256,0.025,Yes
2025-05-25,portal,99.95,257,0.025,Yes
2025-05-26,identity,99.95,258,0.025,Yes
2025-05-27,payments,99.95,259,0.025,Yes
2025-05-28,portal,99.95,260,0.025,Yes
2025-05-01,identity,99.95,261,0.025,Yes
2025-05-02,payments,99.95,262,0.025,Yes
2025-05-03,portal,99.95,263,0.025,Yes
2025-05-04,identity,99.95,264,0.025,Yes
2025-05-05,payments,99.7,265,0.15,No
2025-05-06,portal,99.95,266,0.025,Yes
2025-05-07,identity,99.95,267,0.025,Yes
2025-05-08,payments,99.95,268,0.025,Yes
2025-05-09,portal,99.95,269,0.025,Yes
2025-05-10,identity,99.95,270,0.025,Yes
2025-06-11,payments,99.95,271,0.025,Yes
2025-06-12,portal,99.95,272,0.025,Yes
2025-06-13,identity,99.95,273,0.025,Yes
2025-06-14,payments,99.95,274,0.025,Yes
2025-06-15,portal,99.95,275,0.025,Yes
2025-06-16,identity,99.95,276,0.025,Yes
2025-06-17,payments,99.95,277,0.025,Yes
2025-06-18,portal,99.95,278,0.025,Yes
2025-06-19,identity,99.95,279,0.025,Yes
2025-06-20,payments,99.95,280,0.025,Yes
2025-06-21,portal,99.95,281,0.025,Yes
2025-06-22,identity,99.95,282,0.025,Yes
2025-06-23,payments,99.95,283,0.025,Yes
2025-06-24,portal,99.95,284,0.025,Yes
2025-06-25,identity,99.95,285,0.025,Yes
2025-06-26,payments,99.95,286,0.025,Yes
2025-06-27,portal,99.95,287,0.025,Yes
2025-06-28,identity,99.95,288,0.025,Yes
2025-06-01,payments,99.95,289,0.025,Yes
2025-06-02,portal,99.95,290,0.025,Yes
2025-06-03,identity,99.95,291,0.025,Yes
2025-06-04,payments,99.95,292,0.025,Yes
2025-06-05,portal,99.95,293,0.025,Yes
2025-06-06,identity,99.7,294,0.15,No
2025-06-07,payments,99.95,295,0.025,Yes
2025-06-08,portal,99.95,296,0.025,Yes
2025-06-09,identity,99.95,297,0.025,Yes
2025-06-10,payments,99.95,298,0.025,Yes
2025-06-11,portal,99.95,299,0.025,Yes
2025-06-12,identity,99.95,120,0.025,Yes
2025-07-13,payments,99.95,121,0.025,Yes
2025-07-14,portal,99.95,122,0.025,Yes
2025-07-15,identity,99.95,123,0.025,Yes
2025-07-16,payments,99.95,124,0.025,Yes
2025-07-17,portal,99.95,125,0.025,Yes
2025-07-18,identity,99.95,126,0.025,Yes
2025-07-19,payments,99.95,127,0.025,Yes
2025-07-20,portal,99.95,128,0.025,Yes
2025-07-21,identity,99.95,129,0.025,Yes
2025-07-22,payments,99.95,130,0.025,Yes
2025-07-23,portal,99.95,131,0.025,Yes
2025-07-24,identity,99.95,132,0.025,Yes
2025-07-25,payments,99.95,133,0.025,Yes
2025-07-26,portal,99.95,134,0.025,Yes
2025-07-27,identity,99.95,135,0.025,Yes
2025-07-28,payments,99.95,136,0.025,Yes
2025-07-01,portal,99.95,137,0.025,Yes
2025-07-02,identity,99.95,138,0.025,Yes
2025-07-03,payments,99.95,139,0.025,Yes
2025-07-04,portal,99.95,140,0.025,Yes
2025-07-05,identity,99.95,141,0.025,Yes
2025-07-06,payments,99.95,142,0.025,Yes
2025-07-07,portal,99.7,143,0.15,No
2025-07-08,identity,99.95,144,0.025,Yes
2025-07-09,payments,99.95,145,0.025,Yes
2025-07-10,portal,99.95,146,0.025,Yes
2025-07-11,identity,99.95,147,0.025,Yes
2025-07-12,payments,99.95,148,0.025,Yes
2025-07-13,portal,99.95,149,0.025,Yes
2025-07-14,identity,99.95,150,0.025,Yes
2025-08-15,payments,99.95,151,0.025,Yes
2025-08-16,portal,99.95,152,0.025,Yes
2025-08-17,identity,99.95,153,0.025,Yes
2025-08-18,payments,99.95,154,0.025,Yes
2025-08-19,portal,99.95,155,0.025,Yes
2025-08-20,identity,99.95,156,0.025,Yes
2025-08-21,payments,99.95,157,0.025,Yes
2025-08-22,portal,99.95,158,0.025,Yes
2025-08-23,identity,99.95,159,0.025,Yes
2025-08-24,payments,99.95,160,0.025,Yes
2025-08-25,portal,99.95,161,0.025,Yes
2025-08-26,identity,99.95,162,0.025,Yes
2025-08-27,payments,99.95,163,0.025,Yes
2025-08-28,portal,99.95,164,0.025,Yes
2025-08-01,identity,99.95,165,0.025,Yes
2025-08-02,payments,99.95,166,0.025,Yes
2025-08-03,portal,99.95,167,0.025,Yes
2025-08-04,identity,99.95,168,0.025,Yes
2025-08-05,payments,99.95,169,0.025,Yes
2025-08-06,portal,99.95,170,0.025,Yes
2025-08-07,identity,99.95,171,0.025,Yes
2025-08-08,payments,99.7,172,0.15,No
2025-08-09,portal,99.95,173,0.025,Yes
2025-08-10,identity,99.95,174,0.025,Yes
2025-08-11,payments,99.95,175,0.025,Yes
2025-08-12,portal,99.95,176,0.025,Yes
2025-08-13,identity,99.95,177,0.025,Yes
2025-08-14,payments,99.95,178,0.025,Yes
2025-08-15,portal,99.95,179,0.025,Yes
2025-08-16,identity,99.95,180,0.025,Yes
2025-09-17,payments,99.95,181,0.025,Yes
2025-09-18,portal,99.95,182,0.025,Yes
2025-09-19,identity,99.95,183,0.025,Yes
2025-09-20,payments,99.95,184,0.025,Yes
2025-09-21,portal,99.95,185,0.025,Yes
2025-09-22,identity,99.95,186,0.025,Yes
2025-09-23,payments,99.95,187,0.025,Yes
2025-09-24,portal,99.95,188,0.025,Yes
2025-09-25,identity,99.95,189,0.025,Yes
2025-09-26,payments,99.95,190,0.025,Yes
2025-09-27,portal,99.95,191,0.025,Yes
2025-09-28,identity,99.95,192,0.025,Yes
2025-09-01,payments,99.95,193,0.025,Yes
2025-09-02,portal,99.95,194,0.025,Yes
2025-09-03,identity,99.95,195,0.025,Yes
2025-09-04,payments,99.95,196,0.025,Yes
2025-09-05,portal,99.95,197,0.025,Yes
2025-09-06,identity,99.95,198,0.025,Yes
2025-09-07,payments,99.95,199,0.025,Yes
2025-09-08,portal,99.95,200,0.025,Yes
2025-09-09,identity,99.7,201,0.15,No
2025-09-10,payments,99.95,202,0.025,Yes
2025-09-11,portal,99.95,203,0.025,Yes
2025-09-12,identity,99.95,204,0.025,Yes
2025-09-13,payments,99.95,205,0.025,Yes
2025-09-14,portal,99.95,206,0.025,Yes
2025-09-15,identity,99.95,207,0.025,Yes
2025-09-16,payments,99.95,208,0.025,Yes
2025-09-17,portal,99.95,209,0.025,Yes
2025-09-18,identity,99.95,210,0.025,Yes
2025-10-19,payments,99.95,211,0.025,Yes
2025-10-20,portal,99.95,212,0.025,Yes
2025-10-21,identity,99.95,213,0.025,Yes
2025-10-22,payments,99.95,214,0.025,Yes
2025-10-23,portal,99.95,215,0.025,Yes
2025-10-24,identity,99.95,216,0.025,Yes
2025-10-25,payments,99.95,217,0.025,Yes
2025-10-26,portal,99.95,218,0.025,Yes
2025-10-27,identity,99.95,219,0.025,Yes
2025-10-28,payments,99.95,220,0.025,Yes
2025-10-01,portal,99.95,221,0.025,Yes
2025-10-02,identity,99.95,222,0.025,Yes
2025-10-03,payments,99.95,223,0.025,Yes
2025-10-04,portal,99.95,224,0.025,Yes
2025-10-05,identity,99.95,225,0.025,Yes
2025-10-06,payments,99.95,226,0.025,Yes
2025-10-07,portal,99.95,227,0.025,Yes
2025-10-08,identity,99.95,228,0.025,Yes
2025-10-09,payments,99.95,229,0.025,Yes
2025-10-10,portal,99.7,230,0.15,No
2025-10-11,identity,99.95,231,0.025,Yes
2025-10-12,payments,99.95,232,0.025,Yes
2025-10-13,portal,99.95,233,0.025,Yes
2025-10-14,identity,99.95,234,0.025,Yes
2025-10-15,payments,99.95,235,0.025,Yes
2025-10-16,portal,99.95,236,0.025,Yes
2025-10-17,identity,99.95,237,0.025,Yes
2025-10-18,payments,99.95,238,0.025,Yes
2025-10-19,portal,99.95,239,0.025,Yes
2025-10-20,identity,99.95,240,0.025,Yes
2025-11-21,payments,99.95,241,0.025,Yes
2025-11-22,portal,99.95,242,0.025,Yes
2025-11-23,identity,99.95,243,0.025,Yes
2025-11-24,payments,99.95,244,0.025,Yes
2025-11-25,portal,99.95,245,0.025,Yes
2025-11-26,identity,99.95,246,0.025,Yes
2025-11-27,payments,99.95,247,0.025,Yes
2025-11-28,portal,99.95,248,0.025,Yes
2025-11-01,identity,99.95,249,0.025,Yes
2025-11-02,payments,99.95,250,0.025,Yes
2025-11-03,portal,99.95,251,0.025,Yes
2025-11-04,identity,99.95,252,0.025,Yes
2025-11-05,payments,99.95,253,0.025,Yes
2025-11-06,portal,99.95,254,0.025,Yes
2025-11-07,identity,99.95,255,0.025,Yes
2025-11-08,payments,99.95,256,0.025,Yes
2025-11-09,portal,99.95,257,0.025,Yes
2025-11-10,identity,99.95,258,0.025,Yes
2025-11-11,payments,99.7,259,0.15,No
2025-11-12,portal,99.95,260,0.025,Yes
2025-11-13,identity,99.95,261,0.025,Yes
2025-11-14,payments,99.95,262,0.025,Yes
2025-11-15,portal,99.95,263,0.025,Yes
2025-11-16,identity,99.95,264,0.025,Yes
2025-11-17,payments,99.95,265,0.025,Yes
2025-11-18,portal,99.95,266,0.025,Yes
2025-11-19,identity,99.95,267,0.025,Yes
2025-11-20,payments,99.95,268,0.025,Yes
2025-11-21,portal,99.95,269,0.025,Yes
2025-11-22,identity,99.95,270,0.025,Yes
2025-12-23,payments,99.95,271,0.025,Yes
2025-12-24,portal,99.95,272,0.025,Yes
2025-12-25,identity,99.95,273,0.025,Yes
2025-12-26,payments,99.95,274,0.025,Yes
2025-12-27,portal,99.95,275,0.025,Yes
2025-12-28,identity,99.95,276,0.025,Yes
2025-12-01,payments,99.95,277,0.025,Yes
2025-12-02,portal,99.95,278,0.025,Yes
2025-12-03,identity,99.95,279,0.025,Yes
2025-12-04,payments,99.95,280,0.025,Yes
2025-12-05,portal,99.95,281,0.025,Yes
2025-12-06,identity,99.95,282,0.025,Yes
2025-12-07,payments,99.95,283,0.025,Yes
2025-12-08,portal,99.95,284,0.025,Yes
2025-12-09,identity,99.95,285,0.025,Yes
2025-12-10,payments,99.95,286,0.025,Yes
2025-12-11,portal,99.95,287,0.025,Yes
2025-12-12,identity,99.7,288,0.15,No
2025-12-13,payments,99.95,289,0.025,Yes
2025-12-14,portal,99.95,290,0.025,Yes
2025-12-15,identity,99.95,291,0.025,Yes
2025-12-16,payments,99.95,292,0.025,Yes
2025-12-17,portal,99.95,293,0.025,Yes
2025-12-18,identity,99.95,294,0.025,Yes
2025-12-19,payments,99.95,295,0.025,Yes
2025-12-20,portal,99.95,296,0.025,Yes
2025-12-21,identity,99.95,297,0.025,Yes
2025-12-22,payments,99.95,298,0.025,Yes
2025-12-23,portal,99.95,299,0.025,Yes
2025-12-24,identity,99.95,120,0.025,Yes
2025-01-25,payments,99.95,121,0.025,Yes
2025-01-26,portal,99.95,122,0.025,Yes
2025-01-27,identity,99.95,123,0.025,Yes
2025-01-28,payments,99.95,124,0.025,Yes
2025-01-01,portal,99.95,125,0.025,Yes
