timestamp,cloud,source,destination,port,protocol,action,bytes
2026-01-01T00:38:00,Azure,10.3.181.166,10.7.184.210,22,TCP,ACCEPT,991661
2026-01-01T00:39:00,AWS,10.17.24.245,10.19.83.110,53,UDP,REJECT,745972
2026-01-01T00:40:00,AWS,10.14.144.107,10.24.41.24,22,UDP,REJECT,265106
2026-01-01T00:41:00,Azure,10.11.5.39,10.30.81.227,53,TCP,ACCEPT,168832
2026-01-01T00:42:00,AWS,10.23.177.17,10.23.211.208,53,UDP,ACCEPT,519081
2026-01-01T00:43:00,Azure,10.24.25.75,10.15.76.218,80,TCP,ACCEPT,240202
2026-01-01T00:44:00,AWS,10.16.228.174,10.8.66.116,5432,TCP,ACCEPT,312840
2026-01-01T00:45:00,Azure,10.18.212.139,10.14.158.128,3389,TCP,ACCEPT,436893
2026-01-01T00:46:00,AWS,10.13.64.191,10.24.136.67,3389,TCP,REJECT,318636
2026-01-01T00:47:00,Azure,10.29.193.177,10.9.56.149,3389,UDP,ACCEPT,130846
2026-01-01T00:48:00,Azure,10.6.124.177,10.5.78.197,5432,TCP,ACCEPT,100607
2026-01-01T00:49:00,Azure,10.25.171.224,10.24.10.32,3389,UDP,ACCEPT,695174
2026-01-01T00:50:00,Azure,10.20.17.21,10.19.13.134,3389,TCP,ACCEPT,681810
2026-01-01T00:51:00,Azure,10.2.200.36,10.9.251.214,22,UDP,ACCEPT,571442
2026-01-01T00:52:00,Azure,10.24.104.112,10.30.124.88,5432,UDP,REJECT,879985
2026-01-01T00:53:00,Azure,10.29.39.98,10.2.82.159,3389,UDP,ACCEPT,976585
2026-01-01T00:54:00,AWS,10.25.138.77,10.11.151.44,80,UDP,ACCEPT,770365
2026-01-01T00:55:00,Azure,10.30.161.228,10.10.129.201,443,TCP,ACCEPT,571784
2026-01-01T00:56:00,AWS,10.8.18.143,10.23.132.199,53,UDP,REJECT,619213
2026-01-01T00:57:00,AWS,10.27.237.10,10.19.32.18,3389,TCP,ACCEPT,780645
2026-01-01T00:58:00,AWS,10.27.65.168,10.29.101.81,53,UDP,ACCEPT,526924
2026-01-01T00:59:00,Azure,10.21.118.224,10.4.154.28,443,TCP,REJECT,594772
2026-01-01T01:00:00,Azure,10.4.56.55,10.20.107.28,443,TCP,ACCEPT,247010
2026-01-01T01:01:00,Azure,10.1.131.148,10.26.159.69,80,TCP,REJECT,795951
2026-01-01T01:02:00,Azure,10.19.51.159,10.25.165.179,443,UDP,ACCEPT,963125
2026-01-01T01:03:00,Azure,10.30.49.198,10.30.80.88,3389,TCP,ACCEPT,708556
2026-01-01T01:04:00,Azure,10.13.120.113,10.13.142.121,53,UDP,ACCEPT,221176
2026-01-01T01:05:00,AWS,10.14.119.129,10.10.195.125,80,UDP,ACCEPT,514902
2026-01-01T01:06:00,AWS,10.3.182.59,10.19.148.99,3389,UDP,ACCEPT,78165
2026-01-01T01:07:00,AWS,10.10.23.105,10.15.238.221,5432,TCP,ACCEPT,330261
2026-01-01T01:08:00,AWS,10.21.53.205,10.30.248.174,22,TCP,ACCEPT,894689
2026-01-01T01:09:00,AWS,10.13.250.17,10.22.140.32,5432,TCP,ACCEPT,237715
2026-01-01T01:10:00,Azure,10.7.206.62,10.19.12.141,80,UDP,REJECT,187452
2026-01-01T01:11:00,Azure,10.22.132.186,10.27.23.175,5432,TCP,REJECT,56788
2026-01-01T01:12:00,AWS,10.3.174.69,10.3.7.94,80,UDP,ACCEPT,436804
2026-01-01T01:13:00,AWS,10.22.170.115,10.10.65.26,80,TCP,ACCEPT,341621
2026-01-01T01:14:00,AWS,10.2.106.165,10.14.120.219,5432,UDP,ACCEPT,320225
2026-01-01T01:15:00,Azure,10.12.79.32,10.16.58.33,443,UDP,ACCEPT,445245
2026-01-01T01:16:00,AWS,10.13.222.158,10.18.222.148,443,UDP,ACCEPT,401852
2026-01-01T01:17:00,Azure,10.24.6.42,10.14.64.223,80,TCP,ACCEPT,413518
2026-01-01T01:18:00,Azure,10.8.82.254,10.17.98.6,53,TCP,ACCEPT,722975
2026-01-01T01:19:00,Azure,10.7.28.169,10.5.207.131,22,TCP,ACCEPT,174250
2026-01-01T01:20:00,AWS,10.29.30.168,10.29.177.187,80,TCP,ACCEPT,824386
2026-01-01T01:21:00,AWS,10.15.44.159,10.8.194.118,22,TCP,REJECT,513348
2026-01-01T01:22:00,AWS,10.7.29.231,10.4.185.121,80,UDP,ACCEPT,326218
2026-01-01T01:23:00,Azure,10.4.220.34,10.10.45.47,5432,TCP,ACCEPT,928097
2026-01-01T01:24:00,AWS,10.14.190.202,10.10.40.208,5432,TCP,ACCEPT,425222
2026-01-01T01:25:00,AWS,10.10.52.102,10.6.106.193,3389,TCP,ACCEPT,231192
2026-01-01T01:26:00,AWS,10.9.121.147,10.6.20.246,3389,TCP,ACCEPT,416573
2026-01-01T01:27:00,Azure,10.15.121.190,10.3.12.120,5432,TCP,ACCEPT,652602
2026-01-01T01:28:00,Azure,10.19.54.94,10.13.236.239,22,TCP,ACCEPT,822592
2026-01-01T01:29:00,AWS,10.9.94.17,10.27.134.29,3389,UDP,ACCEPT,984748
2026-01-01T01:30:00,Azure,10.16.86.87,10.24.190.117,5432,UDP,ACCEPT,520881
2026-01-01T01:31:00,Azure,10.28.202.65,10.15.146.8,22,UDP,ACCEPT,236441
2026-01-01T01:32:00,Azure,10.17.179.206,10.20.147.132,443,UDP,ACCEPT,985965
2026-01-01T01:33:00,AWS,10.4.245.134,10.20.180.57,22,TCP,ACCEPT,232947
2026-01-01T01:34:00,Azure,10.18.55.100,10.3.53.4,53,TCP,ACCEPT,917573
2026-01-01T01:35:00,Azure,10.20.163.173,10.26.145.169,53,TCP,ACCEPT,553787
2026-01-01T01:36:00,AWS,10.27.97.40,10.28.236.209,5432,UDP,REJECT,506505
2026-01-01T01:37:00,AWS,10.30.40.5,10.27.50.217,443,TCP,ACCEPT,334732
2026-01-01T01:38:00,Azure,10.19.208.98,10.10.37.226,22,TCP,ACCEPT,778951
2026-01-01T01:39:00,Azure,10.11.25.213,10.7.235.90,5432,TCP,ACCEPT,602494
2026-01-01T01:40:00,AWS,10.17.54.156,10.2.29.117,5432,TCP,ACCEPT,535551
2026-01-01T01:41:00,Azure,10.27.140.110,10.27.11.26,53,UDP,ACCEPT,80139
2026-01-01T01:42:00,Azure,10.3.129.107,10.23.152.145,80,TCP,ACCEPT,959502
2026-01-01T01:43:00,AWS,10.19.16.180,10.3.235.45,3389,TCP,ACCEPT,590600
2026-01-01T01:44:00,AWS,10.9.18.193,10.1.254.196,5432,TCP,ACCEPT,439668
2026-01-01T01:45:00,Azure,10.19.216.14,10.19.252.63,3389,UDP,ACCEPT,513597
2026-01-01T01:46:00,AWS,10.27.4.162,10.18.192.145,443,UDP,ACCEPT,527529
2026-01-01T01:47:00,Azure,10.17.149.234,10.12.159.89,3389,UDP,ACCEPT,313186
2026-01-01T01:48:00,AWS,10.28.8.231,10.27.107.61,443,UDP,ACCEPT,140243
2026-01-01T01:49:00,AWS,10.24.111.196,10.30.140.118,443,TCP,REJECT,876781
2026-01-01T01:50:00,Azure,10.9.95.31,10.27.152.169,22,UDP,ACCEPT,272321
2026-01-01T01:51:00,Azure,10.10.77.78,10.13.21.191,3389,UDP,ACCEPT,743702
2026-01-01T01:52:00,AWS,10.23.204.250,10.30.117.81,53,UDP,ACCEPT,398105
2026-01-01T01:53:00,AWS,10.6.210.107,10.25.44.154,3389,TCP,ACCEPT,981530
2026-01-01T01:54:00,AWS,10.3.137.15,10.16.143.191,5432,TCP,ACCEPT,461699
2026-01-01T01:55:00,AWS,10.13.222.60,10.29.181.29,22,TCP,ACCEPT,454286
2026-01-01T01:56:00,AWS,10.8.100.209,10.12.52.38,80,TCP,ACCEPT,357392
2026-01-01T01:57:00,AWS,10.12.196.173,10.8.232.26,3389,UDP,REJECT,861928
2026-01-01T01:58:00,AWS,10.21.43.209,10.23.46.246,80,UDP,ACCEPT,929883
2026-01-01T01:59:00,Azure,10.27.228.198,10.9.122.171,22,UDP,ACCEPT,435282
2026-01-01T02:00:00,Azure,10.20.44.179,10.15.165.8,53,TCP,ACCEPT,38884
2026-01-01T02:01:00,AWS,10.28.253.87,10.3.226.36,22,TCP,ACCEPT,693627
2026-01-01T02:02:00,AWS,10.23.196.201,10.7.111.218,80,TCP,ACCEPT,743133
2026-01-01T02:03:00,AWS,10.7.64.142,10.25.54.216,22,UDP,ACCEPT,2791
2026-01-01T02:04:00,Azure,10.16.72.19,10.8.127.116,5432,UDP,ACCEPT,613974
2026-01-01T02:05:00,Azure,10.16.118.28,10.14.23.3,5432,UDP,ACCEPT,474503
2026-01-01T02:06:00,AWS,10.12.227.239,10.7.118.224,53,TCP,ACCEPT,895266
2026-01-01T02:07:00,AWS,10.11.255.236,10.13.40.43,443,UDP,ACCEPT,914345
2026-01-01T02:08:00,Azure,10.6.105.235,10.15.246.165,3389,TCP,REJECT,484241
2026-01-01T02:09:00,AWS,10.29.179.173,10.20.44.113,80,UDP,ACCEPT,419338
2026-01-01T02:10:00,AWS,10.11.34.131,10.30.21.38,443,TCP,ACCEPT,217195
2026-01-01T02:11:00,Azure,10.14.174.236,10.15.0.129,80,TCP,REJECT,297133
2026-01-01T02:12:00,Azure,10.11.92.211,10.23.7.55,22,TCP,ACCEPT,92323
2026-01-01T02:13:00,Azure,10.5.136.120,10.7.240.4,3389,TCP,ACCEPT,409731
2026-01-01T02:14:00,AWS,10.4.16.73,10.15.20.124,53,UDP,ACCEPT,332458
2026-01-01T02:15:00,AWS,10.27.11.9,10.7.149.231,22,TCP,ACCEPT,809171
2026-01-01T02:16:00,Azure,10.23.230.167,10.10.252.181,3389,UDP,ACCEPT,700737
2026-01-01T02:17:00,AWS,10.12.150.2,10.28.151.37,3389,UDP,ACCEPT,349091
2026-01-01T02:18:00,Azure,10.26.5.241,10.11.62.201,80,UDP,ACCEPT,703770
2026-01-01T02:19:00,AWS,10.4.57.191,10.15.249.44,5432,UDP,ACCEPT,752898
2026-01-01T02:20:00,Azure,10.4.201.6,10.8.152.60,443,TCP,REJECT,868907
2026-01-01T02:21:00,Azure,10.8.161.132,10.1.80.71,5432,TCP,REJECT,965538
2026-01-01T02:22:00,AWS,10.23.177.94,10.15.194.129,53,UDP,ACCEPT,410151
2026-01-01T02:23:00,AWS,10.11.40.206,10.11.21.121,3389,UDP,REJECT,684723
2026-01-01T02:24:00,AWS,10.15.70.20,10.27.145.147,3389,TCP,ACCEPT,880413
2026-01-01T02:25:00,AWS,10.23.16.238,10.25.32.210,80,UDP,ACCEPT,974033
2026-01-01T02:26:00,AWS,10.27.113.218,10.1.202.57,5432,UDP,REJECT,903835
2026-01-01T02:27:00,AWS,10.25.239.44,10.17.128.139,22,TCP,REJECT,234869
2026-01-01T02:28:00,Azure,10.4.101.135,10.5.66.243,22,TCP,REJECT,880367
2026-01-01T02:29:00,Azure,10.7.15.81,10.23.37.126,80,TCP,ACCEPT,255331
2026-01-01T02:30:00,Azure,10.17.154.211,10.1.63.12,80,UDP,ACCEPT,196190
2026-01-01T02:31:00,Azure,10.17.209.125,10.6.170.177,80,UDP,ACCEPT,935712
2026-01-01T02:32:00,AWS,10.28.247.73,10.10.112.133,3389,UDP,REJECT,763351
2026-01-01T02:33:00,Azure,10.15.19.81,10.9.255.60,443,UDP,ACCEPT,479678
2026-01-01T02:34:00,AWS,10.26.186.248,10.17.43.141,5432,UDP,REJECT,238227
2026-01-01T02:35:00,Azure,10.6.239.94,10.18.143.135,53,UDP,ACCEPT,220610
2026-01-01T02:36:00,AWS,10.14.182.111,10.28.208.145,5432,TCP,ACCEPT,849046
2026-01-01T02:37:00,AWS,10.25.230.86,10.12.181.76,80,TCP,REJECT,704847
2026-01-01T02:38:00,Azure,10.12.96.172,10.8.97.22,22,TCP,REJECT,541573
2026-01-01T02:39:00,Azure,10.24.43.135,10.3.0.173,3389,TCP,ACCEPT,197596
2026-01-01T02:40:00,Azure,10.7.163.19,10.23.104.57,5432,TCP,ACCEPT,376766
2026-01-01T02:41:00,AWS,10.4.131.43,10.26.30.187,3389,TCP,ACCEPT,273476
2026-01-01T02:42:00,Azure,10.27.45.198,10.21.28.46,53,TCP,ACCEPT,425815
2026-01-01T02:43:00,Azure,10.5.202.71,10.24.206.14,3389,TCP,ACCEPT,170790
2026-01-01T02:44:00,Azure,10.23.58.16,10.16.95.66,3389,UDP,ACCEPT,630089
2026-01-01T02:45:00,Azure,10.20.31.235,10.5.59.188,22,UDP,REJECT,369429
2026-01-01T02:46:00,Azure,10.1.40.104,10.13.157.168,22,UDP,ACCEPT,877901
2026-01-01T02:47:00,Azure,10.15.108.253,10.7.56.213,3389,UDP,ACCEPT,972456
2026-01-01T02:48:00,AWS,10.26.232.186,10.13.249.68,53,UDP,ACCEPT,579765
2026-01-01T02:49:00,Azure,10.22.190.167,10.29.81.42,443,TCP,ACCEPT,991943
2026-01-01T02:50:00,Azure,10.29.92.208,10.21.58.116,5432,TCP,ACCEPT,200702
2026-01-01T02:51:00,AWS,10.15.229.91,10.8.54.51,3389,UDP,ACCEPT,835437
2026-01-01T02:52:00,Azure,10.19.67.7,10.24.151.212,22,TCP,REJECT,911563
2026-01-01T02:53:00,AWS,10.15.23.213,10.1.152.61,53,UDP,ACCEPT,232243
2026-01-01T02:54:00,AWS,10.10.232.129,10.7.173.234,80,UDP,ACCEPT,149315
2026-01-01T02:55:00,AWS,10.15.172.148,10.7.73.70,53,TCP,ACCEPT,401558
2026-01-01T02:56:00,AWS,10.16.40.134,10.10.49.24,3389,UDP,REJECT,892467
2026-01-01T02:57:00,AWS,10.2.1.183,10.25.193.71,5432,TCP,ACCEPT,179335
2026-01-01T02:58:00,Azure,10.1.30.183,10.19.44.64,22,UDP,REJECT,364974
2026-01-01T02:59:00,AWS,10.17.51.245,10.22.132.118,53,TCP,ACCEPT,711862
2026-01-01T03:00:00,Azure,10.6.154.219,10.24.154.142,5432,UDP,ACCEPT,873978
2026-01-01T03:01:00,AWS,10.22.211.192,10.14.42.138,80,TCP,ACCEPT,832701
2026-01-01T03:02:00,AWS,10.6.49.213,10.4.132.36,22,UDP,ACCEPT,761779
2026-01-01T03:03:00,Azure,10.27.199.102,10.25.35.165,5432,UDP,REJECT,193421
2026-01-01T03:04:00,AWS,10.2.19.200,10.27.86.222,80,TCP,ACCEPT,536566
2026-01-01T03:05:00,Azure,10.18.252.8,10.4.170.251,3389,UDP,ACCEPT,681067
2026-01-01T03:06:00,AWS,10.24.160.9,10.29.255.164,53,TCP,ACCEPT,16618
2026-01-01T03:07:00,AWS,10.24.75.19,10.4.153.157,22,UDP,ACCEPT,31975
2026-01-01T03:08:00,Azure,10.14.9.11,10.13.159.190,5432,UDP,ACCEPT,165693
2026-01-01T03:09:00,AWS,10.22.246.240,10.24.73.179,3389,UDP,ACCEPT,852577
2026-01-01T03:10:00,Azure,10.4.164.37,10.10.48.196,443,UDP,ACCEPT,289124
2026-01-01T03:11:00,Azure,10.14.216.36,10.19.134.80,443,UDP,REJECT,277040
2026-01-01T03:12:00,AWS,10.20.238.49,10.6.161.62,5432,TCP,REJECT,133351
2026-01-01T03:13:00,Azure,10.3.208.151,10.8.114.139,53,UDP,REJECT,295592
2026-01-01T03:14:00,AWS,10.10.254.93,10.18.103.82,53,TCP,ACCEPT,465483
2026-01-01T03:15:00,AWS,10.27.83.38,10.2.252.89,5432,TCP,ACCEPT,460909
2026-01-01T03:16:00,Azure,10.9.11.51,10.22.185.179,22,UDP,REJECT,890098
2026-01-01T03:17:00,Azure,10.2.226.251,10.3.228.149,3389,TCP,ACCEPT,504282
2026-01-01T03:18:00,Azure,10.22.233.194,10.7.151.79,5432,UDP,REJECT,402225
2026-01-01T03:19:00,AWS,10.9.45.14,10.15.33.31,443,TCP,ACCEPT,270140
2026-01-01T03:20:00,AWS,10.10.254.143,10.10.247.30,53,UDP,REJECT,165526
2026-01-01T03:21:00,AWS,10.6.1.100,10.12.222.181,80,UDP,ACCEPT,481866
2026-01-01T03:22:00,Azure,10.18.104.95,10.9.190.225,22,UDP,ACCEPT,779638
2026-01-01T03:23:00,AWS,10.16.196.149,10.1.93.179,5432,UDP,ACCEPT,174419
2026-01-01T03:24:00,AWS,10.7.228.2,10.19.91.208,80,TCP,ACCEPT,876094
2026-01-01T03:25:00,Azure,10.28.188.173,10.7.173.2,80,TCP,REJECT,425864
2026-01-01T03:26:00,Azure,10.16.31.83,10.26.219.215,80,UDP,ACCEPT,949378
2026-01-01T03:27:00,Azure,10.21.207.231,10.30.41.167,3389,UDP,ACCEPT,457070
2026-01-01T03:28:00,AWS,10.30.134.99,10.21.50.101,3389,TCP,ACCEPT,264185
2026-01-01T03:29:00,Azure,10.16.228.105,10.6.120.109,5432,UDP,REJECT,728240
2026-01-01T03:30:00,AWS,10.24.21.188,10.9.249.44,3389,TCP,ACCEPT,464143
2026-01-01T03:31:00,Azure,10.20.193.85,10.21.24.65,5432,TCP,REJECT,308114
2026-01-01T03:32:00,AWS,10.28.56.128,10.16.61.50,80,UDP,REJECT,440249
2026-01-01T03:33:00,AWS,10.24.125.232,10.3.218.17,3389,UDP,ACCEPT,788522
2026-01-01T03:34:00,Azure,10.25.14.137,10.22.62.22,5432,TCP,ACCEPT,831853
2026-01-01T03:35:00,Azure,10.2.160.37,10.27.145.101,5432,UDP,ACCEPT,145432
2026-01-01T03:36:00,AWS,10.9.195.72,10.8.26.198,22,TCP,ACCEPT,225413
2026-01-01T03:37:00,Azure,10.15.133.224,10.15.87.195,53,TCP,ACCEPT,38082
2026-01-01T03:38:00,AWS,10.1.254.28,10.11.122.232,53,TCP,ACCEPT,874269
2026-01-01T03:39:00,AWS,10.27.105.45,10.10.80.224,3389,UDP,ACCEPT,814733
2026-01-01T03:40:00,AWS,10.14.82.77,10.21.29.222,5432,TCP,REJECT,815971
2026-01-01T03:41:00,AWS,10.8.123.130,10.15.136.129,53,UDP,REJECT,257323
2026-01-01T03:42:00,AWS,10.25.27.100,10.27.74.218,3389,TCP,ACCEPT,401862
2026-01-01T03:43:00,Azure,10.21.248.213,10.3.207.252,22,TCP,ACCEPT,248906
2026-01-01T03:44:00,AWS,10.16.125.155,10.17.93.182,5432,TCP,ACCEPT,3858
2026-01-01T03:45:00,AWS,10.3.240.165,10.28.24.97,3389,TCP,ACCEPT,694976
2026-01-01T03:46:00,Azure,10.2.184.228,10.26.49.193,53,TCP,ACCEPT,890112
2026-01-01T03:47:00,Azure,10.24.189.49,10.6.36.67,80,TCP,REJECT,782721
2026-01-01T03:48:00,Azure,10.6.97.223,10.17.4.113,3389,UDP,ACCEPT,778510
2026-01-01T03:49:00,AWS,10.15.172.184,10.13.195.190,80,TCP,REJECT,665053
2026-01-01T03:50:00,Azure,10.12.133.191,10.4.64.173,22,UDP,ACCEPT,726097
2026-01-01T03:51:00,AWS,10.3.8.115,10.4.207.70,53,UDP,REJECT,952411
2026-01-01T03:52:00,AWS,10.1.5.161,10.2.69.130,80,TCP,ACCEPT,66689
2026-01-01T03:53:00,AWS,10.19.204.159,10.23.34.116,5432,UDP,REJECT,721952
2026-01-01T03:54:00,Azure,10.23.25.84,10.26.172.28,53,UDP,REJECT,292963
2026-01-01T03:55:00,AWS,10.30.84.7,10.1.11.48,3389,UDP,ACCEPT,273749
2026-01-01T03:56:00,AWS,10.12.164.231,10.13.205.112,22,TCP,ACCEPT,44573
2026-01-01T03:57:00,AWS,10.29.40.190,10.23.123.20,80,TCP,REJECT,158181
2026-01-01T03:58:00,Azure,10.20.189.146,10.16.202.217,53,TCP,ACCEPT,273132
2026-01-01T03:59:00,AWS,10.28.185.159,10.16.39.33,3389,UDP,ACCEPT,947031
2026-01-01T04:00:00,Azure,10.12.164.87,10.4.66.192,5432,TCP,ACCEPT,330971
2026-01-01T04:01:00,Azure,10.9.146.252,10.29.157.184,53,TCP,ACCEPT,763539
2026-01-01T04:02:00,AWS,10.11.6.55,10.23.218.173,53,TCP,REJECT,234234
2026-01-01T04:03:00,Azure,10.28.172.136,10.24.230.205,53,TCP,REJECT,699516
2026-01-01T04:04:00,AWS,10.9.41.160,10.29.146.42,80,TCP,REJECT,821979
2026-01-01T04:05:00,Azure,10.26.117.234,10.29.209.152,22,UDP,ACCEPT,325020
2026-01-01T04:06:00,Azure,10.3.86.235,10.27.244.209,5432,UDP,REJECT,919253
2026-01-01T04:07:00,AWS,10.15.141.109,10.1.74.253,53,UDP,ACCEPT,661421
2026-01-01T04:08:00,AWS,10.13.238.94,10.12.87.217,53,TCP,ACCEPT,825440
2026-01-01T04:09:00,AWS,10.26.47.115,10.20.59.87,53,TCP,REJECT,16292
2026-01-01T04:10:00,AWS,10.4.19.82,10.14.38.197,443,UDP,REJECT,38633
2026-01-01T04:11:00,Azure,10.21.94.4,10.29.63.101,53,TCP,ACCEPT,983107
2026-01-01T04:12:00,AWS,10.30.74.7,10.12.155.129,5432,TCP,ACCEPT,369034
2026-01-01T04:13:00,Azure,10.20.8.19,10.26.107.22,5432,UDP,REJECT,865369
2026-01-01T04:14:00,AWS,10.6.98.15,10.20.74.43,443,UDP,ACCEPT,430592
2026-01-01T04:15:00,Azure,10.25.236.203,10.12.76.90,443,UDP,ACCEPT,794520
2026-01-01T04:16:00,AWS,10.11.20.144,10.28.20.39,80,UDP,REJECT,90118
2026-01-01T04:17:00,AWS,10.15.234.172,10.10.29.9,53,UDP,REJECT,581960
2026-01-01T04:18:00,AWS,10.8.149.102,10.2.176.146,443,UDP,ACCEPT,961633
2026-01-01T04:19:00,AWS,10.27.215.44,10.6.24.145,443,UDP,ACCEPT,599669
2026-01-01T04:20:00,AWS,10.30.144.118,10.26.78.245,80,UDP,ACCEPT,562401
2026-01-01T04:21:00,AWS,10.6.232.56,10.1.229.210,443,UDP,ACCEPT,682730
2026-01-01T04:22:00,AWS,10.18.50.14,10.5.60.6,80,UDP,ACCEPT,699457
2026-01-01T04:23:00,AWS,10.17.211.16,10.27.199.98,443,TCP,ACCEPT,908316
2026-01-01T04:24:00,Azure,10.14.40.231,10.17.83.31,5432,UDP,REJECT,991943
2026-01-01T04:25:00,Azure,10.1.149.3,10.17.85.86,443,UDP,REJECT,804564
2026-01-01T04:26:00,AWS,10.19.112.237,10.20.115.212,443,UDP,REJECT,336499
2026-01-01T04:27:00,Azure,10.10.1.70,10.1.63.141,443,UDP,REJECT,558407
2026-01-01T04:28:00,Azure,10.15.107.104,10.16.24.167,80,TCP,ACCEPT,675120
2026-01-01T04:29:00,AWS,10.30.110.189,10.24.41.32,5432,UDP,REJECT,669217
2026-01-01T04:30:00,AWS,10.5.158.45,10.22.226.240,3389,UDP,ACCEPT,201101
2026-01-01T04:31:00,Azure,10.15.200.168,10.4.106.107,80,UDP,ACCEPT,475978
2026-01-01T04:32:00,AWS,10.14.28.227,10.1.213.3,3389,UDP,ACCEPT,561150
2026-01-01T04:33:00,Azure,10.10.164.164,10.22.24.168,80,UDP,ACCEPT,813638
2026-01-01T04:34:00,Azure,10.25.78.67,10.18.76.84,5432,TCP,ACCEPT,549914
2026-01-01T04:35:00,AWS,10.5.130.63,10.13.4.253,22,TCP,ACCEPT,832883
2026-01-01T04:36:00,Azure,10.26.175.151,10.21.99.39,53,UDP,ACCEPT,549170
2026-01-01T04:37:00,AWS,10.25.11.15,10.10.251.195,22,TCP,ACCEPT,207122
2026-01-01T04:38:00,Azure,10.9.176.158,10.23.0.67,22,UDP,REJECT,801204
2026-01-01T04:39:00,Azure,10.13.186.150,10.21.213.242,22,TCP,REJECT,137328
2026-01-01T04:40:00,Azure,10.12.162.163,10.7.56.186,80,TCP,ACCEPT,343960
2026-01-01T04:41:00,Azure,10.13.182.181,10.28.252.18,22,TCP,REJECT,521056
2026-01-01T04:42:00,Azure,10.3.95.253,10.4.99.233,5432,UDP,REJECT,942429
2026-01-01T04:43:00,AWS,10.29.159.224,10.6.54.2,22,UDP,ACCEPT,742764
2026-01-01T04:44:00,Azure,10.28.101.102,10.3.211.197,3389,TCP,ACCEPT,255072
2026-01-01T04:45:00,AWS,10.3.26.127,10.24.230.99,5432,TCP,ACCEPT,615216
