incident_id,started_at,cloud,severity,service,duration_minutes,customer_impact,root_cause,preventive_action
INC-0020,2026-02-08T00:00:00,Azure,P1,Internal Files,214,Degraded performance,Capacity saturation,Increase capacity
INC-0021,2026-02-10T00:00:00,AWS,P2,Customer Web,152,Internal users affected,Dependency failure,Automate validation
INC-0022,2026-02-12T00:00:00,AWS,P1,Customer Web,108,Internal users affected,Configuration error,Add alert
INC-0023,2026-02-14T00:00:00,AWS,P1,Customer Web,148,Internal users affected,Capacity saturation,Increase capacity
INC-0024,2026-02-16T00:00:00,Azure,P1,Internal Files,200,Degraded performance,Configuration error,Add alert
INC-0025,2026-02-18T00:00:00,Azure,P2,Internal Files,236,Degraded performance,Configuration error,Increase capacity
INC-0026,2026-02-20T00:00:00,AWS,P1,Orders DB,232,Internal users affected,Capacity saturation,Automate validation
INC-0027,2026-02-22T00:00:00,Azure,P1,Monitoring,125,Degraded performance,Dependency failure,Add alert
INC-0028,2026-02-24T00:00:00,AWS,P2,Orders DB,208,Partial outage,Dependency failure,Add alert
INC-0029,2026-02-26T00:00:00,Azure,P2,Monitoring,199,Partial outage,Configuration error,Add alert
INC-0030,2026-02-28T00:00:00,AWS,P1,Orders DB,88,Degraded performance,Capacity saturation,Increase capacity
INC-0031,2026-03-02T00:00:00,AWS,P2,Internal Files,200,Partial outage,Capacity saturation,Increase capacity
INC-0032,2026-03-04T00:00:00,AWS,P1,Monitoring,93,Partial outage,Configuration error,Automate validation
INC-0033,2026-03-06T00:00:00,AWS,P2,Monitoring,145,Degraded performance,Configuration error,Increase capacity
INC-0034,2026-03-08T00:00:00,Azure,P2,Orders DB,120,Internal users affected,Capacity saturation,Automate validation
INC-0035,2026-03-10T00:00:00,Azure,P2,Internal Files,175,Internal users affected,Capacity saturation,Automate validation
INC-0036,2026-03-12T00:00:00,Azure,P1,Orders DB,172,Internal users affected,Dependency failure,Increase capacity
INC-0037,2026-03-14T00:00:00,AWS,P1,Monitoring,235,Degraded performance,Dependency failure,Add alert
INC-0038,2026-03-16T00:00:00,Azure,P2,Customer Web,102,Partial outage,Capacity saturation,Automate validation
INC-0039,2026-03-18T00:00:00,AWS,P1,Monitoring,222,Degraded performance,Capacity saturation,Add alert
INC-0040,2026-03-20T00:00:00,Azure,P1,Internal Files,107,Internal users affected,Configuration error,Automate validation
INC-0041,2026-03-22T00:00:00,Azure,P1,Customer Web,203,Internal users affected,Configuration error,Add alert
INC-0042,2026-03-24T00:00:00,AWS,P2,Internal Files,39,Degraded performance,Dependency failure,Add alert
INC-0043,2026-03-26T00:00:00,Azure,P2,Internal Files,123,Partial outage,Configuration error,Automate validation
INC-0044,2026-03-28T00:00:00,AWS,P1,Monitoring,134,Partial outage,Configuration error,Automate validation
INC-0045,2026-03-30T00:00:00,AWS,P2,Monitoring,219,Degraded performance,Dependency failure,Add alert
INC-0046,2026-04-01T00:00:00,Azure,P1,Customer Web,217,Internal users affected,Capacity saturation,Automate validation
INC-0047,2026-04-03T00:00:00,AWS,P2,Internal Files,66,Internal users affected,Dependency failure,Add alert
INC-0048,2026-04-05T00:00:00,Azure,P1,Monitoring,51,Degraded performance,Configuration error,Increase capacity
INC-0049,2026-04-07T00:00:00,AWS,P2,Monitoring,240,Internal users affected,Configuration error,Automate validation
INC-0050,2026-04-09T00:00:00,AWS,P2,Customer Web,192,Degraded performance,Configuration error,Automate validation
INC-0051,2026-04-11T00:00:00,Azure,P1,Monitoring,121,Internal users affected,Configuration error,Automate validation
INC-0052,2026-04-13T00:00:00,AWS,P1,Orders DB,132,Degraded performance,Dependency failure,Add alert
INC-0053,2026-04-15T00:00:00,Azure,P2,Monitoring,101,Degraded performance,Dependency failure,Add alert
INC-0054,2026-04-17T00:00:00,Azure,P1,Orders DB,133,Partial outage,Dependency failure,Add alert
INC-0055,2026-04-19T00:00:00,Azure,P2,Orders DB,58,Degraded performance,Configuration error,Automate validation
INC-0056,2026-04-21T00:00:00,Azure,P2,Internal Files,130,Degraded performance,Capacity saturation,Increase capacity
INC-0057,2026-04-23T00:00:00,AWS,P2,Internal Files,179,Internal users affected,Capacity saturation,Add alert
INC-0058,2026-04-25T00:00:00,Azure,P2,Internal Files,45,Partial outage,Capacity saturation,Automate validation
INC-0059,2026-04-27T00:00:00,AWS,P2,Monitoring,126,Internal users affected,Dependency failure,Increase capacity
INC-0060,2026-04-29T00:00:00,AWS,P2,Customer Web,87,Internal users affected,Dependency failure,Increase capacity
INC-0061,2026-05-01T00:00:00,Azure,P1,Orders DB,121,Degraded performance,Capacity saturation,Add alert
INC-0062,2026-05-03T00:00:00,Azure,P1,Orders DB,233,Internal users affected,Dependency failure,Add alert
INC-0063,2026-05-05T00:00:00,AWS,P2,Internal Files,39,Degraded performance,Capacity saturation,Increase capacity
INC-0064,2026-05-07T00:00:00,Azure,P2,Monitoring,149,Degraded performance,Configuration error,Automate validation
INC-0065,2026-05-09T00:00:00,AWS,P2,Monitoring,158,Internal users affected,Configuration error,Increase capacity
INC-0066,2026-05-11T00:00:00,AWS,P2,Customer Web,162,Internal users affected,Capacity saturation,Increase capacity
INC-0067,2026-05-13T00:00:00,Azure,P2,Orders DB,196,Degraded performance,Configuration error,Automate validation
INC-0068,2026-05-15T00:00:00,Azure,P2,Customer Web,40,Degraded performance,Dependency failure,Add alert
INC-0069,2026-05-17T00:00:00,Azure,P2,Monitoring,186,Partial outage,Dependency failure,Automate validation
INC-0070,2026-05-19T00:00:00,AWS,P2,Orders DB,21,Internal users affected,Dependency failure,Add alert
INC-0071,2026-05-21T00:00:00,Azure,P2,Customer Web,229,Degraded performance,Dependency failure,Increase capacity
INC-0072,2026-05-23T00:00:00,Azure,P2,Orders DB,238,Degraded performance,Dependency failure,Add alert
INC-0073,2026-05-25T00:00:00,AWS,P1,Orders DB,44,Internal users affected,Capacity saturation,Add alert
INC-0074,2026-05-27T00:00:00,AWS,P1,Monitoring,230,Partial outage,Capacity saturation,Add alert
INC-0075,2026-05-29T00:00:00,Azure,P2,Internal Files,63,Internal users affected,Capacity saturation,Increase capacity
INC-0076,2026-05-31T00:00:00,AWS,P1,Monitoring,47,Partial outage,Configuration error,Automate validation
INC-0077,2026-06-02T00:00:00,AWS,P1,Internal Files,137,Internal users affected,Dependency failure,Automate validation
INC-0078,2026-06-04T00:00:00,AWS,P1,Customer Web,67,Partial outage,Configuration error,Add alert
INC-0079,2026-06-06T00:00:00,Azure,P1,Orders DB,205,Partial outage,Capacity saturation,Increase capacity
INC-0080,2026-06-08T00:00:00,AWS,P2,Orders DB,93,Degraded performance,Dependency failure,Increase capacity
