finding_id,provider,resource_type,finding,monthly_savings_usd,risk,status
FIN-0095,AWS,Database,Purchase commitment,250,Medium,Open
FIN-0096,Azure,VM,Rightsize,265,Low,Approved
FIN-0097,AWS,Disk,Delete unattached resource,280,Medium,Open
FIN-0098,Azure,Snapshot,Apply schedule,295,Low,Open
FIN-0099,AWS,Database,Purchase commitment,310,Medium,Approved
FIN-0100,Azure,VM,Rightsize,25,Low,Open
FIN-0101,AWS,Disk,Delete unattached resource,40,Medium,Open
FIN-0102,Azure,Snapshot,Apply schedule,55,Low,Approved
FIN-0103,AWS,Database,Purchase commitment,70,Medium,Open
FIN-0104,Azure,VM,Rightsize,85,Low,Open
FIN-0105,AWS,Disk,Delete unattached resource,100,Medium,Approved
FIN-0106,Azure,Snapshot,Apply schedule,115,Low,Open
FIN-0107,AWS,Database,Purchase commitment,130,Medium,Open
FIN-0108,Azure,VM,Rightsize,145,Low,Approved
FIN-0109,AWS,Disk,Delete unattached resource,160,Medium,Open
FIN-0110,Azure,Snapshot,Apply schedule,175,Low,Open
FIN-0111,AWS,Database,Purchase commitment,190,Medium,Approved
FIN-0112,Azure,VM,Rightsize,205,Low,Open
FIN-0113,AWS,Disk,Delete unattached resource,220,Medium,Open
FIN-0114,Azure,Snapshot,Apply schedule,235,Low,Approved
FIN-0115,AWS,Database,Purchase commitment,250,Medium,Open
FIN-0116,Azure,VM,Rightsize,265,Low,Open
FIN-0117,AWS,Disk,Delete unattached resource,280,Medium,Approved
FIN-0118,Azure,Snapshot,Apply schedule,295,Low,Open
FIN-0119,AWS,Database,Purchase commitment,310,Medium,Open
FIN-0120,Azure,VM,Rightsize,25,Low,Approved
FIN-0121,AWS,Disk,Delete unattached resource,40,Medium,Open
FIN-0122,Azure,Snapshot,Apply schedule,55,Low,Open
FIN-0123,AWS,Database,Purchase commitment,70,Medium,Approved
FIN-0124,Azure,VM,Rightsize,85,Low,Open
FIN-0125,AWS,Disk,Delete unattached resource,100,Medium,Open
FIN-0126,Azure,Snapshot,Apply schedule,115,Low,Approved
FIN-0127,AWS,Database,Purchase commitment,130,Medium,Open
FIN-0128,Azure,VM,Rightsize,145,Low,Open
FIN-0129,AWS,Disk,Delete unattached resource,160,Medium,Approved
FIN-0130,Azure,Snapshot,Apply schedule,175,Low,Open
FIN-0131,AWS,Database,Purchase commitment,190,Medium,Open
FIN-0132,Azure,VM,Rightsize,205,Low,Approved
FIN-0133,AWS,Disk,Delete unattached resource,220,Medium,Open
FIN-0134,Azure,Snapshot,Apply schedule,235,Low,Open
FIN-0135,AWS,Database,Purchase commitment,250,Medium,Approved
FIN-0136,Azure,VM,Rightsize,265,Low,Open
FIN-0137,AWS,Disk,Delete unattached resource,280,Medium,Open
FIN-0138,Azure,Snapshot,Apply schedule,295,Low,Approved
FIN-0139,AWS,Database,Purchase commitment,310,Medium,Open
FIN-0140,Azure,VM,Rightsize,25,Low,Open
FIN-0141,AWS,Disk,Delete unattached resource,40,Medium,Approved
FIN-0142,Azure,Snapshot,Apply schedule,55,Low,Open
FIN-0143,AWS,Database,Purchase commitment,70,Medium,Open
FIN-0144,Azure,VM,Rightsize,85,Low,Approved
FIN-0145,AWS,Disk,Delete unattached resource,100,Medium,Open
FIN-0146,Azure,Snapshot,Apply schedule,115,Low,Open
FIN-0147,AWS,Database,Purchase commitment,130,Medium,Approved
FIN-0148,Azure,VM,Rightsize,145,Low,Open
FIN-0149,AWS,Disk,Delete unattached resource,160,Medium,Open
FIN-0150,Azure,Snapshot,Apply schedule,175,Low,Approved
