alert_id,opened_at,cloud,severity,resource_id,alert_name,ack_minutes,resolution_minutes,status
ALT-00045,2026-01-06T12:00:00,AWS,Low,R-00139,High CPU,22,107,Closed
ALT-00046,2026-01-06T15:00:00,Azure,High,R-00360,High CPU,12,110,Closed
ALT-00047,2026-01-06T18:00:00,Azure,Medium,R-00402,Disk Full,26,192,Closed
ALT-00048,2026-01-06T21:00:00,Azure,Medium,R-00319,Health Check Failed,26,72,Closed
ALT-00049,2026-01-07T00:00:00,Azure,Medium,R-00442,Health Check Failed,17,206,Closed
ALT-00050,2026-01-07T03:00:00,AWS,High,R-00102,Backup Failed,27,60,Closed
ALT-00051,2026-01-07T06:00:00,Azure,Medium,R-00154,Health Check Failed,25,39,Closed
ALT-00052,2026-01-07T09:00:00,AWS,Critical,R-00242,Backup Failed,15,115,Closed
ALT-00053,2026-01-07T12:00:00,Azure,Low,R-00027,High CPU,8,75,Closed
ALT-00054,2026-01-07T15:00:00,AWS,Critical,R-00022,Disk Full,23,197,Closed
ALT-00055,2026-01-07T18:00:00,AWS,High,R-00378,High CPU,1,230,Closed
ALT-00056,2026-01-07T21:00:00,Azure,Low,R-00067,Backup Failed,23,63,Closed
ALT-00057,2026-01-08T00:00:00,AWS,Medium,R-00074,Health Check Failed,3,224,Closed
ALT-00058,2026-01-08T03:00:00,Azure,Critical,R-00364,Disk Full,25,40,Closed
ALT-00059,2026-01-08T06:00:00,Azure,Critical,R-00377,Disk Full,3,113,Closed
ALT-00060,2026-01-08T09:00:00,Azure,Critical,R-00074,Backup Failed,10,232,Closed
ALT-00061,2026-01-08T12:00:00,Azure,Medium,R-00482,Health Check Failed,13,209,Closed
ALT-00062,2026-01-08T15:00:00,Azure,Critical,R-00420,Disk Full,12,85,Closed
ALT-00063,2026-01-08T18:00:00,Azure,Critical,R-00217,Backup Failed,10,43,Closed
ALT-00064,2026-01-08T21:00:00,Azure,Low,R-00015,Backup Failed,13,44,Closed
ALT-00065,2026-01-09T00:00:00,AWS,High,R-00244,Health Check Failed,14,101,Closed
ALT-00066,2026-01-09T03:00:00,AWS,Low,R-00039,Disk Full,19,169,Closed
ALT-00067,2026-01-09T06:00:00,AWS,Critical,R-00064,High CPU,22,23,Closed
ALT-00068,2026-01-09T09:00:00,Azure,Critical,R-00294,Backup Failed,18,236,Closed
ALT-00069,2026-01-09T12:00:00,AWS,Medium,R-00469,High CPU,28,115,Closed
ALT-00070,2026-01-09T15:00:00,AWS,Critical,R-00026,High CPU,2,216,Closed
ALT-00071,2026-01-09T18:00:00,AWS,Low,R-00331,Disk Full,30,51,Closed
ALT-00072,2026-01-09T21:00:00,AWS,Critical,R-00082,Backup Failed,29,233,Closed
ALT-00073,2026-01-10T00:00:00,AWS,High,R-00384,Disk Full,10,96,Closed
ALT-00074,2026-01-10T03:00:00,AWS,Critical,R-00240,Backup Failed,9,178,Closed
ALT-00075,2026-01-10T06:00:00,AWS,Critical,R-00235,Health Check Failed,4,201,Closed
ALT-00076,2026-01-10T09:00:00,AWS,Critical,R-00170,Disk Full,29,46,Closed
ALT-00077,2026-01-10T12:00:00,Azure,High,R-00091,Backup Failed,27,48,Closed
ALT-00078,2026-01-10T15:00:00,AWS,Critical,R-00500,Health Check Failed,20,33,Closed
ALT-00079,2026-01-10T18:00:00,Azure,Critical,R-00150,Health Check Failed,26,39,Closed
ALT-00080,2026-01-10T21:00:00,AWS,Critical,R-00217,High CPU,30,11,Closed
ALT-00081,2026-01-11T00:00:00,AWS,Low,R-00198,Disk Full,24,83,Closed
ALT-00082,2026-01-11T03:00:00,AWS,Critical,R-00067,Disk Full,8,24,Closed
ALT-00083,2026-01-11T06:00:00,AWS,High,R-00191,Health Check Failed,2,179,Closed
ALT-00084,2026-01-11T09:00:00,AWS,Critical,R-00483,High CPU,5,197,Closed
ALT-00085,2026-01-11T12:00:00,Azure,Low,R-00209,Disk Full,22,236,Closed
ALT-00086,2026-01-11T15:00:00,AWS,Critical,R-00194,Backup Failed,23,148,Closed
ALT-00087,2026-01-11T18:00:00,Azure,Low,R-00313,Health Check Failed,26,78,Closed
ALT-00088,2026-01-11T21:00:00,AWS,Low,R-00094,Health Check Failed,20,69,Closed
ALT-00089,2026-01-12T00:00:00,AWS,Low,R-00028,Disk Full,5,127,Closed
ALT-00090,2026-01-12T03:00:00,AWS,High,R-00294,Health Check Failed,12,45,Closed
ALT-00091,2026-01-12T06:00:00,AWS,Critical,R-00408,Backup Failed,3,121,Closed
ALT-00092,2026-01-12T09:00:00,AWS,Medium,R-00420,Backup Failed,29,41,Closed
ALT-00093,2026-01-12T12:00:00,Azure,Medium,R-00476,High CPU,20,141,Closed
ALT-00094,2026-01-12T15:00:00,Azure,Low,R-00419,Disk Full,29,30,Closed
ALT-00095,2026-01-12T18:00:00,AWS,Critical,R-00122,Backup Failed,19,103,Closed
ALT-00096,2026-01-12T21:00:00,Azure,Critical,R-00157,Disk Full,16,17,Closed
ALT-00097,2026-01-13T00:00:00,Azure,Critical,R-00213,Health Check Failed,1,202,Closed
ALT-00098,2026-01-13T03:00:00,Azure,High,R-00190,Health Check Failed,18,173,Closed
ALT-00099,2026-01-13T06:00:00,Azure,Low,R-00365,High CPU,20,179,Closed
ALT-00100,2026-01-13T09:00:00,AWS,High,R-00270,Backup Failed,24,167,Closed
ALT-00101,2026-01-13T12:00:00,Azure,Critical,R-00314,High CPU,24,229,Closed
ALT-00102,2026-01-13T15:00:00,AWS,Low,R-00237,High CPU,25,171,Closed
ALT-00103,2026-01-13T18:00:00,AWS,Low,R-00482,Health Check Failed,18,140,Closed
ALT-00104,2026-01-13T21:00:00,Azure,Low,R-00433,High CPU,18,28,Closed
ALT-00105,2026-01-14T00:00:00,Azure,Low,R-00135,High CPU,18,42,Closed
ALT-00106,2026-01-14T03:00:00,AWS,Medium,R-00412,High CPU,6,89,Closed
ALT-00107,2026-01-14T06:00:00,Azure,Medium,R-00037,Backup Failed,1,78,Closed
ALT-00108,2026-01-14T09:00:00,Azure,High,R-00061,Backup Failed,18,170,Closed
ALT-00109,2026-01-14T12:00:00,AWS,Critical,R-00468,Disk Full,26,170,Closed
ALT-00110,2026-01-14T15:00:00,Azure,High,R-00126,Health Check Failed,4,55,Closed
ALT-00111,2026-01-14T18:00:00,AWS,Low,R-00403,Backup Failed,8,132,Closed
ALT-00112,2026-01-14T21:00:00,AWS,Low,R-00117,High CPU,13,219,Closed
ALT-00113,2026-01-15T00:00:00,Azure,Low,R-00424,Backup Failed,28,120,Closed
ALT-00114,2026-01-15T03:00:00,Azure,Critical,R-00426,Health Check Failed,9,187,Closed
ALT-00115,2026-01-15T06:00:00,AWS,Medium,R-00420,Disk Full,5,223,Closed
ALT-00116,2026-01-15T09:00:00,AWS,Medium,R-00357,Disk Full,2,225,Closed
ALT-00117,2026-01-15T12:00:00,Azure,Medium,R-00473,Backup Failed,24,227,Closed
ALT-00118,2026-01-15T15:00:00,Azure,Critical,R-00016,High CPU,13,55,Closed
ALT-00119,2026-01-15T18:00:00,AWS,Medium,R-00221,Disk Full,23,152,Closed
ALT-00120,2026-01-15T21:00:00,AWS,Medium,R-00146,Backup Failed,23,211,Closed
ALT-00121,2026-01-16T00:00:00,AWS,Medium,R-00459,Disk Full,13,83,Closed
ALT-00122,2026-01-16T03:00:00,Azure,High,R-00106,Disk Full,19,214,Closed
ALT-00123,2026-01-16T06:00:00,AWS,High,R-00230,Health Check Failed,11,46,Closed
ALT-00124,2026-01-16T09:00:00,AWS,Critical,R-00089,Backup Failed,23,15,Closed
ALT-00125,2026-01-16T12:00:00,AWS,Critical,R-00374,Backup Failed,17,11,Closed
ALT-00126,2026-01-16T15:00:00,Azure,High,R-00170,Health Check Failed,16,171,Closed
ALT-00127,2026-01-16T18:00:00,Azure,Medium,R-00119,Backup Failed,5,28,Closed
ALT-00128,2026-01-16T21:00:00,AWS,Low,R-00032,Disk Full,26,84,Closed
ALT-00129,2026-01-17T00:00:00,Azure,High,R-00243,Backup Failed,5,207,Closed
ALT-00130,2026-01-17T03:00:00,AWS,Medium,R-00488,High CPU,1,42,Closed
ALT-00131,2026-01-17T06:00:00,Azure,High,R-00016,High CPU,7,63,Closed
ALT-00132,2026-01-17T09:00:00,AWS,Low,R-00089,Disk Full,16,25,Closed
ALT-00133,2026-01-17T12:00:00,AWS,Low,R-00381,Health Check Failed,24,91,Closed
ALT-00134,2026-01-17T15:00:00,Azure,Medium,R-00402,Backup Failed,7,149,Closed
ALT-00135,2026-01-17T18:00:00,Azure,High,R-00033,Backup Failed,25,168,Closed
ALT-00136,2026-01-17T21:00:00,Azure,Medium,R-00438,High CPU,23,106,Closed
ALT-00137,2026-01-18T00:00:00,AWS,Medium,R-00090,High CPU,9,58,Closed
ALT-00138,2026-01-18T03:00:00,Azure,High,R-00143,Backup Failed,27,35,Closed
ALT-00139,2026-01-18T06:00:00,AWS,High,R-00499,High CPU,26,27,Closed
ALT-00140,2026-01-18T09:00:00,AWS,Critical,R-00072,High CPU,20,93,Closed
ALT-00141,2026-01-18T12:00:00,Azure,High,R-00339,Disk Full,2,161,Closed
ALT-00142,2026-01-18T15:00:00,Azure,High,R-00161,Backup Failed,18,5,Closed
ALT-00143,2026-01-18T18:00:00,Azure,Critical,R-00164,Backup Failed,12,52,Closed
ALT-00144,2026-01-18T21:00:00,AWS,High,R-00314,Health Check Failed,4,21,Closed
ALT-00145,2026-01-19T00:00:00,Azure,High,R-00407,Disk Full,19,122,Closed
ALT-00146,2026-01-19T03:00:00,AWS,High,R-00461,Backup Failed,3,166,Closed
ALT-00147,2026-01-19T06:00:00,Azure,Low,R-00480,High CPU,3,224,Closed
ALT-00148,2026-01-19T09:00:00,AWS,High,R-00331,High CPU,23,198,Closed
ALT-00149,2026-01-19T12:00:00,AWS,Low,R-00372,Backup Failed,13,56,Closed
ALT-00150,2026-01-19T15:00:00,AWS,High,R-00170,Health Check Failed,1,44,Closed
ALT-00151,2026-01-19T18:00:00,Azure,Low,R-00265,High CPU,3,153,Closed
ALT-00152,2026-01-19T21:00:00,AWS,Medium,R-00203,Backup Failed,28,73,Closed
ALT-00153,2026-01-20T00:00:00,Azure,Low,R-00273,High CPU,20,145,Closed
ALT-00154,2026-01-20T03:00:00,AWS,High,R-00374,Backup Failed,16,200,Closed
ALT-00155,2026-01-20T06:00:00,AWS,Critical,R-00267,High CPU,13,42,Closed
ALT-00156,2026-01-20T09:00:00,AWS,High,R-00278,Backup Failed,8,49,Closed
ALT-00157,2026-01-20T12:00:00,Azure,High,R-00344,Health Check Failed,4,83,Closed
ALT-00158,2026-01-20T15:00:00,AWS,Critical,R-00071,High CPU,8,165,Closed
ALT-00159,2026-01-20T18:00:00,AWS,Critical,R-00018,High CPU,2,168,Closed
ALT-00160,2026-01-20T21:00:00,AWS,Medium,R-00300,High CPU,25,43,Closed
ALT-00161,2026-01-21T00:00:00,AWS,High,R-00257,Health Check Failed,20,67,Closed
ALT-00162,2026-01-21T03:00:00,Azure,Low,R-00345,Health Check Failed,2,34,Closed
ALT-00163,2026-01-21T06:00:00,AWS,Critical,R-00425,Disk Full,19,83,Closed
ALT-00164,2026-01-21T09:00:00,Azure,Low,R-00069,Backup Failed,2,194,Closed
ALT-00165,2026-01-21T12:00:00,Azure,Low,R-00275,Health Check Failed,6,208,Closed
ALT-00166,2026-01-21T15:00:00,AWS,High,R-00271,Health Check Failed,22,115,Closed
ALT-00167,2026-01-21T18:00:00,AWS,High,R-00118,Health Check Failed,14,41,Closed
ALT-00168,2026-01-21T21:00:00,AWS,Low,R-00114,Health Check Failed,5,156,Closed
ALT-00169,2026-01-22T00:00:00,AWS,Medium,R-00387,Disk Full,4,21,Closed
ALT-00170,2026-01-22T03:00:00,Azure,High,R-00383,High CPU,11,117,Closed
ALT-00171,2026-01-22T06:00:00,AWS,Low,R-00128,Health Check Failed,18,193,Closed
ALT-00172,2026-01-22T09:00:00,Azure,Low,R-00234,Disk Full,3,11,Closed
ALT-00173,2026-01-22T12:00:00,Azure,Low,R-00190,Disk Full,25,97,Closed
ALT-00174,2026-01-22T15:00:00,AWS,High,R-00204,Disk Full,30,19,Closed
ALT-00175,2026-01-22T18:00:00,Azure,Medium,R-00316,Backup Failed,17,8,Closed
ALT-00176,2026-01-22T21:00:00,AWS,Low,R-00013,Disk Full,25,71,Closed
ALT-00177,2026-01-23T00:00:00,Azure,Critical,R-00395,Disk Full,13,177,Closed
ALT-00178,2026-01-23T03:00:00,AWS,Critical,R-00164,Backup Failed,4,161,Closed
ALT-00179,2026-01-23T06:00:00,AWS,High,R-00419,Disk Full,16,148,Closed
ALT-00180,2026-01-23T09:00:00,AWS,Low,R-00199,High CPU,21,205,Closed
ALT-00181,2026-01-23T12:00:00,AWS,Medium,R-00391,High CPU,27,36,Closed
ALT-00182,2026-01-23T15:00:00,AWS,Medium,R-00139,High CPU,30,203,Closed
ALT-00183,2026-01-23T18:00:00,Azure,Critical,R-00040,Health Check Failed,12,97,Closed
ALT-00184,2026-01-23T21:00:00,Azure,Critical,R-00090,High CPU,27,92,Closed
ALT-00185,2026-01-24T00:00:00,Azure,High,R-00273,Disk Full,30,65,Closed
ALT-00186,2026-01-24T03:00:00,Azure,Critical,R-00205,Backup Failed,17,223,Closed
ALT-00187,2026-01-24T06:00:00,Azure,Medium,R-00198,Health Check Failed,23,204,Closed
ALT-00188,2026-01-24T09:00:00,Azure,Medium,R-00134,Backup Failed,3,73,Closed
ALT-00189,2026-01-24T12:00:00,AWS,High,R-00461,Disk Full,19,149,Closed
ALT-00190,2026-01-24T15:00:00,AWS,High,R-00024,Backup Failed,13,73,Closed
ALT-00191,2026-01-24T18:00:00,Azure,Critical,R-00143,Disk Full,20,77,Closed
ALT-00192,2026-01-24T21:00:00,Azure,Critical,R-00445,High CPU,13,173,Closed
ALT-00193,2026-01-25T00:00:00,Azure,Critical,R-00222,Health Check Failed,29,127,Closed
ALT-00194,2026-01-25T03:00:00,AWS,Medium,R-00027,Health Check Failed,3,43,Closed
ALT-00195,2026-01-25T06:00:00,AWS,Medium,R-00271,Disk Full,20,161,Closed
ALT-00196,2026-01-25T09:00:00,Azure,Medium,R-00453,Backup Failed,16,119,Closed
ALT-00197,2026-01-25T12:00:00,AWS,Low,R-00227,High CPU,3,44,Closed
ALT-00198,2026-01-25T15:00:00,Azure,Critical,R-00298,Health Check Failed,13,60,Closed
ALT-00199,2026-01-25T18:00:00,AWS,Critical,R-00251,Backup Failed,9,147,Closed
ALT-00200,2026-01-25T21:00:00,AWS,Low,R-00106,High CPU,4,141,Closed
ALT-00201,2026-01-26T00:00:00,Azure,Critical,R-00377,Backup Failed,10,214,Closed
ALT-00202,2026-01-26T03:00:00,AWS,High,R-00206,Health Check Failed,15,165,Closed
ALT-00203,2026-01-26T06:00:00,Azure,Critical,R-00086,Health Check Failed,27,236,Closed
ALT-00204,2026-01-26T09:00:00,AWS,Medium,R-00127,Backup Failed,7,121,Closed
ALT-00205,2026-01-26T12:00:00,Azure,Low,R-00149,Disk Full,28,154,Closed
ALT-00206,2026-01-26T15:00:00,AWS,High,R-00428,Disk Full,14,219,Closed
ALT-00207,2026-01-26T18:00:00,Azure,High,R-00368,High CPU,19,141,Closed
ALT-00208,2026-01-26T21:00:00,AWS,Critical,R-00247,High CPU,9,123,Closed
ALT-00209,2026-01-27T00:00:00,Azure,Low,R-00489,Health Check Failed,29,137,Closed
ALT-00210,2026-01-27T03:00:00,AWS,High,R-00322,Health Check Failed,15,156,Closed
ALT-00211,2026-01-27T06:00:00,AWS,Critical,R-00383,Backup Failed,3,60,Closed
ALT-00212,2026-01-27T09:00:00,AWS,Medium,R-00147,Disk Full,15,183,Closed
ALT-00213,2026-01-27T12:00:00,Azure,Medium,R-00233,Health Check Failed,23,49,Closed
ALT-00214,2026-01-27T15:00:00,Azure,Critical,R-00297,Health Check Failed,21,206,Closed
ALT-00215,2026-01-27T18:00:00,AWS,Critical,R-00049,Disk Full,12,109,Closed
ALT-00216,2026-01-27T21:00:00,AWS,Critical,R-00190,Disk Full,3,170,Closed
ALT-00217,2026-01-28T00:00:00,AWS,High,R-00236,Disk Full,23,236,Closed
ALT-00218,2026-01-28T03:00:00,AWS,Critical,R-00376,Health Check Failed,4,213,Closed
ALT-00219,2026-01-28T06:00:00,Azure,Critical,R-00244,Health Check Failed,16,132,Closed
ALT-00220,2026-01-28T09:00:00,Azure,Medium,R-00402,Disk Full,13,39,Closed
ALT-00221,2026-01-28T12:00:00,AWS,Medium,R-00421,High CPU,27,24,Closed
ALT-00222,2026-01-28T15:00:00,AWS,Medium,R-00474,High CPU,2,6,Closed
ALT-00223,2026-01-28T18:00:00,Azure,Critical,R-00362,Health Check Failed,28,70,Closed
ALT-00224,2026-01-28T21:00:00,Azure,High,R-00480,High CPU,26,165,Closed
ALT-00225,2026-01-29T00:00:00,AWS,Medium,R-00125,High CPU,2,155,Closed
ALT-00226,2026-01-29T03:00:00,Azure,Low,R-00368,Health Check Failed,19,83,Closed
ALT-00227,2026-01-29T06:00:00,AWS,Critical,R-00180,Health Check Failed,17,80,Closed
ALT-00228,2026-01-29T09:00:00,Azure,Low,R-00365,Disk Full,1,119,Closed
ALT-00229,2026-01-29T12:00:00,AWS,Low,R-00254,Disk Full,15,11,Closed
ALT-00230,2026-01-29T15:00:00,AWS,Low,R-00218,Backup Failed,7,35,Closed
ALT-00231,2026-01-29T18:00:00,AWS,Critical,R-00303,Backup Failed,10,104,Closed
ALT-00232,2026-01-29T21:00:00,Azure,Low,R-00026,High CPU,16,232,Closed
ALT-00233,2026-01-30T00:00:00,Azure,High,R-00383,Backup Failed,29,141,Closed
ALT-00234,2026-01-30T03:00:00,AWS,Medium,R-00242,High CPU,18,119,Closed
ALT-00235,2026-01-30T06:00:00,AWS,Low,R-00179,Backup Failed,30,94,Closed
ALT-00236,2026-01-30T09:00:00,Azure,Critical,R-00166,Disk Full,16,177,Closed
ALT-00237,2026-01-30T12:00:00,AWS,Critical,R-00007,Backup Failed,7,49,Closed
ALT-00238,2026-01-30T15:00:00,AWS,Medium,R-00030,Disk Full,9,199,Closed
ALT-00239,2026-01-30T18:00:00,Azure,Critical,R-00238,Disk Full,24,16,Closed
ALT-00240,2026-01-30T21:00:00,Azure,Medium,R-00420,Backup Failed,16,158,Closed
ALT-00241,2026-01-31T00:00:00,Azure,Low,R-00481,Backup Failed,15,221,Closed
ALT-00242,2026-01-31T03:00:00,AWS,Medium,R-00493,Backup Failed,19,9,Closed
ALT-00243,2026-01-31T06:00:00,AWS,Critical,R-00064,Health Check Failed,11,113,Closed
ALT-00244,2026-01-31T09:00:00,Azure,Medium,R-00347,High CPU,11,202,Closed
ALT-00245,2026-01-31T12:00:00,Azure,Medium,R-00103,High CPU,26,163,Closed
ALT-00246,2026-01-31T15:00:00,AWS,Medium,R-00080,Health Check Failed,27,104,Closed
ALT-00247,2026-01-31T18:00:00,Azure,High,R-00401,High CPU,27,109,Closed
ALT-00248,2026-01-31T21:00:00,AWS,High,R-00232,Health Check Failed,22,81,Closed
ALT-00249,2026-02-01T00:00:00,Azure,Low,R-00216,High CPU,14,54,Closed
ALT-00250,2026-02-01T03:00:00,AWS,Low,R-00416,Health Check Failed,16,156,Closed
ALT-00251,2026-02-01T06:00:00,AWS,High,R-00489,High CPU,2,122,Closed
ALT-00252,2026-02-01T09:00:00,Azure,Critical,R-00363,Health Check Failed,1,186,Closed
ALT-00253,2026-02-01T12:00:00,Azure,High,R-00400,Backup Failed,21,34,Closed
ALT-00254,2026-02-01T15:00:00,AWS,Critical,R-00179,High CPU,27,117,Closed
ALT-00255,2026-02-01T18:00:00,Azure,Medium,R-00036,High CPU,23,209,Closed
ALT-00256,2026-02-01T21:00:00,Azure,High,R-00394,Backup Failed,9,223,Closed
ALT-00257,2026-02-02T00:00:00,Azure,High,R-00001,High CPU,21,135,Closed
ALT-00258,2026-02-02T03:00:00,AWS,Low,R-00085,Health Check Failed,17,32,Closed
ALT-00259,2026-02-02T06:00:00,AWS,Medium,R-00243,Health Check Failed,10,97,Closed
ALT-00260,2026-02-02T09:00:00,AWS,Critical,R-00287,Backup Failed,14,217,Closed
ALT-00261,2026-02-02T12:00:00,AWS,Low,R-00336,Disk Full,16,189,Closed
ALT-00262,2026-02-02T15:00:00,AWS,Critical,R-00345,Health Check Failed,12,179,Closed
ALT-00263,2026-02-02T18:00:00,Azure,High,R-00419,Health Check Failed,2,222,Closed
ALT-00264,2026-02-02T21:00:00,AWS,High,R-00049,Health Check Failed,4,82,Closed
ALT-00265,2026-02-03T00:00:00,Azure,Low,R-00028,Health Check Failed,18,185,Closed
ALT-00266,2026-02-03T03:00:00,Azure,Medium,R-00413,Health Check Failed,9,226,Closed
ALT-00267,2026-02-03T06:00:00,AWS,Medium,R-00057,Backup Failed,16,142,Closed
ALT-00268,2026-02-03T09:00:00,Azure,High,R-00046,High CPU,24,98,Closed
ALT-00269,2026-02-03T12:00:00,Azure,Critical,R-00332,High CPU,10,224,Closed
ALT-00270,2026-02-03T15:00:00,AWS,Medium,R-00335,Backup Failed,27,10,Closed
ALT-00271,2026-02-03T18:00:00,Azure,High,R-00337,Health Check Failed,9,95,Closed
ALT-00272,2026-02-03T21:00:00,AWS,Medium,R-00314,Backup Failed,9,146,Closed
ALT-00273,2026-02-04T00:00:00,Azure,Low,R-00496,Backup Failed,10,130,Closed
ALT-00274,2026-02-04T03:00:00,AWS,Low,R-00399,Backup Failed,22,68,Closed
ALT-00275,2026-02-04T06:00:00,AWS,High,R-00107,Health Check Failed,13,229,Closed
ALT-00276,2026-02-04T09:00:00,Azure,High,R-00479,Disk Full,11,235,Closed
ALT-00277,2026-02-04T12:00:00,Azure,Low,R-00201,Disk Full,17,96,Closed
ALT-00278,2026-02-04T15:00:00,AWS,Low,R-00288,Disk Full,19,113,Closed
ALT-00279,2026-02-04T18:00:00,AWS,High,R-00026,Backup Failed,3,201,Closed
ALT-00280,2026-02-04T21:00:00,AWS,High,R-00301,Disk Full,5,196,Closed
ALT-00281,2026-02-05T00:00:00,Azure,Medium,R-00485,High CPU,3,156,Closed
ALT-00282,2026-02-05T03:00:00,AWS,High,R-00216,Disk Full,20,211,Closed
ALT-00283,2026-02-05T06:00:00,AWS,Low,R-00271,Disk Full,8,125,Closed
ALT-00284,2026-02-05T09:00:00,AWS,Critical,R-00298,Disk Full,7,60,Closed
ALT-00285,2026-02-05T12:00:00,AWS,Critical,R-00268,Backup Failed,23,186,Closed
ALT-00286,2026-02-05T15:00:00,Azure,High,R-00135,Health Check Failed,26,68,Closed
ALT-00287,2026-02-05T18:00:00,AWS,High,R-00029,Disk Full,10,131,Closed
ALT-00288,2026-02-05T21:00:00,AWS,Low,R-00010,Health Check Failed,6,82,Closed
ALT-00289,2026-02-06T00:00:00,AWS,Low,R-00439,Backup Failed,3,221,Closed
ALT-00290,2026-02-06T03:00:00,Azure,Low,R-00269,Backup Failed,27,24,Closed
ALT-00291,2026-02-06T06:00:00,Azure,Critical,R-00301,Disk Full,7,89,Closed
ALT-00292,2026-02-06T09:00:00,AWS,Low,R-00169,Disk Full,5,200,Closed
ALT-00293,2026-02-06T12:00:00,AWS,High,R-00092,Disk Full,22,228,Closed
ALT-00294,2026-02-06T15:00:00,AWS,Critical,R-00047,Health Check Failed,22,195,Closed
ALT-00295,2026-02-06T18:00:00,Azure,High,R-00060,Disk Full,13,114,Closed
ALT-00296,2026-02-06T21:00:00,Azure,Medium,R-00077,Health Check Failed,30,135,Closed
ALT-00297,2026-02-07T00:00:00,Azure,Critical,R-00025,Health Check Failed,16,68,Closed
