asset_tag,type,vendor,model,serial,location,assigned_to,status,warranty_end
AST-00022,Mobile,HP,Standard,SN000000022,Remote,User-067,In Use,2027-06-07
AST-00023,Mobile,Dell,Pro,SN000000023,Charlotte,User-070,In Use,2027-06-08
AST-00024,Dock,HP,Pro,SN000000024,Raleigh,User-073,In Stock,2027-06-09
AST-00025,Dock,Lenovo,Pro,SN000000025,Charlotte,User-076,In Stock,2027-06-10
AST-00026,Laptop,Apple,Enterprise,SN000000026,Raleigh,User-079,In Use,2027-06-11
AST-00027,Monitor,Lenovo,Enterprise,SN000000027,Raleigh,User-082,In Use,2027-06-12
AST-00028,Dock,HP,Standard,SN000000028,Charlotte,User-085,In Stock,2027-06-13
AST-00029,Laptop,HP,Pro,SN000000029,Raleigh,User-088,In Stock,2027-06-14
AST-00030,Laptop,HP,Enterprise,SN000000030,Charlotte,User-091,Repair,2027-06-15
AST-00031,Dock,Dell,Pro,SN000000031,Raleigh,User-094,Repair,2027-06-16
AST-00032,Monitor,Lenovo,Pro,SN000000032,Remote,User-097,Repair,2027-06-17
AST-00033,Monitor,Dell,Standard,SN000000033,Charlotte,User-100,In Use,2027-06-18
AST-00034,Monitor,Lenovo,Enterprise,SN000000034,Charlotte,User-103,In Use,2027-06-19
AST-00035,Laptop,Lenovo,Pro,SN000000035,Remote,User-106,In Use,2027-06-20
AST-00036,Mobile,Apple,Pro,SN000000036,Raleigh,User-109,Repair,2027-06-21
AST-00037,Laptop,Apple,Standard,SN000000037,Remote,User-112,In Use,2027-06-22
AST-00038,Printer,HP,Standard,SN000000038,Raleigh,User-115,In Use,2027-06-23
AST-00039,Dock,HP,Enterprise,SN000000039,Raleigh,User-118,In Use,2027-06-24
AST-00040,Mobile,Dell,Enterprise,SN000000040,Remote,User-121,In Use,2027-06-25
AST-00041,Monitor,Zebra,Enterprise,SN000000041,Remote,User-124,In Use,2027-06-26
AST-00042,Monitor,Dell,Standard,SN000000042,Raleigh,User-127,In Use,2027-06-27
AST-00043,Dock,HP,Standard,SN000000043,Raleigh,User-130,In Use,2027-06-28
AST-00044,Printer,HP,Standard,SN000000044,Charlotte,User-133,Repair,2027-06-29
AST-00045,Mobile,Zebra,Pro,SN000000045,Remote,User-136,In Use,2027-06-30
AST-00046,Monitor,Lenovo,Pro,SN000000046,Raleigh,User-139,In Use,2027-07-01
AST-00047,Printer,Apple,Enterprise,SN000000047,Charlotte,User-142,In Stock,2027-07-02
AST-00048,Laptop,Lenovo,Pro,SN000000048,Raleigh,User-145,In Stock,2027-07-03
AST-00049,Mobile,HP,Pro,SN000000049,Charlotte,User-148,In Use,2027-07-04
AST-00050,Laptop,Dell,Standard,SN000000050,Remote,User-151,In Stock,2027-07-05
AST-00051,Monitor,Lenovo,Pro,SN000000051,Raleigh,User-154,In Use,2027-07-06
AST-00052,Mobile,HP,Pro,SN000000052,Raleigh,User-157,In Stock,2027-07-07
AST-00053,Dock,Lenovo,Standard,SN000000053,Charlotte,User-160,In Use,2027-07-08
AST-00054,Printer,HP,Pro,SN000000054,Raleigh,User-163,In Stock,2027-07-09
AST-00055,Printer,Zebra,Enterprise,SN000000055,Raleigh,User-166,In Use,2027-07-10
AST-00056,Dock,HP,Enterprise,SN000000056,Raleigh,User-169,In Use,2027-07-11
AST-00057,Laptop,HP,Enterprise,SN000000057,Remote,User-172,In Use,2027-07-12
AST-00058,Laptop,Zebra,Enterprise,SN000000058,Charlotte,User-175,In Use,2027-07-13
AST-00059,Mobile,Dell,Standard,SN000000059,Remote,User-178,In Stock,2027-07-14
AST-00060,Dock,Apple,Standard,SN000000060,Remote,User-181,In Use,2027-07-15
AST-00061,Laptop,HP,Standard,SN000000061,Raleigh,User-184,In Stock,2027-07-16
AST-00062,Printer,Lenovo,Pro,SN000000062,Raleigh,User-187,In Use,2027-07-17
AST-00063,Mobile,Dell,Pro,SN000000063,Raleigh,User-190,In Use,2027-07-18
AST-00064,Monitor,Zebra,Pro,SN000000064,Remote,User-193,In Use,2027-07-19
AST-00065,Dock,Dell,Enterprise,SN000000065,Charlotte,User-196,In Use,2027-07-20
AST-00066,Mobile,Apple,Enterprise,SN000000066,Remote,User-199,In Use,2027-07-21
AST-00067,Monitor,Apple,Enterprise,SN000000067,Raleigh,User-202,Repair,2027-07-22
AST-00068,Mobile,Zebra,Pro,SN000000068,Charlotte,User-205,In Use,2027-07-23
AST-00069,Laptop,HP,Enterprise,SN000000069,Charlotte,User-208,In Use,2027-07-24
AST-00070,Printer,Apple,Enterprise,SN000000070,Remote,User-211,In Stock,2027-07-25
AST-00071,Dock,HP,Pro,SN000000071,Remote,User-214,In Stock,2027-07-26
AST-00072,Printer,Dell,Standard,SN000000072,Charlotte,User-217,In Use,2027-07-27
AST-00073,Printer,HP,Pro,SN000000073,Charlotte,User-220,In Use,2027-07-28
AST-00074,Dock,HP,Pro,SN000000074,Charlotte,User-223,In Use,2027-07-29
AST-00075,Monitor,Zebra,Standard,SN000000075,Charlotte,User-226,In Stock,2027-07-30
AST-00076,Printer,Lenovo,Pro,SN000000076,Charlotte,User-229,In Stock,2027-07-31
AST-00077,Monitor,Apple,Enterprise,SN000000077,Raleigh,User-232,In Stock,2027-08-01
AST-00078,Laptop,Dell,Pro,SN000000078,Charlotte,User-235,In Stock,2027-08-02
AST-00079,Monitor,Lenovo,Standard,SN000000079,Remote,User-238,In Use,2027-08-03
AST-00080,Mobile,Lenovo,Enterprise,SN000000080,Remote,User-241,In Use,2027-08-04
AST-00081,Mobile,HP,Pro,SN000000081,Raleigh,User-244,In Use,2027-08-05
AST-00082,Printer,Apple,Standard,SN000000082,Raleigh,User-247,In Use,2027-08-06
AST-00083,Mobile,Lenovo,Standard,SN000000083,Raleigh,User-250,In Use,2027-08-07
AST-00084,Mobile,HP,Pro,SN000000084,Charlotte,User-003,In Use,2027-08-08
AST-00085,Monitor,Zebra,Pro,SN000000085,Remote,User-006,In Use,2027-08-09
AST-00086,Dock,Dell,Pro,SN000000086,Charlotte,User-009,In Use,2027-08-10
AST-00087,Mobile,Zebra,Standard,SN000000087,Charlotte,User-012,In Use,2027-08-11
AST-00088,Laptop,Apple,Standard,SN000000088,Raleigh,User-015,Repair,2027-08-12
AST-00089,Laptop,Zebra,Standard,SN000000089,Remote,User-018,In Use,2027-08-13
AST-00090,Printer,Dell,Pro,SN000000090,Raleigh,User-021,In Use,2027-08-14
AST-00091,Laptop,Dell,Enterprise,SN000000091,Charlotte,User-024,In Use,2027-08-15
AST-00092,Monitor,Dell,Pro,SN000000092,Charlotte,User-027,In Use,2027-08-16
AST-00093,Laptop,Dell,Enterprise,SN000000093,Remote,User-030,In Stock,2027-08-17
AST-00094,Laptop,HP,Standard,SN000000094,Raleigh,User-033,Repair,2027-08-18
AST-00095,Monitor,Lenovo,Pro,SN000000095,Raleigh,User-036,In Use,2027-08-19
AST-00096,Monitor,Dell,Enterprise,SN000000096,Remote,User-039,In Stock,2027-08-20
AST-00097,Printer,Dell,Standard,SN000000097,Charlotte,User-042,In Use,2027-08-21
AST-00098,Printer,Lenovo,Standard,SN000000098,Remote,User-045,Repair,2027-08-22
AST-00099,Monitor,Dell,Standard,SN000000099,Charlotte,User-048,In Use,2027-08-23
AST-00100,Mobile,Apple,Standard,SN000000100,Raleigh,User-051,In Stock,2027-08-24
AST-00101,Monitor,Apple,Enterprise,SN000000101,Remote,User-054,In Use,2027-08-25
AST-00102,Mobile,HP,Standard,SN000000102,Charlotte,User-057,In Use,2027-08-26
AST-00103,Dock,Lenovo,Standard,SN000000103,Remote,User-060,In Stock,2027-08-27
AST-00104,Laptop,Lenovo,Standard,SN000000104,Charlotte,User-063,In Use,2027-08-28
AST-00105,Monitor,Apple,Enterprise,SN000000105,Raleigh,User-066,In Use,2027-08-29
AST-00106,Mobile,HP,Enterprise,SN000000106,Remote,User-069,In Stock,2027-08-30
AST-00107,Printer,Lenovo,Pro,SN000000107,Charlotte,User-072,In Stock,2027-08-31
AST-00108,Mobile,Lenovo,Pro,SN000000108,Remote,User-075,In Use,2027-09-01
AST-00109,Laptop,HP,Enterprise,SN000000109,Charlotte,User-078,In Stock,2027-09-02
AST-00110,Monitor,Apple,Pro,SN000000110,Remote,User-081,Repair,2027-09-03
AST-00111,Laptop,Dell,Enterprise,SN000000111,Raleigh,User-084,In Stock,2027-09-04
AST-00112,Monitor,Dell,Pro,SN000000112,Charlotte,User-087,In Use,2027-09-05
AST-00113,Mobile,Lenovo,Pro,SN000000113,Raleigh,User-090,Repair,2027-09-06
AST-00114,Mobile,Apple,Enterprise,SN000000114,Remote,User-093,In Stock,2027-09-07
AST-00115,Monitor,HP,Pro,SN000000115,Raleigh,User-096,Repair,2027-09-08
AST-00116,Printer,Zebra,Pro,SN000000116,Remote,User-099,In Use,2027-09-09
AST-00117,Mobile,Dell,Enterprise,SN000000117,Remote,User-102,Repair,2027-09-10
AST-00118,Printer,Zebra,Enterprise,SN000000118,Remote,User-105,In Use,2027-09-11
AST-00119,Laptop,HP,Pro,SN000000119,Charlotte,User-108,In Use,2027-09-12
AST-00120,Laptop,Lenovo,Enterprise,SN000000120,Raleigh,User-111,In Use,2027-09-13
AST-00121,Laptop,Dell,Pro,SN000000121,Raleigh,User-114,In Use,2027-09-14
AST-00122,Dock,Apple,Standard,SN000000122,Remote,User-117,Repair,2027-09-15
AST-00123,Monitor,HP,Standard,SN000000123,Charlotte,User-120,In Use,2027-09-16
AST-00124,Laptop,HP,Pro,SN000000124,Remote,User-123,In Use,2027-09-17
AST-00125,Mobile,Lenovo,Standard,SN000000125,Remote,User-126,In Use,2027-09-18
AST-00126,Printer,Dell,Pro,SN000000126,Remote,User-129,In Use,2027-09-19
AST-00127,Laptop,HP,Pro,SN000000127,Charlotte,User-132,In Use,2027-09-20
AST-00128,Monitor,Dell,Standard,SN000000128,Remote,User-135,Repair,2027-09-21
AST-00129,Monitor,HP,Pro,SN000000129,Remote,User-138,In Use,2027-09-22
AST-00130,Printer,Lenovo,Pro,SN000000130,Raleigh,User-141,In Stock,2027-09-23
AST-00131,Mobile,Dell,Pro,SN000000131,Charlotte,User-144,In Use,2027-09-24
AST-00132,Laptop,Dell,Enterprise,SN000000132,Charlotte,User-147,In Use,2027-09-25
AST-00133,Laptop,Apple,Pro,SN000000133,Remote,User-150,Repair,2027-09-26
AST-00134,Printer,Lenovo,Enterprise,SN000000134,Remote,User-153,In Stock,2027-09-27
AST-00135,Monitor,Apple,Standard,SN000000135,Raleigh,User-156,In Use,2027-09-28
AST-00136,Printer,Apple,Standard,SN000000136,Remote,User-159,In Use,2027-09-29
AST-00137,Mobile,Zebra,Standard,SN000000137,Charlotte,User-162,Repair,2027-09-30
AST-00138,Monitor,Zebra,Enterprise,SN000000138,Charlotte,User-165,Repair,2027-10-01
AST-00139,Mobile,Lenovo,Enterprise,SN000000139,Remote,User-168,Repair,2027-10-02
AST-00140,Mobile,HP,Standard,SN000000140,Raleigh,User-171,Repair,2027-10-03
AST-00141,Monitor,Lenovo,Standard,SN000000141,Charlotte,User-174,In Use,2027-10-04
AST-00142,Dock,Zebra,Pro,SN000000142,Charlotte,User-177,In Use,2027-10-05
AST-00143,Dock,HP,Enterprise,SN000000143,Charlotte,User-180,In Use,2027-10-06
AST-00144,Monitor,Zebra,Standard,SN000000144,Raleigh,User-183,In Use,2027-10-07
AST-00145,Printer,HP,Enterprise,SN000000145,Charlotte,User-186,In Use,2027-10-08
AST-00146,Dock,Dell,Enterprise,SN000000146,Remote,User-189,In Use,2027-10-09
AST-00147,Printer,Apple,Standard,SN000000147,Charlotte,User-192,In Stock,2027-10-10
AST-00148,Laptop,Lenovo,Standard,SN000000148,Raleigh,User-195,In Stock,2027-10-11
AST-00149,Mobile,Zebra,Standard,SN000000149,Raleigh,User-198,Repair,2027-10-12
AST-00150,Dock,HP,Enterprise,SN000000150,Remote,User-201,In Use,2027-10-13
AST-00151,Dock,Apple,Enterprise,SN000000151,Remote,User-204,In Use,2027-10-14
AST-00152,Printer,HP,Standard,SN000000152,Remote,User-207,Repair,2027-10-15
AST-00153,Mobile,Zebra,Standard,SN000000153,Raleigh,User-210,In Use,2027-10-16
AST-00154,Monitor,Apple,Standard,SN000000154,Remote,User-213,In Use,2027-10-17
AST-00155,Monitor,HP,Enterprise,SN000000155,Remote,User-216,In Use,2027-10-18
AST-00156,Monitor,Zebra,Enterprise,SN000000156,Remote,User-219,In Stock,2027-10-19
AST-00157,Mobile,HP,Pro,SN000000157,Raleigh,User-222,In Stock,2027-10-20
AST-00158,Printer,Apple,Standard,SN000000158,Remote,User-225,Repair,2027-10-21
AST-00159,Monitor,HP,Enterprise,SN000000159,Remote,User-228,In Use,2027-10-22
AST-00160,Monitor,Zebra,Enterprise,SN000000160,Raleigh,User-231,In Use,2027-10-23
AST-00161,Laptop,HP,Pro,SN000000161,Remote,User-234,In Use,2027-10-24
AST-00162,Mobile,Dell,Pro,SN000000162,Raleigh,User-237,In Use,2027-10-25
AST-00163,Dock,HP,Standard,SN000000163,Raleigh,User-240,In Stock,2027-10-26
AST-00164,Dock,Dell,Standard,SN000000164,Charlotte,User-243,Repair,2027-10-27
AST-00165,Dock,Apple,Pro,SN000000165,Raleigh,User-246,In Use,2027-10-28
AST-00166,Laptop,Zebra,Pro,SN000000166,Charlotte,User-249,In Stock,2027-10-29
AST-00167,Dock,Apple,Pro,SN000000167,Remote,User-002,In Use,2027-10-30
AST-00168,Mobile,Lenovo,Enterprise,SN000000168,Remote,User-005,In Stock,2027-10-31
AST-00169,Dock,Dell,Enterprise,SN000000169,Raleigh,User-008,Repair,2027-11-01
AST-00170,Dock,Dell,Enterprise,SN000000170,Remote,User-011,In Use,2027-11-02
AST-00171,Monitor,Zebra,Standard,SN000000171,Charlotte,User-014,In Use,2027-11-03
AST-00172,Dock,Apple,Standard,SN000000172,Remote,User-017,Repair,2027-11-04
AST-00173,Laptop,HP,Pro,SN000000173,Raleigh,User-020,In Use,2027-11-05
AST-00174,Dock,Apple,Pro,SN000000174,Remote,User-023,Repair,2027-11-06
AST-00175,Laptop,Dell,Standard,SN000000175,Remote,User-026,In Use,2027-11-07
AST-00176,Mobile,Apple,Standard,SN000000176,Raleigh,User-029,In Stock,2027-11-08
AST-00177,Laptop,Lenovo,Pro,SN000000177,Remote,User-032,Repair,2027-11-09
AST-00178,Monitor,Apple,Standard,SN000000178,Raleigh,User-035,Repair,2027-11-10
AST-00179,Laptop,Zebra,Standard,SN000000179,Raleigh,User-038,In Use,2027-11-11
AST-00180,Monitor,Lenovo,Enterprise,SN000000180,Charlotte,User-041,Repair,2027-11-12
AST-00181,Laptop,Lenovo,Pro,SN000000181,Raleigh,User-044,In Use,2027-11-13
AST-00182,Laptop,HP,Standard,SN000000182,Remote,User-047,Repair,2027-11-14
AST-00183,Dock,Lenovo,Enterprise,SN000000183,Charlotte,User-050,In Use,2027-11-15
AST-00184,Monitor,Dell,Pro,SN000000184,Raleigh,User-053,In Use,2027-11-16
AST-00185,Dock,Apple,Pro,SN000000185,Remote,User-056,In Use,2027-11-17
AST-00186,Dock,HP,Standard,SN000000186,Charlotte,User-059,Repair,2027-11-18
AST-00187,Dock,Lenovo,Standard,SN000000187,Charlotte,User-062,In Stock,2027-11-19
AST-00188,Mobile,Apple,Pro,SN000000188,Remote,User-065,In Use,2027-11-20
AST-00189,Mobile,Lenovo,Enterprise,SN000000189,Remote,User-068,Repair,2027-11-21
AST-00190,Laptop,Zebra,Enterprise,SN000000190,Charlotte,User-071,In Use,2027-11-22
AST-00191,Printer,Zebra,Standard,SN000000191,Raleigh,User-074,In Stock,2027-11-23
AST-00192,Laptop,HP,Pro,SN000000192,Charlotte,User-077,Repair,2027-11-24
AST-00193,Dock,Dell,Enterprise,SN000000193,Raleigh,User-080,In Stock,2027-11-25
AST-00194,Printer,Dell,Pro,SN000000194,Charlotte,User-083,Repair,2027-11-26
AST-00195,Printer,Dell,Standard,SN000000195,Charlotte,User-086,In Use,2027-11-27
AST-00196,Mobile,Zebra,Standard,SN000000196,Remote,User-089,Repair,2027-11-28
AST-00197,Monitor,Lenovo,Standard,SN000000197,Charlotte,User-092,In Use,2027-11-29
AST-00198,Dock,Lenovo,Standard,SN000000198,Raleigh,User-095,In Stock,2027-11-30
AST-00199,Printer,Dell,Enterprise,SN000000199,Raleigh,User-098,Repair,2027-12-01
AST-00200,Mobile,Apple,Pro,SN000000200,Raleigh,User-101,Repair,2027-12-02
AST-00201,Printer,Lenovo,Standard,SN000000201,Charlotte,User-104,Repair,2027-12-03
AST-00202,Mobile,Lenovo,Standard,SN000000202,Remote,User-107,In Use,2027-12-04
AST-00203,Printer,Apple,Pro,SN000000203,Raleigh,User-110,Repair,2027-12-05
AST-00204,Dock,Zebra,Standard,SN000000204,Charlotte,User-113,In Use,2027-12-06
AST-00205,Laptop,Dell,Enterprise,SN000000205,Raleigh,User-116,In Use,2027-12-07
AST-00206,Mobile,Zebra,Enterprise,SN000000206,Charlotte,User-119,Repair,2027-12-08
AST-00207,Printer,Zebra,Standard,SN000000207,Remote,User-122,In Stock,2027-12-09
AST-00208,Mobile,HP,Standard,SN000000208,Raleigh,User-125,Repair,2027-12-10
AST-00209,Laptop,HP,Pro,SN000000209,Charlotte,User-128,In Stock,2027-12-11
AST-00210,Mobile,Apple,Enterprise,SN000000210,Remote,User-131,Repair,2027-12-12
AST-00211,Laptop,Lenovo,Standard,SN000000211,Remote,User-134,In Stock,2027-12-13
AST-00212,Dock,Lenovo,Pro,SN000000212,Raleigh,User-137,In Use,2027-12-14
AST-00213,Laptop,Apple,Standard,SN000000213,Charlotte,User-140,In Use,2027-12-15
AST-00214,Monitor,Lenovo,Enterprise,SN000000214,Remote,User-143,In Stock,2027-12-16
AST-00215,Dock,HP,Enterprise,SN000000215,Raleigh,User-146,In Use,2027-12-17
AST-00216,Printer,Apple,Standard,SN000000216,Remote,User-149,Repair,2027-12-18
AST-00217,Laptop,Zebra,Pro,SN000000217,Charlotte,User-152,Repair,2027-12-19
AST-00218,Monitor,Apple,Pro,SN000000218,Remote,User-155,In Use,2027-12-20
AST-00219,Mobile,HP,Standard,SN000000219,Remote,User-158,In Use,2027-12-21
AST-00220,Printer,Dell,Enterprise,SN000000220,Remote,User-161,Repair,2027-12-22
AST-00221,Dock,Zebra,Standard,SN000000221,Raleigh,User-164,In Use,2027-12-23
AST-00222,Laptop,Dell,Standard,SN000000222,Raleigh,User-167,In Use,2027-12-24
AST-00223,Printer,HP,Standard,SN000000223,Remote,User-170,In Use,2027-12-25
AST-00224,Printer,Apple,Standard,SN000000224,Remote,User-173,In Use,2027-12-26
AST-00225,Mobile,Lenovo,Standard,SN000000225,Charlotte,User-176,In Use,2027-12-27
AST-00226,Dock,HP,Enterprise,SN000000226,Charlotte,User-179,Repair,2027-12-28
AST-00227,Dock,Dell,Pro,SN000000227,Charlotte,User-182,In Use,2027-12-29
AST-00228,Laptop,Zebra,Standard,SN000000228,Charlotte,User-185,Repair,2027-12-30
AST-00229,Printer,Dell,Standard,SN000000229,Charlotte,User-188,In Stock,2027-12-31
AST-00230,Dock,HP,Standard,SN000000230,Charlotte,User-191,Repair,2028-01-01
AST-00231,Dock,HP,Pro,SN000000231,Charlotte,User-194,Repair,2028-01-02
AST-00232,Laptop,Apple,Standard,SN000000232,Raleigh,User-197,In Use,2028-01-03
AST-00233,Monitor,Apple,Pro,SN000000233,Raleigh,User-200,Repair,2028-01-04
AST-00234,Monitor,HP,Pro,SN000000234,Charlotte,User-203,In Use,2028-01-05
AST-00235,Printer,Zebra,Standard,SN000000235,Charlotte,User-206,In Stock,2028-01-06
AST-00236,Dock,Apple,Enterprise,SN000000236,Remote,User-209,In Use,2028-01-07
AST-00237,Monitor,Zebra,Enterprise,SN000000237,Raleigh,User-212,In Use,2028-01-08
AST-00238,Monitor,Zebra,Standard,SN000000238,Remote,User-215,In Use,2028-01-09
AST-00239,Printer,Zebra,Standard,SN000000239,Charlotte,User-218,In Stock,2028-01-10
AST-00240,Laptop,HP,Standard,SN000000240,Raleigh,User-221,In Use,2028-01-11
AST-00241,Monitor,Dell,Enterprise,SN000000241,Remote,User-224,In Use,2028-01-12
AST-00242,Dock,Lenovo,Pro,SN000000242,Charlotte,User-227,In Use,2028-01-13
AST-00243,Dock,Zebra,Enterprise,SN000000243,Raleigh,User-230,Repair,2028-01-14
AST-00244,Mobile,Apple,Enterprise,SN000000244,Raleigh,User-233,In Use,2028-01-15
AST-00245,Dock,HP,Standard,SN000000245,Remote,User-236,In Stock,2028-01-16
AST-00246,Mobile,Dell,Enterprise,SN000000246,Remote,User-239,In Stock,2028-01-17
AST-00247,Monitor,HP,Enterprise,SN000000247,Raleigh,User-242,Repair,2028-01-18
AST-00248,Mobile,Apple,Enterprise,SN000000248,Remote,User-245,In Stock,2028-01-19
AST-00249,Dock,Zebra,Standard,SN000000249,Remote,User-248,Repair,2028-01-20
AST-00250,Mobile,HP,Enterprise,SN000000250,Raleigh,User-001,In Stock,2028-01-21
AST-00251,Laptop,Apple,Standard,SN000000251,Charlotte,User-004,In Stock,2028-01-22
AST-00252,Printer,Apple,Pro,SN000000252,Remote,User-007,In Stock,2028-01-23
AST-00253,Mobile,Dell,Standard,SN000000253,Charlotte,User-010,In Stock,2028-01-24
AST-00254,Mobile,HP,Pro,SN000000254,Charlotte,User-013,In Use,2028-01-25
AST-00255,Monitor,Lenovo,Pro,SN000000255,Charlotte,User-016,In Stock,2028-01-26
AST-00256,Laptop,Dell,Pro,SN000000256,Remote,User-019,In Use,2028-01-27
AST-00257,Dock,HP,Pro,SN000000257,Remote,User-022,In Stock,2028-01-28
AST-00258,Monitor,Zebra,Standard,SN000000258,Raleigh,User-025,In Stock,2028-01-29
AST-00259,Printer,HP,Enterprise,SN000000259,Charlotte,User-028,In Use,2028-01-30
AST-00260,Printer,Lenovo,Enterprise,SN000000260,Remote,User-031,In Use,2028-01-31
AST-00261,Printer,Apple,Enterprise,SN000000261,Raleigh,User-034,In Stock,2028-02-01
AST-00262,Dock,HP,Standard,SN000000262,Charlotte,User-037,Repair,2028-02-02
AST-00263,Mobile,Dell,Pro,SN000000263,Raleigh,User-040,In Use,2028-02-03
AST-00264,Laptop,Apple,Standard,SN000000264,Remote,User-043,In Stock,2028-02-04
AST-00265,Printer,Apple,Standard,SN000000265,Remote,User-046,In Use,2028-02-05
AST-00266,Dock,Dell,Enterprise,SN000000266,Remote,User-049,In Use,2028-02-06
AST-00267,Mobile,Lenovo,Standard,SN000000267,Raleigh,User-052,In Use,2028-02-07
AST-00268,Printer,Zebra,Standard,SN000000268,Raleigh,User-055,In Use,2028-02-08
AST-00269,Laptop,Apple,Standard,SN000000269,Raleigh,User-058,In Stock,2028-02-09
AST-00270,Dock,Lenovo,Pro,SN000000270,Raleigh,User-061,In Use,2028-02-10
AST-00271,Printer,Lenovo,Pro,SN000000271,Remote,User-064,In Use,2028-02-11
AST-00272,Mobile,Lenovo,Enterprise,SN000000272,Raleigh,User-067,Repair,2028-02-12
AST-00273,Laptop,Lenovo,Enterprise,SN000000273,Charlotte,User-070,In Use,2028-02-13
AST-00274,Monitor,Dell,Standard,SN000000274,Charlotte,User-073,In Use,2028-02-14
AST-00275,Dock,Apple,Standard,SN000000275,Charlotte,User-076,In Use,2028-02-15
AST-00276,Monitor,Lenovo,Enterprise,SN000000276,Charlotte,User-079,In Use,2028-02-16
AST-00277,Dock,Dell,Standard,SN000000277,Charlotte,User-082,In Stock,2028-02-17
AST-00278,Laptop,Lenovo,Pro,SN000000278,Remote,User-085,Repair,2028-02-18
AST-00279,Dock,HP,Standard,SN000000279,Remote,User-088,Repair,2028-02-19
AST-00280,Laptop,HP,Pro,SN000000280,Charlotte,User-091,Repair,2028-02-20
AST-00281,Mobile,Dell,Enterprise,SN000000281,Remote,User-094,In Use,2028-02-21
AST-00282,Printer,Apple,Enterprise,SN000000282,Raleigh,User-097,In Stock,2028-02-22
AST-00283,Dock,Apple,Standard,SN000000283,Charlotte,User-100,In Stock,2028-02-23
AST-00284,Dock,Dell,Pro,SN000000284,Remote,User-103,In Use,2028-02-24
AST-00285,Monitor,Dell,Standard,SN000000285,Raleigh,User-106,In Use,2028-02-25
AST-00286,Monitor,Dell,Enterprise,SN000000286,Charlotte,User-109,Repair,2028-02-26
AST-00287,Mobile,HP,Pro,SN000000287,Charlotte,User-112,In Stock,2028-02-27
AST-00288,Monitor,Zebra,Enterprise,SN000000288,Remote,User-115,In Stock,2028-02-28
AST-00289,Dock,Apple,Enterprise,SN000000289,Charlotte,User-118,In Use,2028-02-29
AST-00290,Monitor,HP,Pro,SN000000290,Raleigh,User-121,Repair,2028-03-01
AST-00291,Printer,Zebra,Standard,SN000000291,Raleigh,User-124,In Use,2028-03-02
AST-00292,Laptop,Lenovo,Pro,SN000000292,Charlotte,User-127,In Stock,2028-03-03
AST-00293,Printer,Dell,Standard,SN000000293,Raleigh,User-130,In Use,2028-03-04
AST-00294,Laptop,HP,Standard,SN000000294,Raleigh,User-133,In Use,2028-03-05
AST-00295,Dock,Dell,Pro,SN000000295,Remote,User-136,Repair,2028-03-06
AST-00296,Dock,Lenovo,Standard,SN000000296,Remote,User-139,In Use,2028-03-07
AST-00297,Dock,Apple,Standard,SN000000297,Charlotte,User-142,Repair,2028-03-08
AST-00298,Printer,Apple,Enterprise,SN000000298,Raleigh,User-145,In Use,2028-03-09
AST-00299,Mobile,Lenovo,Pro,SN000000299,Charlotte,User-148,In Use,2028-03-10
AST-00300,Mobile,Apple,Standard,SN000000300,Raleigh,User-151,In Use,2028-03-11
AST-00301,Mobile,HP,Enterprise,SN000000301,Raleigh,User-154,Repair,2028-03-12
AST-00302,Printer,Apple,Standard,SN000000302,Remote,User-157,In Use,2028-03-13
