change_id,type,service,risk,implementation_date,result,rollback_required
CHG-0074,Normal,Network,High,2026-03-16,Successful,Yes
CHG-0075,Normal,Printing,Low,2026-03-17,Successful,No
CHG-0076,Standard,Network,Low,2026-03-18,Successful,Yes
CHG-0077,Standard,Network,Low,2026-03-19,Failed,No
CHG-0078,Standard,Identity,Low,2026-03-20,Successful,No
CHG-0079,Normal,Endpoint,Low,2026-03-21,Successful,Yes
CHG-0080,Normal,Identity,High,2026-03-22,Successful,Yes
CHG-0081,Emergency,Endpoint,High,2026-03-23,Successful,Yes
CHG-0082,Standard,Microsoft 365,Low,2026-03-24,Successful,No
CHG-0083,Normal,Network,High,2026-03-25,Failed,No
CHG-0084,Standard,Microsoft 365,Low,2026-03-26,Successful,No
CHG-0085,Standard,Endpoint,Medium,2026-03-27,Successful,No
CHG-0086,Emergency,Microsoft 365,Low,2026-03-28,Successful,Yes
CHG-0087,Emergency,Endpoint,Medium,2026-03-29,Successful,No
CHG-0088,Normal,Network,Medium,2026-03-30,Successful,No
CHG-0089,Emergency,Printing,High,2026-03-31,Successful,No
CHG-0090,Normal,Endpoint,High,2026-04-01,Failed,No
CHG-0091,Standard,Microsoft 365,Low,2026-04-02,Failed,Yes
CHG-0092,Standard,Printing,Medium,2026-04-03,Successful,No
CHG-0093,Emergency,Microsoft 365,Medium,2026-04-04,Successful,No
CHG-0094,Emergency,Printing,Medium,2026-04-05,Successful,Yes
CHG-0095,Normal,Network,Low,2026-04-06,Successful,No
CHG-0096,Emergency,Identity,High,2026-04-07,Successful,No
CHG-0097,Standard,Network,High,2026-04-08,Failed,No
CHG-0098,Emergency,Identity,Low,2026-04-09,Failed,No
CHG-0099,Normal,Network,Medium,2026-04-10,Failed,Yes
CHG-0100,Standard,Printing,High,2026-04-11,Successful,No
CHG-0101,Emergency,Identity,High,2026-04-12,Failed,No
CHG-0102,Standard,Microsoft 365,High,2026-04-13,Successful,No
CHG-0103,Normal,Identity,High,2026-04-14,Successful,Yes
CHG-0104,Emergency,Network,Medium,2026-04-15,Successful,No
CHG-0105,Standard,Identity,High,2026-04-16,Successful,No
CHG-0106,Emergency,Printing,Low,2026-04-17,Successful,Yes
CHG-0107,Normal,Identity,Low,2026-04-18,Successful,No
CHG-0108,Normal,Identity,Low,2026-04-19,Successful,No
CHG-0109,Emergency,Network,Low,2026-04-20,Failed,No
CHG-0110,Standard,Endpoint,Low,2026-04-21,Failed,Yes
CHG-0111,Normal,Printing,Low,2026-04-22,Failed,No
CHG-0112,Normal,Network,Medium,2026-04-23,Failed,No
CHG-0113,Standard,Endpoint,Low,2026-04-24,Successful,No
CHG-0114,Normal,Printing,Low,2026-04-25,Successful,Yes
CHG-0115,Normal,Endpoint,High,2026-04-26,Successful,Yes
CHG-0116,Normal,Network,Medium,2026-04-27,Successful,No
CHG-0117,Normal,Endpoint,High,2026-04-28,Successful,Yes
CHG-0118,Emergency,Endpoint,Medium,2026-04-29,Failed,No
CHG-0119,Emergency,Printing,High,2026-04-30,Successful,No
CHG-0120,Emergency,Endpoint,Low,2026-05-01,Successful,No
CHG-0121,Emergency,Network,Medium,2026-05-02,Successful,No
CHG-0122,Standard,Printing,Low,2026-05-03,Successful,No
CHG-0123,Emergency,Microsoft 365,Low,2026-05-04,Successful,No
CHG-0124,Emergency,Microsoft 365,Medium,2026-05-05,Successful,Yes
CHG-0125,Emergency,Endpoint,Low,2026-05-06,Successful,No
CHG-0126,Emergency,Microsoft 365,High,2026-05-07,Failed,No
CHG-0127,Emergency,Network,High,2026-05-08,Successful,No
CHG-0128,Emergency,Printing,High,2026-05-09,Successful,No
CHG-0129,Emergency,Endpoint,Low,2026-05-10,Successful,No
CHG-0130,Standard,Microsoft 365,Low,2026-05-11,Successful,No
CHG-0131,Emergency,Microsoft 365,Medium,2026-05-12,Successful,Yes
CHG-0132,Standard,Printing,Medium,2026-05-13,Successful,Yes
CHG-0133,Emergency,Identity,Medium,2026-05-14,Failed,No
CHG-0134,Normal,Network,High,2026-05-15,Successful,No
CHG-0135,Standard,Microsoft 365,High,2026-05-16,Successful,No
CHG-0136,Emergency,Printing,High,2026-05-17,Successful,Yes
CHG-0137,Standard,Microsoft 365,Medium,2026-05-18,Failed,No
CHG-0138,Emergency,Identity,Low,2026-05-19,Successful,No
CHG-0139,Emergency,Endpoint,High,2026-05-20,Failed,No
CHG-0140,Normal,Endpoint,Medium,2026-05-21,Successful,No
CHG-0141,Standard,Identity,Medium,2026-05-22,Successful,No
CHG-0142,Normal,Identity,Medium,2026-05-23,Successful,No
CHG-0143,Standard,Printing,High,2026-05-24,Successful,Yes
CHG-0144,Standard,Printing,Medium,2026-05-25,Successful,No
CHG-0145,Emergency,Endpoint,Low,2026-05-26,Successful,No
CHG-0146,Normal,Identity,Medium,2026-05-27,Failed,Yes
CHG-0147,Emergency,Identity,Medium,2026-05-28,Successful,No
CHG-0148,Emergency,Identity,Low,2026-05-29,Failed,No
CHG-0149,Standard,Microsoft 365,High,2026-05-30,Successful,Yes
CHG-0150,Emergency,Network,Low,2026-05-31,Failed,No
