asset_tag,hostname,user_id,model,os,department,site,encryption,compliance,last_checkin
LT-00019,NSR-LT-0019,User-134,Lenovo T14 Gen 4,Windows 11 23H2,HR,Raleigh,Encrypted,Noncompliant,2026-07-01T19:00
LT-00020,NSR-LT-0020,User-141,HP EliteBook 840 G10,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-01T20:00
LT-00021,NSR-LT-0021,User-148,HP EliteBook 840 G10,Windows 11 23H2,Sales,Remote,Not Encrypted,Compliant,2026-07-01T21:00
LT-00022,NSR-LT-0022,User-155,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Raleigh,Encrypted,Noncompliant,2026-07-01T22:00
LT-00023,NSR-LT-0023,User-162,Lenovo T14 Gen 4,Windows 11 24H2,HR,Remote,Not Encrypted,Noncompliant,2026-07-01T23:00
LT-00024,NSR-LT-0024,User-169,Dell Latitude 5440,Windows 11 24H2,HR,Raleigh,Encrypted,Compliant,2026-07-02T00:00
LT-00025,NSR-LT-0025,User-176,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Charlotte,Encrypted,Noncompliant,2026-07-02T01:00
LT-00026,NSR-LT-0026,User-183,Dell Latitude 5440,Windows 11 24H2,Sales,Raleigh,Encrypted,Compliant,2026-07-02T02:00
LT-00027,NSR-LT-0027,User-190,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Charlotte,Encrypted,Noncompliant,2026-07-02T03:00
LT-00028,NSR-LT-0028,User-197,Lenovo T14 Gen 4,Windows 11 23H2,Marketing,Charlotte,Encrypted,Noncompliant,2026-07-02T04:00
LT-00029,NSR-LT-0029,User-204,HP EliteBook 840 G10,Windows 11 24H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-02T05:00
LT-00030,NSR-LT-0030,User-211,Dell Latitude 5440,Windows 11 24H2,HR,Remote,Encrypted,Noncompliant,2026-07-02T06:00
LT-00031,NSR-LT-0031,User-218,HP EliteBook 840 G10,Windows 11 23H2,Operations,Raleigh,Not Encrypted,Noncompliant,2026-07-02T07:00
LT-00032,NSR-LT-0032,User-225,Lenovo T14 Gen 4,Windows 11 23H2,HR,Charlotte,Encrypted,Noncompliant,2026-07-02T08:00
LT-00033,NSR-LT-0033,User-232,HP EliteBook 840 G10,Windows 11 23H2,HR,Raleigh,Not Encrypted,Compliant,2026-07-02T09:00
LT-00034,NSR-LT-0034,User-239,HP EliteBook 840 G10,Windows 11 23H2,IT,Remote,Encrypted,Noncompliant,2026-07-02T10:00
LT-00035,NSR-LT-0035,User-246,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Remote,Not Encrypted,Compliant,2026-07-02T11:00
LT-00036,NSR-LT-0036,User-003,HP EliteBook 840 G10,Windows 11 23H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-02T12:00
LT-00037,NSR-LT-0037,User-010,Dell Latitude 5440,Windows 11 24H2,Operations,Raleigh,Not Encrypted,Compliant,2026-07-02T13:00
LT-00038,NSR-LT-0038,User-017,HP EliteBook 840 G10,Windows 11 24H2,Finance,Raleigh,Encrypted,Compliant,2026-07-02T14:00
LT-00039,NSR-LT-0039,User-024,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-02T15:00
LT-00040,NSR-LT-0040,User-031,Dell Latitude 5440,Windows 11 23H2,Finance,Remote,Encrypted,Compliant,2026-07-02T16:00
LT-00041,NSR-LT-0041,User-038,Dell Latitude 5440,Windows 11 24H2,Marketing,Charlotte,Encrypted,Noncompliant,2026-07-02T17:00
LT-00042,NSR-LT-0042,User-045,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-02T18:00
LT-00043,NSR-LT-0043,User-052,HP EliteBook 840 G10,Windows 11 23H2,IT,Charlotte,Encrypted,Noncompliant,2026-07-02T19:00
LT-00044,NSR-LT-0044,User-059,HP EliteBook 840 G10,Windows 11 23H2,Finance,Remote,Encrypted,Compliant,2026-07-02T20:00
LT-00045,NSR-LT-0045,User-066,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-02T21:00
LT-00046,NSR-LT-0046,User-073,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-02T22:00
LT-00047,NSR-LT-0047,User-080,Dell Latitude 5440,Windows 11 24H2,HR,Charlotte,Not Encrypted,Compliant,2026-07-02T23:00
LT-00048,NSR-LT-0048,User-087,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Charlotte,Not Encrypted,Compliant,2026-07-03T00:00
LT-00049,NSR-LT-0049,User-094,Lenovo T14 Gen 4,Windows 11 24H2,IT,Remote,Not Encrypted,Noncompliant,2026-07-03T01:00
LT-00050,NSR-LT-0050,User-101,HP EliteBook 840 G10,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-03T02:00
LT-00051,NSR-LT-0051,User-108,HP EliteBook 840 G10,Windows 11 23H2,HR,Remote,Not Encrypted,Compliant,2026-07-03T03:00
LT-00052,NSR-LT-0052,User-115,Dell Latitude 5440,Windows 11 24H2,Operations,Charlotte,Not Encrypted,Compliant,2026-07-03T04:00
LT-00053,NSR-LT-0053,User-122,HP EliteBook 840 G10,Windows 11 24H2,Operations,Raleigh,Encrypted,Compliant,2026-07-03T05:00
LT-00054,NSR-LT-0054,User-129,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Charlotte,Not Encrypted,Noncompliant,2026-07-03T06:00
LT-00055,NSR-LT-0055,User-136,Lenovo T14 Gen 4,Windows 11 23H2,Marketing,Raleigh,Not Encrypted,Noncompliant,2026-07-03T07:00
LT-00056,NSR-LT-0056,User-143,Dell Latitude 5440,Windows 11 23H2,Operations,Charlotte,Not Encrypted,Compliant,2026-07-03T08:00
LT-00057,NSR-LT-0057,User-150,HP EliteBook 840 G10,Windows 11 24H2,HR,Remote,Encrypted,Noncompliant,2026-07-03T09:00
LT-00058,NSR-LT-0058,User-157,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Remote,Not Encrypted,Compliant,2026-07-03T10:00
LT-00059,NSR-LT-0059,User-164,HP EliteBook 840 G10,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-03T11:00
LT-00060,NSR-LT-0060,User-171,Dell Latitude 5440,Windows 11 23H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-03T12:00
LT-00061,NSR-LT-0061,User-178,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Charlotte,Encrypted,Compliant,2026-07-03T13:00
LT-00062,NSR-LT-0062,User-185,HP EliteBook 840 G10,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-03T14:00
LT-00063,NSR-LT-0063,User-192,Dell Latitude 5440,Windows 11 23H2,IT,Raleigh,Encrypted,Noncompliant,2026-07-03T15:00
LT-00064,NSR-LT-0064,User-199,Dell Latitude 5440,Windows 11 23H2,IT,Raleigh,Not Encrypted,Noncompliant,2026-07-03T16:00
LT-00065,NSR-LT-0065,User-206,HP EliteBook 840 G10,Windows 11 24H2,Sales,Charlotte,Encrypted,Noncompliant,2026-07-03T17:00
LT-00066,NSR-LT-0066,User-213,Dell Latitude 5440,Windows 11 23H2,HR,Raleigh,Encrypted,Compliant,2026-07-03T18:00
LT-00067,NSR-LT-0067,User-220,Dell Latitude 5440,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-03T19:00
LT-00068,NSR-LT-0068,User-227,Dell Latitude 5440,Windows 11 24H2,IT,Remote,Encrypted,Noncompliant,2026-07-03T20:00
LT-00069,NSR-LT-0069,User-234,HP EliteBook 840 G10,Windows 11 24H2,Operations,Remote,Not Encrypted,Compliant,2026-07-03T21:00
LT-00070,NSR-LT-0070,User-241,Lenovo T14 Gen 4,Windows 11 23H2,IT,Remote,Encrypted,Compliant,2026-07-03T22:00
LT-00071,NSR-LT-0071,User-248,Lenovo T14 Gen 4,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-03T23:00
LT-00072,NSR-LT-0072,User-005,Dell Latitude 5440,Windows 11 23H2,IT,Charlotte,Encrypted,Compliant,2026-07-04T00:00
LT-00073,NSR-LT-0073,User-012,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Not Encrypted,Compliant,2026-07-04T01:00
LT-00074,NSR-LT-0074,User-019,Dell Latitude 5440,Windows 11 23H2,Operations,Remote,Encrypted,Noncompliant,2026-07-04T02:00
LT-00075,NSR-LT-0075,User-026,Dell Latitude 5440,Windows 11 23H2,Operations,Remote,Encrypted,Noncompliant,2026-07-04T03:00
LT-00076,NSR-LT-0076,User-033,Dell Latitude 5440,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-04T04:00
LT-00077,NSR-LT-0077,User-040,Dell Latitude 5440,Windows 11 23H2,Sales,Raleigh,Encrypted,Noncompliant,2026-07-04T05:00
LT-00078,NSR-LT-0078,User-047,Dell Latitude 5440,Windows 11 24H2,Marketing,Raleigh,Not Encrypted,Compliant,2026-07-04T06:00
LT-00079,NSR-LT-0079,User-054,Lenovo T14 Gen 4,Windows 11 24H2,HR,Charlotte,Encrypted,Noncompliant,2026-07-04T07:00
LT-00080,NSR-LT-0080,User-061,Lenovo T14 Gen 4,Windows 11 24H2,IT,Raleigh,Encrypted,Compliant,2026-07-04T08:00
LT-00081,NSR-LT-0081,User-068,Dell Latitude 5440,Windows 11 23H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-04T09:00
LT-00082,NSR-LT-0082,User-075,HP EliteBook 840 G10,Windows 11 24H2,Operations,Charlotte,Not Encrypted,Noncompliant,2026-07-04T10:00
LT-00083,NSR-LT-0083,User-082,Dell Latitude 5440,Windows 11 24H2,Operations,Raleigh,Encrypted,Compliant,2026-07-04T11:00
LT-00084,NSR-LT-0084,User-089,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Raleigh,Not Encrypted,Noncompliant,2026-07-04T12:00
LT-00085,NSR-LT-0085,User-096,HP EliteBook 840 G10,Windows 11 24H2,IT,Charlotte,Not Encrypted,Compliant,2026-07-04T13:00
LT-00086,NSR-LT-0086,User-103,HP EliteBook 840 G10,Windows 11 24H2,Operations,Charlotte,Not Encrypted,Compliant,2026-07-04T14:00
LT-00087,NSR-LT-0087,User-110,Lenovo T14 Gen 4,Windows 11 24H2,HR,Charlotte,Encrypted,Compliant,2026-07-04T15:00
LT-00088,NSR-LT-0088,User-117,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-04T16:00
LT-00089,NSR-LT-0089,User-124,HP EliteBook 840 G10,Windows 11 23H2,Operations,Raleigh,Not Encrypted,Compliant,2026-07-04T17:00
LT-00090,NSR-LT-0090,User-131,Dell Latitude 5440,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-04T18:00
LT-00091,NSR-LT-0091,User-138,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Charlotte,Encrypted,Noncompliant,2026-07-04T19:00
LT-00092,NSR-LT-0092,User-145,Dell Latitude 5440,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-04T20:00
LT-00093,NSR-LT-0093,User-152,HP EliteBook 840 G10,Windows 11 24H2,HR,Charlotte,Not Encrypted,Compliant,2026-07-04T21:00
LT-00094,NSR-LT-0094,User-159,HP EliteBook 840 G10,Windows 11 23H2,IT,Remote,Encrypted,Compliant,2026-07-04T22:00
LT-00095,NSR-LT-0095,User-166,HP EliteBook 840 G10,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-04T23:00
LT-00096,NSR-LT-0096,User-173,HP EliteBook 840 G10,Windows 11 24H2,IT,Remote,Not Encrypted,Compliant,2026-07-05T00:00
LT-00097,NSR-LT-0097,User-180,HP EliteBook 840 G10,Windows 11 24H2,Operations,Raleigh,Not Encrypted,Noncompliant,2026-07-05T01:00
LT-00098,NSR-LT-0098,User-187,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Charlotte,Not Encrypted,Compliant,2026-07-05T02:00
LT-00099,NSR-LT-0099,User-194,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Not Encrypted,Noncompliant,2026-07-05T03:00
LT-00100,NSR-LT-0100,User-201,HP EliteBook 840 G10,Windows 11 23H2,HR,Charlotte,Encrypted,Compliant,2026-07-05T04:00
LT-00101,NSR-LT-0101,User-208,Dell Latitude 5440,Windows 11 24H2,Finance,Remote,Not Encrypted,Compliant,2026-07-05T05:00
LT-00102,NSR-LT-0102,User-215,Lenovo T14 Gen 4,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-05T06:00
LT-00103,NSR-LT-0103,User-222,HP EliteBook 840 G10,Windows 11 24H2,Operations,Remote,Not Encrypted,Compliant,2026-07-05T07:00
LT-00104,NSR-LT-0104,User-229,HP EliteBook 840 G10,Windows 11 24H2,Operations,Remote,Not Encrypted,Compliant,2026-07-05T08:00
LT-00105,NSR-LT-0105,User-236,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Remote,Encrypted,Compliant,2026-07-05T09:00
LT-00106,NSR-LT-0106,User-243,Lenovo T14 Gen 4,Windows 11 23H2,HR,Charlotte,Encrypted,Noncompliant,2026-07-05T10:00
LT-00107,NSR-LT-0107,User-250,Dell Latitude 5440,Windows 11 24H2,Finance,Charlotte,Encrypted,Compliant,2026-07-05T11:00
LT-00108,NSR-LT-0108,User-007,HP EliteBook 840 G10,Windows 11 24H2,Operations,Raleigh,Encrypted,Compliant,2026-07-05T12:00
LT-00109,NSR-LT-0109,User-014,Lenovo T14 Gen 4,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-05T13:00
LT-00110,NSR-LT-0110,User-021,Dell Latitude 5440,Windows 11 23H2,IT,Raleigh,Encrypted,Noncompliant,2026-07-05T14:00
LT-00111,NSR-LT-0111,User-028,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Raleigh,Encrypted,Noncompliant,2026-07-05T15:00
LT-00112,NSR-LT-0112,User-035,HP EliteBook 840 G10,Windows 11 23H2,HR,Raleigh,Encrypted,Compliant,2026-07-05T16:00
LT-00113,NSR-LT-0113,User-042,HP EliteBook 840 G10,Windows 11 24H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-05T17:00
LT-00114,NSR-LT-0114,User-049,HP EliteBook 840 G10,Windows 11 24H2,Sales,Raleigh,Not Encrypted,Compliant,2026-07-05T18:00
LT-00115,NSR-LT-0115,User-056,Dell Latitude 5440,Windows 11 24H2,IT,Raleigh,Encrypted,Compliant,2026-07-05T19:00
LT-00116,NSR-LT-0116,User-063,Dell Latitude 5440,Windows 11 24H2,Operations,Charlotte,Encrypted,Noncompliant,2026-07-05T20:00
LT-00117,NSR-LT-0117,User-070,HP EliteBook 840 G10,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-05T21:00
LT-00118,NSR-LT-0118,User-077,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-05T22:00
LT-00119,NSR-LT-0119,User-084,Lenovo T14 Gen 4,Windows 11 23H2,Operations,Raleigh,Encrypted,Compliant,2026-07-05T23:00
LT-00120,NSR-LT-0120,User-091,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Raleigh,Encrypted,Noncompliant,2026-07-06T00:00
LT-00121,NSR-LT-0121,User-098,Dell Latitude 5440,Windows 11 23H2,Sales,Remote,Encrypted,Compliant,2026-07-06T01:00
LT-00122,NSR-LT-0122,User-105,Dell Latitude 5440,Windows 11 24H2,HR,Raleigh,Encrypted,Compliant,2026-07-06T02:00
LT-00123,NSR-LT-0123,User-112,HP EliteBook 840 G10,Windows 11 23H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-06T03:00
LT-00124,NSR-LT-0124,User-119,Dell Latitude 5440,Windows 11 24H2,Finance,Raleigh,Encrypted,Noncompliant,2026-07-06T04:00
LT-00125,NSR-LT-0125,User-126,HP EliteBook 840 G10,Windows 11 24H2,IT,Raleigh,Encrypted,Compliant,2026-07-06T05:00
LT-00126,NSR-LT-0126,User-133,Lenovo T14 Gen 4,Windows 11 23H2,HR,Charlotte,Encrypted,Compliant,2026-07-06T06:00
LT-00127,NSR-LT-0127,User-140,Lenovo T14 Gen 4,Windows 11 23H2,Marketing,Raleigh,Encrypted,Noncompliant,2026-07-06T07:00
LT-00128,NSR-LT-0128,User-147,Dell Latitude 5440,Windows 11 23H2,Finance,Charlotte,Encrypted,Noncompliant,2026-07-06T08:00
LT-00129,NSR-LT-0129,User-154,Dell Latitude 5440,Windows 11 23H2,Sales,Remote,Encrypted,Noncompliant,2026-07-06T09:00
LT-00130,NSR-LT-0130,User-161,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Not Encrypted,Compliant,2026-07-06T10:00
LT-00131,NSR-LT-0131,User-168,HP EliteBook 840 G10,Windows 11 23H2,HR,Remote,Not Encrypted,Compliant,2026-07-06T11:00
LT-00132,NSR-LT-0132,User-175,Dell Latitude 5440,Windows 11 24H2,Sales,Raleigh,Not Encrypted,Compliant,2026-07-06T12:00
LT-00133,NSR-LT-0133,User-182,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-06T13:00
LT-00134,NSR-LT-0134,User-189,HP EliteBook 840 G10,Windows 11 24H2,Sales,Charlotte,Not Encrypted,Compliant,2026-07-06T14:00
LT-00135,NSR-LT-0135,User-196,Lenovo T14 Gen 4,Windows 11 23H2,Marketing,Remote,Encrypted,Compliant,2026-07-06T15:00
LT-00136,NSR-LT-0136,User-203,HP EliteBook 840 G10,Windows 11 23H2,Sales,Remote,Encrypted,Compliant,2026-07-06T16:00
LT-00137,NSR-LT-0137,User-210,Lenovo T14 Gen 4,Windows 11 23H2,IT,Charlotte,Encrypted,Compliant,2026-07-06T17:00
LT-00138,NSR-LT-0138,User-217,Dell Latitude 5440,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-06T18:00
LT-00139,NSR-LT-0139,User-224,Dell Latitude 5440,Windows 11 23H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-06T19:00
LT-00140,NSR-LT-0140,User-231,HP EliteBook 840 G10,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-06T20:00
LT-00141,NSR-LT-0141,User-238,HP EliteBook 840 G10,Windows 11 23H2,Sales,Remote,Not Encrypted,Compliant,2026-07-06T21:00
LT-00142,NSR-LT-0142,User-245,Lenovo T14 Gen 4,Windows 11 23H2,HR,Raleigh,Encrypted,Compliant,2026-07-06T22:00
LT-00143,NSR-LT-0143,User-002,HP EliteBook 840 G10,Windows 11 23H2,IT,Charlotte,Encrypted,Noncompliant,2026-07-06T23:00
LT-00144,NSR-LT-0144,User-009,Lenovo T14 Gen 4,Windows 11 23H2,Finance,Raleigh,Not Encrypted,Noncompliant,2026-07-07T00:00
LT-00145,NSR-LT-0145,User-016,Lenovo T14 Gen 4,Windows 11 23H2,HR,Remote,Not Encrypted,Compliant,2026-07-07T01:00
LT-00146,NSR-LT-0146,User-023,Dell Latitude 5440,Windows 11 24H2,IT,Charlotte,Encrypted,Compliant,2026-07-07T02:00
LT-00147,NSR-LT-0147,User-030,HP EliteBook 840 G10,Windows 11 24H2,HR,Remote,Encrypted,Noncompliant,2026-07-07T03:00
LT-00148,NSR-LT-0148,User-037,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Remote,Encrypted,Compliant,2026-07-07T04:00
LT-00149,NSR-LT-0149,User-044,HP EliteBook 840 G10,Windows 11 24H2,Sales,Raleigh,Encrypted,Noncompliant,2026-07-07T05:00
LT-00150,NSR-LT-0150,User-051,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Charlotte,Encrypted,Noncompliant,2026-07-07T06:00
LT-00151,NSR-LT-0151,User-058,HP EliteBook 840 G10,Windows 11 24H2,Operations,Charlotte,Not Encrypted,Compliant,2026-07-07T07:00
LT-00152,NSR-LT-0152,User-065,Dell Latitude 5440,Windows 11 23H2,Finance,Raleigh,Encrypted,Compliant,2026-07-07T08:00
LT-00153,NSR-LT-0153,User-072,Dell Latitude 5440,Windows 11 23H2,IT,Remote,Encrypted,Compliant,2026-07-07T09:00
LT-00154,NSR-LT-0154,User-079,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-07T10:00
LT-00155,NSR-LT-0155,User-086,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Charlotte,Encrypted,Compliant,2026-07-07T11:00
LT-00156,NSR-LT-0156,User-093,Lenovo T14 Gen 4,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-07T12:00
LT-00157,NSR-LT-0157,User-100,Dell Latitude 5440,Windows 11 24H2,IT,Charlotte,Not Encrypted,Compliant,2026-07-07T13:00
LT-00158,NSR-LT-0158,User-107,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Charlotte,Encrypted,Compliant,2026-07-07T14:00
LT-00159,NSR-LT-0159,User-114,HP EliteBook 840 G10,Windows 11 24H2,Finance,Charlotte,Encrypted,Noncompliant,2026-07-07T15:00
LT-00160,NSR-LT-0160,User-121,Dell Latitude 5440,Windows 11 23H2,Marketing,Remote,Encrypted,Compliant,2026-07-07T16:00
LT-00161,NSR-LT-0161,User-128,Lenovo T14 Gen 4,Windows 11 23H2,HR,Raleigh,Not Encrypted,Compliant,2026-07-07T17:00
LT-00162,NSR-LT-0162,User-135,Dell Latitude 5440,Windows 11 24H2,Operations,Remote,Encrypted,Compliant,2026-07-07T18:00
LT-00163,NSR-LT-0163,User-142,Dell Latitude 5440,Windows 11 23H2,Sales,Remote,Encrypted,Compliant,2026-07-07T19:00
LT-00164,NSR-LT-0164,User-149,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Not Encrypted,Noncompliant,2026-07-07T20:00
LT-00165,NSR-LT-0165,User-156,HP EliteBook 840 G10,Windows 11 24H2,Sales,Remote,Encrypted,Compliant,2026-07-07T21:00
LT-00166,NSR-LT-0166,User-163,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Not Encrypted,Compliant,2026-07-07T22:00
LT-00167,NSR-LT-0167,User-170,Dell Latitude 5440,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-07T23:00
LT-00168,NSR-LT-0168,User-177,Dell Latitude 5440,Windows 11 24H2,Sales,Charlotte,Encrypted,Compliant,2026-07-08T00:00
LT-00169,NSR-LT-0169,User-184,HP EliteBook 840 G10,Windows 11 23H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-08T01:00
LT-00170,NSR-LT-0170,User-191,Dell Latitude 5440,Windows 11 24H2,IT,Remote,Encrypted,Compliant,2026-07-08T02:00
LT-00171,NSR-LT-0171,User-198,Dell Latitude 5440,Windows 11 24H2,Marketing,Charlotte,Not Encrypted,Compliant,2026-07-08T03:00
LT-00172,NSR-LT-0172,User-205,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Not Encrypted,Noncompliant,2026-07-08T04:00
LT-00173,NSR-LT-0173,User-212,Lenovo T14 Gen 4,Windows 11 24H2,Operations,Charlotte,Not Encrypted,Compliant,2026-07-08T05:00
LT-00174,NSR-LT-0174,User-219,HP EliteBook 840 G10,Windows 11 23H2,IT,Raleigh,Encrypted,Compliant,2026-07-08T06:00
LT-00175,NSR-LT-0175,User-226,HP EliteBook 840 G10,Windows 11 23H2,Sales,Raleigh,Not Encrypted,Compliant,2026-07-08T07:00
LT-00176,NSR-LT-0176,User-233,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-08T08:00
LT-00177,NSR-LT-0177,User-240,Dell Latitude 5440,Windows 11 23H2,IT,Remote,Encrypted,Compliant,2026-07-08T09:00
LT-00178,NSR-LT-0178,User-247,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-08T10:00
LT-00179,NSR-LT-0179,User-004,Dell Latitude 5440,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-08T11:00
LT-00180,NSR-LT-0180,User-011,Lenovo T14 Gen 4,Windows 11 23H2,Sales,Remote,Not Encrypted,Noncompliant,2026-07-08T12:00
LT-00181,NSR-LT-0181,User-018,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-08T13:00
LT-00182,NSR-LT-0182,User-025,Dell Latitude 5440,Windows 11 24H2,Finance,Raleigh,Not Encrypted,Compliant,2026-07-08T14:00
LT-00183,NSR-LT-0183,User-032,HP EliteBook 840 G10,Windows 11 23H2,Operations,Remote,Encrypted,Compliant,2026-07-08T15:00
LT-00184,NSR-LT-0184,User-039,HP EliteBook 840 G10,Windows 11 24H2,Finance,Charlotte,Encrypted,Compliant,2026-07-08T16:00
LT-00185,NSR-LT-0185,User-046,Dell Latitude 5440,Windows 11 23H2,IT,Remote,Not Encrypted,Noncompliant,2026-07-08T17:00
