date,opened,resolved,sla_met_pct,fcr_pct,csat,backlog
2026-03-13,33,33,95.4,77.2,4.51,46
2026-03-14,34,45,91.8,80.5,4.64,42
2026-03-15,39,50,94.0,68.9,4.67,46
2026-03-16,42,30,98.6,82.1,4.6,68
2026-03-17,44,60,96.7,80.9,4.26,57
2026-03-18,59,61,97.7,87.1,4.57,66
2026-03-19,55,57,98.9,70.4,4.86,29
2026-03-20,26,42,97.9,72.9,4.69,74
2026-03-21,62,53,91.7,78.7,4.42,55
2026-03-22,27,56,98.6,68.5,4.51,44
2026-03-23,26,58,93.8,73.1,4.28,24
2026-03-24,59,35,93.5,71.7,4.74,27
2026-03-25,44,51,97.0,69.2,4.87,29
2026-03-26,26,28,93.6,70.0,4.3,75
2026-03-27,45,41,94.3,84.6,4.28,30
2026-03-28,40,63,96.2,77.9,4.73,42
2026-03-29,32,42,91.5,77.3,4.48,48
2026-03-30,26,51,96.6,86.3,4.21,53
2026-03-31,62,31,93.2,79.1,4.75,37
2026-04-01,61,51,94.9,84.9,4.55,68
2026-04-02,34,48,95.8,71.4,4.37,45
2026-04-03,60,53,91.4,84.3,4.87,57
2026-04-04,43,35,91.0,86.7,4.54,56
2026-04-05,41,49,99.8,84.8,4.35,71
2026-04-06,57,43,91.4,82.8,4.59,37
2026-04-07,30,50,97.1,84.6,4.71,35
2026-04-08,52,38,96.4,87.1,4.42,61
2026-04-09,46,65,93.3,83.1,4.52,33
2026-04-10,45,46,92.9,87.2,4.43,62
2026-04-11,33,25,96.4,68.1,4.21,29
2026-04-12,51,60,98.9,82.1,4.73,52
2026-04-13,30,29,95.7,85.9,4.77,46
2026-04-14,32,47,99.6,75.5,4.62,42
2026-04-15,36,25,92.1,75.4,4.34,18
2026-04-16,39,26,97.7,81.6,4.7,30
2026-04-17,30,64,96.5,84.2,4.35,49
2026-04-18,48,27,93.5,86.1,4.69,31
2026-04-19,25,37,99.7,80.8,4.28,35
2026-04-20,61,57,95.3,79.0,4.66,54
2026-04-21,63,61,92.5,79.8,4.72,26
2026-04-22,41,61,98.5,85.6,4.71,35
2026-04-23,37,26,99.7,81.9,4.57,34
2026-04-24,60,54,91.0,76.5,4.67,59
2026-04-25,28,45,94.8,87.9,4.39,61
2026-04-26,58,54,95.4,78.3,4.23,64
2026-04-27,39,28,93.4,76.4,4.51,18
2026-04-28,50,37,93.9,85.6,4.77,65
2026-04-29,39,52,99.4,86.3,4.34,39
2026-04-30,44,29,96.5,69.9,4.54,69
2026-05-01,26,62,98.0,86.7,4.79,33
2026-05-02,31,55,93.1,74.8,4.24,39
2026-05-03,58,40,99.3,83.5,4.63,66
2026-05-04,31,65,94.9,70.5,4.88,20
2026-05-05,49,45,98.8,81.9,4.75,21
2026-05-06,53,28,93.7,80.5,4.25,61
2026-05-07,28,60,91.5,85.0,4.48,57
2026-05-08,51,39,98.6,83.7,4.64,47
2026-05-09,49,54,98.0,85.6,4.63,39
2026-05-10,26,54,95.6,79.8,4.28,18
2026-05-11,63,29,96.2,84.8,4.83,26
2026-05-12,65,57,93.3,76.4,4.71,46
2026-05-13,36,40,92.2,68.9,4.29,55
2026-05-14,52,57,99.4,83.1,4.42,74
2026-05-15,59,34,92.3,74.2,4.44,41
2026-05-16,25,58,96.2,81.6,4.24,50
2026-05-17,60,28,94.7,71.9,4.34,30
2026-05-18,29,46,92.7,77.5,4.68,47
2026-05-19,63,46,98.5,79.3,4.43,37
2026-05-20,51,46,92.4,77.1,4.75,20
2026-05-21,56,39,99.1,80.8,4.69,47
2026-05-22,64,38,93.1,82.7,4.87,39
2026-05-23,49,38,94.5,84.5,4.2,18
2026-05-24,29,47,91.3,70.3,4.4,30
2026-05-25,65,62,99.0,75.2,4.88,30
2026-05-26,37,43,92.5,85.7,4.7,39
2026-05-27,60,40,92.6,68.4,4.79,24
2026-05-28,26,33,94.3,83.7,4.28,31
2026-05-29,44,54,93.1,84.2,4.66,51
2026-05-30,64,52,98.7,69.3,4.3,26
2026-05-31,37,37,95.7,81.9,4.42,45
2026-06-01,65,40,99.1,83.3,4.61,72
2026-06-02,59,43,97.9,74.6,4.24,68
2026-06-03,42,33,98.5,87.4,4.82,31
2026-06-04,30,55,98.0,80.3,4.32,42
2026-06-05,57,48,95.4,77.3,4.43,41
2026-06-06,58,55,97.3,77.9,4.39,43
2026-06-07,65,62,96.7,72.1,4.83,46
2026-06-08,40,50,92.9,76.5,4.46,28
2026-06-09,48,41,95.8,70.7,4.26,46
2026-06-10,58,47,93.0,68.8,4.56,39
2026-06-11,52,53,95.1,76.2,4.76,38
2026-06-12,42,49,91.2,76.8,4.39,22
2026-06-13,47,30,93.6,78.0,4.58,23
2026-06-14,42,39,91.9,69.4,4.23,30
2026-06-15,46,37,96.9,73.0,4.72,67
2026-06-16,42,37,97.2,88.0,4.9,66
2026-06-17,59,41,91.1,74.0,4.78,68
2026-06-18,50,50,98.2,83.2,4.21,59
2026-06-19,57,34,98.6,72.6,4.71,31
2026-06-20,55,39,95.5,83.7,4.73,64
2026-06-21,54,46,98.0,74.3,4.33,67
2026-06-22,51,38,94.9,85.1,4.22,26
2026-06-23,61,33,93.7,82.8,4.55,60
2026-06-24,47,46,93.0,76.5,4.73,66
2026-06-25,59,44,93.9,68.5,4.75,26
2026-06-26,34,46,96.0,84.0,4.84,54
2026-06-27,50,49,92.8,75.8,4.57,30
2026-06-28,55,31,93.9,87.2,4.65,37
2026-06-29,30,35,91.9,79.1,4.22,62
