user_id,display_name,department,title,manager_id,employment_status,mfa_registered,license,risk_state
User-095,Employee 095,Operations,Manager,User-009,Active,Yes,M365 E3,None
User-096,Employee 096,Operations,Specialist,User-009,Active,No,M365 E3,None
User-097,Employee 097,IT,Associate,User-009,Active,Yes,M365 F3,Low
User-098,Employee 098,Finance,Manager,User-009,Active,Yes,M365 F3,None
User-099,Employee 099,Marketing,Associate,User-009,Active,Yes,M365 F3,Low
User-100,Employee 100,Marketing,Associate,User-010,Active,Yes,M365 E3,Low
User-101,Employee 101,Sales,Analyst,User-010,Active,No,M365 F3,Low
User-102,Employee 102,Sales,Analyst,User-010,Active,No,M365 F3,None
User-103,Employee 103,HR,Manager,User-010,Active,No,M365 E3,Low
User-104,Employee 104,Marketing,Specialist,User-010,Active,Yes,M365 F3,Low
User-105,Employee 105,Marketing,Coordinator,User-010,Active,No,M365 F3,Low
User-106,Employee 106,Operations,Coordinator,User-010,Active,Yes,M365 F3,None
User-107,Employee 107,HR,Coordinator,User-010,Active,Yes,M365 E3,Low
User-108,Employee 108,Operations,Analyst,User-010,Active,Yes,M365 F3,None
User-109,Employee 109,Marketing,Associate,User-010,Active,No,M365 F3,None
User-110,Employee 110,Operations,Specialist,User-011,Active,Yes,M365 F3,None
User-111,Employee 111,HR,Analyst,User-011,Active,Yes,M365 F3,None
User-112,Employee 112,IT,Analyst,User-011,Active,No,M365 F3,None
User-113,Employee 113,Finance,Coordinator,User-011,Active,Yes,M365 E3,None
User-114,Employee 114,HR,Specialist,User-011,Active,No,M365 E3,None
User-115,Employee 115,Marketing,Coordinator,User-011,Active,Yes,M365 F3,None
User-116,Employee 116,Marketing,Coordinator,User-011,Active,Yes,M365 E3,None
User-117,Employee 117,HR,Associate,User-011,Active,Yes,M365 E3,Low
User-118,Employee 118,Sales,Manager,User-011,Active,Yes,M365 E3,Low
User-119,Employee 119,HR,Manager,User-011,Active,No,M365 F3,None
User-120,Employee 120,HR,Analyst,User-012,Active,Yes,M365 E3,Low
User-121,Employee 121,Operations,Analyst,User-012,Active,Yes,M365 E3,None
User-122,Employee 122,Marketing,Analyst,User-012,Active,Yes,M365 E3,Low
User-123,Employee 123,Operations,Associate,User-012,Active,Yes,M365 E3,None
User-124,Employee 124,IT,Specialist,User-012,Active,Yes,M365 E3,None
User-125,Employee 125,Finance,Associate,User-012,Active,Yes,M365 F3,Low
User-126,Employee 126,IT,Specialist,User-012,Active,Yes,M365 F3,Low
User-127,Employee 127,Sales,Associate,User-012,Active,No,M365 F3,None
User-128,Employee 128,Sales,Manager,User-012,Active,Yes,M365 E3,None
User-129,Employee 129,Marketing,Coordinator,User-012,Active,Yes,M365 E3,Low
User-130,Employee 130,IT,Coordinator,User-013,Active,Yes,M365 F3,Low
User-131,Employee 131,Marketing,Analyst,User-013,Active,No,M365 F3,Low
User-132,Employee 132,IT,Analyst,User-013,Active,Yes,M365 E3,Low
User-133,Employee 133,Finance,Analyst,User-013,Active,Yes,M365 F3,None
User-134,Employee 134,HR,Analyst,User-013,Active,Yes,M365 F3,Low
User-135,Employee 135,Sales,Coordinator,User-013,Active,Yes,M365 F3,None
User-136,Employee 136,Marketing,Analyst,User-013,Active,Yes,M365 E3,None
User-137,Employee 137,Finance,Specialist,User-013,Active,Yes,M365 F3,None
User-138,Employee 138,Finance,Manager,User-013,Active,Yes,M365 E3,None
User-139,Employee 139,IT,Coordinator,User-013,Active,Yes,M365 F3,None
User-140,Employee 140,Sales,Analyst,User-014,Active,No,M365 E3,Low
User-141,Employee 141,HR,Associate,User-014,Active,Yes,M365 E3,None
User-142,Employee 142,Marketing,Analyst,User-014,Active,Yes,M365 F3,None
User-143,Employee 143,Finance,Specialist,User-014,Active,Yes,M365 E3,None
User-144,Employee 144,Marketing,Coordinator,User-014,Active,No,M365 F3,None
User-145,Employee 145,HR,Analyst,User-014,Active,Yes,M365 E3,None
User-146,Employee 146,Operations,Associate,User-014,Active,Yes,M365 F3,Low
User-147,Employee 147,Finance,Analyst,User-014,Active,Yes,M365 E3,None
User-148,Employee 148,Marketing,Coordinator,User-014,Active,Yes,M365 F3,None
User-149,Employee 149,IT,Associate,User-014,Active,Yes,M365 F3,None
User-150,Employee 150,Sales,Analyst,User-015,Active,No,M365 F3,None
User-151,Employee 151,Operations,Manager,User-015,Active,No,M365 F3,Low
User-152,Employee 152,Sales,Analyst,User-015,Active,Yes,M365 E3,None
User-153,Employee 153,Finance,Manager,User-015,Active,No,M365 F3,None
User-154,Employee 154,IT,Manager,User-015,Active,Yes,M365 E3,Low
User-155,Employee 155,Marketing,Coordinator,User-015,Active,No,M365 F3,None
User-156,Employee 156,HR,Manager,User-015,Active,Yes,M365 E3,None
User-157,Employee 157,Marketing,Associate,User-015,Active,Yes,M365 E3,Low
User-158,Employee 158,Operations,Specialist,User-015,Active,Yes,M365 F3,Low
User-159,Employee 159,Marketing,Coordinator,User-015,Active,No,M365 F3,Low
User-160,Employee 160,Marketing,Manager,User-016,Active,Yes,M365 E3,None
User-161,Employee 161,Marketing,Coordinator,User-016,Active,No,M365 F3,None
User-162,Employee 162,Finance,Manager,User-016,Active,Yes,M365 E3,None
User-163,Employee 163,Operations,Analyst,User-016,Active,Yes,M365 F3,None
User-164,Employee 164,Sales,Analyst,User-016,Active,No,M365 F3,Low
User-165,Employee 165,HR,Analyst,User-016,Active,No,M365 F3,None
User-166,Employee 166,Finance,Manager,User-016,Active,Yes,M365 E3,None
User-167,Employee 167,HR,Analyst,User-016,Active,Yes,M365 E3,Low
User-168,Employee 168,IT,Associate,User-016,Active,Yes,M365 F3,None
User-169,Employee 169,Operations,Analyst,User-016,Active,Yes,M365 F3,None
User-170,Employee 170,IT,Specialist,User-017,Active,No,M365 F3,Low
User-171,Employee 171,HR,Analyst,User-017,Active,Yes,M365 E3,None
User-172,Employee 172,Operations,Associate,User-017,Active,Yes,M365 F3,Low
User-173,Employee 173,Finance,Analyst,User-017,Active,Yes,M365 F3,None
User-174,Employee 174,Marketing,Manager,User-017,Active,Yes,M365 F3,Low
User-175,Employee 175,Sales,Coordinator,User-017,Active,Yes,M365 F3,None
User-176,Employee 176,HR,Coordinator,User-017,Active,Yes,M365 E3,None
User-177,Employee 177,Finance,Specialist,User-017,Active,Yes,M365 F3,None
User-178,Employee 178,Marketing,Specialist,User-017,Active,Yes,M365 F3,None
User-179,Employee 179,IT,Analyst,User-017,Active,No,M365 F3,Low
User-180,Employee 180,Sales,Specialist,User-018,Active,Yes,M365 E3,None
User-181,Employee 181,HR,Specialist,User-018,Active,Yes,M365 F3,None
User-182,Employee 182,IT,Coordinator,User-018,Active,Yes,M365 F3,None
User-183,Employee 183,Operations,Manager,User-018,Active,Yes,M365 E3,None
User-184,Employee 184,IT,Specialist,User-018,Active,Yes,M365 F3,Low
User-185,Employee 185,Marketing,Specialist,User-018,Active,Yes,M365 E3,None
User-186,Employee 186,IT,Associate,User-018,Active,Yes,M365 E3,Low
User-187,Employee 187,Marketing,Coordinator,User-018,Active,Yes,M365 E3,None
User-188,Employee 188,IT,Manager,User-018,Active,No,M365 F3,None
User-189,Employee 189,Finance,Specialist,User-018,Active,Yes,M365 E3,None
User-190,Employee 190,Sales,Analyst,User-019,Active,Yes,M365 E3,None
User-191,Employee 191,Sales,Associate,User-019,Active,Yes,M365 E3,None
User-192,Employee 192,Marketing,Associate,User-019,Active,Yes,M365 E3,None
User-193,Employee 193,HR,Analyst,User-019,Active,Yes,M365 F3,None
User-194,Employee 194,IT,Associate,User-019,Active,Yes,M365 F3,None
User-195,Employee 195,HR,Associate,User-019,Active,Yes,M365 E3,Low
User-196,Employee 196,Operations,Coordinator,User-019,Active,No,M365 E3,Low
User-197,Employee 197,Marketing,Associate,User-019,Active,Yes,M365 E3,None
User-198,Employee 198,HR,Coordinator,User-019,Active,Yes,M365 E3,None
User-199,Employee 199,Marketing,Specialist,User-019,Active,Yes,M365 F3,None
User-200,Employee 200,HR,Associate,User-020,Active,Yes,M365 E3,None
User-201,Employee 201,IT,Associate,User-020,Active,Yes,M365 F3,None
User-202,Employee 202,Marketing,Coordinator,User-020,Active,Yes,M365 E3,None
User-203,Employee 203,IT,Analyst,User-020,Active,Yes,M365 F3,Low
User-204,Employee 204,IT,Associate,User-020,Active,Yes,M365 F3,Low
User-205,Employee 205,Sales,Coordinator,User-020,Active,Yes,M365 E3,None
User-206,Employee 206,IT,Specialist,User-020,Active,No,M365 E3,None
User-207,Employee 207,Sales,Coordinator,User-020,Active,Yes,M365 F3,None
User-208,Employee 208,Operations,Coordinator,User-020,Active,No,M365 E3,None
User-209,Employee 209,Marketing,Associate,User-020,Active,No,M365 E3,Low
User-210,Employee 210,IT,Specialist,User-021,Active,Yes,M365 E3,Low
User-211,Employee 211,Operations,Manager,User-021,Active,Yes,M365 F3,None
User-212,Employee 212,IT,Associate,User-021,Active,Yes,M365 F3,Low
User-213,Employee 213,IT,Manager,User-021,Active,No,M365 E3,None
User-214,Employee 214,Marketing,Coordinator,User-021,Active,Yes,M365 E3,None
User-215,Employee 215,Sales,Specialist,User-021,Active,Yes,M365 E3,None
User-216,Employee 216,Marketing,Coordinator,User-021,Active,No,M365 E3,None
User-217,Employee 217,IT,Manager,User-021,Active,Yes,M365 E3,None
User-218,Employee 218,HR,Associate,User-021,Active,Yes,M365 E3,None
User-219,Employee 219,Finance,Coordinator,User-021,Active,Yes,M365 E3,Low
User-220,Employee 220,Sales,Associate,User-022,Active,No,M365 F3,None
User-221,Employee 221,Marketing,Manager,User-022,Active,No,M365 F3,None
User-222,Employee 222,HR,Analyst,User-022,Active,Yes,M365 E3,Low
User-223,Employee 223,IT,Analyst,User-022,Active,Yes,M365 F3,Low
User-224,Employee 224,Finance,Associate,User-022,Active,Yes,M365 E3,None
User-225,Employee 225,HR,Manager,User-022,Active,No,M365 E3,None
User-226,Employee 226,Sales,Specialist,User-022,Active,Yes,M365 E3,Low
User-227,Employee 227,HR,Specialist,User-022,Active,Yes,M365 E3,None
User-228,Employee 228,Marketing,Associate,User-022,Active,Yes,M365 E3,None
User-229,Employee 229,Finance,Analyst,User-022,Active,No,M365 E3,None
User-230,Employee 230,Sales,Associate,User-023,Active,Yes,M365 F3,Low
User-231,Employee 231,IT,Coordinator,User-023,Active,Yes,M365 E3,None
User-232,Employee 232,IT,Associate,User-023,Active,Yes,M365 E3,None
User-233,Employee 233,Marketing,Specialist,User-023,Active,Yes,M365 F3,Low
User-234,Employee 234,IT,Analyst,User-023,Active,Yes,M365 E3,None
User-235,Employee 235,Finance,Coordinator,User-023,Active,No,M365 F3,None
User-236,Employee 236,Sales,Coordinator,User-023,Active,Yes,M365 F3,Low
User-237,Employee 237,Finance,Coordinator,User-023,Active,Yes,M365 F3,None
User-238,Employee 238,Operations,Specialist,User-023,Active,Yes,M365 E3,Low
User-239,Employee 239,IT,Associate,User-023,Active,Yes,M365 F3,None
User-240,Employee 240,Finance,Associate,User-024,Active,Yes,M365 E3,Low
User-241,Employee 241,Marketing,Manager,User-024,Active,Yes,M365 F3,None
User-242,Employee 242,Marketing,Associate,User-024,Active,No,M365 F3,None
User-243,Employee 243,Operations,Associate,User-024,Active,No,M365 E3,None
User-244,Employee 244,Marketing,Specialist,User-024,Active,Yes,M365 F3,None
User-245,Employee 245,IT,Coordinator,User-024,Active,Yes,M365 E3,Low
User-246,Employee 246,Finance,Analyst,User-024,Active,Yes,M365 F3,Low
User-247,Employee 247,Sales,Analyst,User-024,Active,Yes,M365 F3,Low
User-248,Employee 248,Sales,Associate,User-024,Active,No,M365 E3,Low
User-249,Employee 249,Marketing,Associate,User-024,Active,Yes,M365 F3,Low
User-250,Employee 250,IT,Analyst,User-025,Active,No,M365 F3,Low
