review_id,account,role,system,decision,reviewer
REV-0036,Account 36,Role 36,System 36,Remove,Reviewer 36
REV-0037,Account 37,Role 37,System 37,Reduce,Reviewer 37
REV-0038,Account 38,Role 38,System 38,Reduce,Reviewer 38
REV-0039,Account 39,Role 39,System 39,Reduce,Reviewer 39
REV-0040,Account 40,Role 40,System 40,Reduce,Reviewer 40
REV-0041,Account 41,Role 41,System 41,Remove,Reviewer 41
REV-0042,Account 42,Role 42,System 42,Retain,Reviewer 42
REV-0043,Account 43,Role 43,System 43,Reduce,Reviewer 43
REV-0044,Account 44,Role 44,System 44,Reduce,Reviewer 44
REV-0045,Account 45,Role 45,System 45,Remove,Reviewer 45
REV-0046,Account 46,Role 46,System 46,Remove,Reviewer 46
REV-0047,Account 47,Role 47,System 47,Remove,Reviewer 47
REV-0048,Account 48,Role 48,System 48,Reduce,Reviewer 48
REV-0049,Account 49,Role 49,System 49,Remove,Reviewer 49
REV-0050,Account 50,Role 50,System 50,Reduce,Reviewer 50
REV-0051,Account 51,Role 51,System 51,Remove,Reviewer 51
REV-0052,Account 52,Role 52,System 52,Retain,Reviewer 52
REV-0053,Account 53,Role 53,System 53,Reduce,Reviewer 53
REV-0054,Account 54,Role 54,System 54,Remove,Reviewer 54
REV-0055,Account 55,Role 55,System 55,Remove,Reviewer 55
REV-0056,Account 56,Role 56,System 56,Remove,Reviewer 56
REV-0057,Account 57,Role 57,System 57,Remove,Reviewer 57
REV-0058,Account 58,Role 58,System 58,Remove,Reviewer 58
REV-0059,Account 59,Role 59,System 59,Retain,Reviewer 59
REV-0060,Account 60,Role 60,System 60,Reduce,Reviewer 60
REV-0061,Account 61,Role 61,System 61,Reduce,Reviewer 61
REV-0062,Account 62,Role 62,System 62,Retain,Reviewer 62
REV-0063,Account 63,Role 63,System 63,Reduce,Reviewer 63
REV-0064,Account 64,Role 64,System 64,Reduce,Reviewer 64
REV-0065,Account 65,Role 65,System 65,Reduce,Reviewer 65
REV-0066,Account 66,Role 66,System 66,Reduce,Reviewer 66
REV-0067,Account 67,Role 67,System 67,Retain,Reviewer 67
REV-0068,Account 68,Role 68,System 68,Remove,Reviewer 68
REV-0069,Account 69,Role 69,System 69,Reduce,Reviewer 69
REV-0070,Account 70,Role 70,System 70,Retain,Reviewer 70
REV-0071,Account 71,Role 71,System 71,Remove,Reviewer 71
REV-0072,Account 72,Role 72,System 72,Reduce,Reviewer 72
REV-0073,Account 73,Role 73,System 73,Retain,Reviewer 73
REV-0074,Account 74,Role 74,System 74,Remove,Reviewer 74
REV-0075,Account 75,Role 75,System 75,Reduce,Reviewer 75
REV-0076,Account 76,Role 76,System 76,Retain,Reviewer 76
REV-0077,Account 77,Role 77,System 77,Remove,Reviewer 77
REV-0078,Account 78,Role 78,System 78,Remove,Reviewer 78
REV-0079,Account 79,Role 79,System 79,Reduce,Reviewer 79
REV-0080,Account 80,Role 80,System 80,Retain,Reviewer 80
REV-0081,Account 81,Role 81,System 81,Reduce,Reviewer 81
REV-0082,Account 82,Role 82,System 82,Reduce,Reviewer 82
REV-0083,Account 83,Role 83,System 83,Remove,Reviewer 83
REV-0084,Account 84,Role 84,System 84,Remove,Reviewer 84
REV-0085,Account 85,Role 85,System 85,Reduce,Reviewer 85
REV-0086,Account 86,Role 86,System 86,Reduce,Reviewer 86
REV-0087,Account 87,Role 87,System 87,Reduce,Reviewer 87
REV-0088,Account 88,Role 88,System 88,Reduce,Reviewer 88
REV-0089,Account 89,Role 89,System 89,Remove,Reviewer 89
REV-0090,Account 90,Role 90,System 90,Retain,Reviewer 90
REV-0091,Account 91,Role 91,System 91,Remove,Reviewer 91
REV-0092,Account 92,Role 92,System 92,Reduce,Reviewer 92
REV-0093,Account 93,Role 93,System 93,Retain,Reviewer 93
REV-0094,Account 94,Role 94,System 94,Reduce,Reviewer 94
REV-0095,Account 95,Role 95,System 95,Remove,Reviewer 95
REV-0096,Account 96,Role 96,System 96,Reduce,Reviewer 96
REV-0097,Account 97,Role 97,System 97,Reduce,Reviewer 97
REV-0098,Account 98,Role 98,System 98,Remove,Reviewer 98
REV-0099,Account 99,Role 99,System 99,Remove,Reviewer 99
REV-0100,Account 100,Role 100,System 100,Retain,Reviewer 100
REV-0101,Account 101,Role 101,System 101,Reduce,Reviewer 101
REV-0102,Account 102,Role 102,System 102,Retain,Reviewer 102
REV-0103,Account 103,Role 103,System 103,Retain,Reviewer 103
REV-0104,Account 104,Role 104,System 104,Retain,Reviewer 104
REV-0105,Account 105,Role 105,System 105,Reduce,Reviewer 105
REV-0106,Account 106,Role 106,System 106,Remove,Reviewer 106
REV-0107,Account 107,Role 107,System 107,Remove,Reviewer 107
REV-0108,Account 108,Role 108,System 108,Retain,Reviewer 108
REV-0109,Account 109,Role 109,System 109,Retain,Reviewer 109
REV-0110,Account 110,Role 110,System 110,Retain,Reviewer 110
REV-0111,Account 111,Role 111,System 111,Reduce,Reviewer 111
REV-0112,Account 112,Role 112,System 112,Remove,Reviewer 112
REV-0113,Account 113,Role 113,System 113,Reduce,Reviewer 113
REV-0114,Account 114,Role 114,System 114,Retain,Reviewer 114
REV-0115,Account 115,Role 115,System 115,Retain,Reviewer 115
REV-0116,Account 116,Role 116,System 116,Retain,Reviewer 116
REV-0117,Account 117,Role 117,System 117,Reduce,Reviewer 117
REV-0118,Account 118,Role 118,System 118,Reduce,Reviewer 118
REV-0119,Account 119,Role 119,System 119,Reduce,Reviewer 119
REV-0120,Account 120,Role 120,System 120,Retain,Reviewer 120
REV-0121,Account 121,Role 121,System 121,Reduce,Reviewer 121
REV-0122,Account 122,Role 122,System 122,Remove,Reviewer 122
REV-0123,Account 123,Role 123,System 123,Reduce,Reviewer 123
REV-0124,Account 124,Role 124,System 124,Retain,Reviewer 124
REV-0125,Account 125,Role 125,System 125,Reduce,Reviewer 125
REV-0126,Account 126,Role 126,System 126,Reduce,Reviewer 126
REV-0127,Account 127,Role 127,System 127,Retain,Reviewer 127
REV-0128,Account 128,Role 128,System 128,Retain,Reviewer 128
REV-0129,Account 129,Role 129,System 129,Reduce,Reviewer 129
REV-0130,Account 130,Role 130,System 130,Reduce,Reviewer 130
REV-0131,Account 131,Role 131,System 131,Reduce,Reviewer 131
REV-0132,Account 132,Role 132,System 132,Reduce,Reviewer 132
REV-0133,Account 133,Role 133,System 133,Reduce,Reviewer 133
REV-0134,Account 134,Role 134,System 134,Remove,Reviewer 134
REV-0135,Account 135,Role 135,System 135,Reduce,Reviewer 135
REV-0136,Account 136,Role 136,System 136,Retain,Reviewer 136
REV-0137,Account 137,Role 137,System 137,Reduce,Reviewer 137
REV-0138,Account 138,Role 138,System 138,Retain,Reviewer 138
REV-0139,Account 139,Role 139,System 139,Retain,Reviewer 139
REV-0140,Account 140,Role 140,System 140,Reduce,Reviewer 140
REV-0141,Account 141,Role 141,System 141,Remove,Reviewer 141
REV-0142,Account 142,Role 142,System 142,Retain,Reviewer 142
REV-0143,Account 143,Role 143,System 143,Remove,Reviewer 143
REV-0144,Account 144,Role 144,System 144,Remove,Reviewer 144
REV-0145,Account 145,Role 145,System 145,Reduce,Reviewer 145
REV-0146,Account 146,Role 146,System 146,Reduce,Reviewer 146
REV-0147,Account 147,Role 147,System 147,Retain,Reviewer 147
REV-0148,Account 148,Role 148,System 148,Retain,Reviewer 148
REV-0149,Account 149,Role 149,System 149,Retain,Reviewer 149
REV-0150,Account 150,Role 150,System 150,Remove,Reviewer 150
REV-0151,Account 151,Role 151,System 151,Reduce,Reviewer 151
REV-0152,Account 152,Role 152,System 152,Retain,Reviewer 152
REV-0153,Account 153,Role 153,System 153,Retain,Reviewer 153
REV-0154,Account 154,Role 154,System 154,Remove,Reviewer 154
REV-0155,Account 155,Role 155,System 155,Retain,Reviewer 155
REV-0156,Account 156,Role 156,System 156,Reduce,Reviewer 156
REV-0157,Account 157,Role 157,System 157,Reduce,Reviewer 157
REV-0158,Account 158,Role 158,System 158,Retain,Reviewer 158
REV-0159,Account 159,Role 159,System 159,Remove,Reviewer 159
REV-0160,Account 160,Role 160,System 160,Reduce,Reviewer 160
REV-0161,Account 161,Role 161,System 161,Reduce,Reviewer 161
REV-0162,Account 162,Role 162,System 162,Retain,Reviewer 162
REV-0163,Account 163,Role 163,System 163,Retain,Reviewer 163
REV-0164,Account 164,Role 164,System 164,Remove,Reviewer 164
REV-0165,Account 165,Role 165,System 165,Reduce,Reviewer 165
REV-0166,Account 166,Role 166,System 166,Reduce,Reviewer 166
REV-0167,Account 167,Role 167,System 167,Reduce,Reviewer 167
REV-0168,Account 168,Role 168,System 168,Remove,Reviewer 168
REV-0169,Account 169,Role 169,System 169,Reduce,Reviewer 169
REV-0170,Account 170,Role 170,System 170,Remove,Reviewer 170
REV-0171,Account 171,Role 171,System 171,Reduce,Reviewer 171
REV-0172,Account 172,Role 172,System 172,Remove,Reviewer 172
REV-0173,Account 173,Role 173,System 173,Retain,Reviewer 173
REV-0174,Account 174,Role 174,System 174,Retain,Reviewer 174
REV-0175,Account 175,Role 175,System 175,Reduce,Reviewer 175
REV-0176,Account 176,Role 176,System 176,Remove,Reviewer 176
REV-0177,Account 177,Role 177,System 177,Retain,Reviewer 177
REV-0178,Account 178,Role 178,System 178,Remove,Reviewer 178
REV-0179,Account 179,Role 179,System 179,Remove,Reviewer 179
REV-0180,Account 180,Role 180,System 180,Remove,Reviewer 180
