server,month,critical_missing,important_missing,compliance_pct,reboot_required
SRV-004,2026-02,0,2,96,Yes
SRV-005,2026-02,0,1,98,No
SRV-006,2026-02,0,0,100,No
SRV-007,2026-02,0,0,100,No
SRV-008,2026-02,1,2,92,Yes
SRV-009,2026-02,0,1,98,No
SRV-010,2026-02,0,2,96,Yes
SRV-011,2026-02,0,1,98,No
SRV-012,2026-02,1,0,96,No
SRV-013,2026-02,0,0,100,No
SRV-014,2026-02,0,2,96,Yes
SRV-015,2026-02,0,2,96,Yes
SRV-016,2026-02,0,1,98,No
SRV-017,2026-02,0,0,100,No
SRV-018,2026-02,0,1,98,No
SRV-019,2026-02,0,0,100,No
SRV-020,2026-02,0,0,100,No
SRV-021,2026-02,0,0,100,No
SRV-022,2026-02,0,0,100,No
SRV-023,2026-02,1,0,96,No
SRV-024,2026-02,0,1,98,No
SRV-025,2026-02,1,0,96,No
SRV-026,2026-02,0,0,100,No
SRV-027,2026-02,0,2,96,Yes
SRV-028,2026-02,1,2,92,Yes
SRV-029,2026-02,1,0,96,No
SRV-030,2026-02,0,1,98,No
SRV-031,2026-02,0,2,96,Yes
SRV-032,2026-02,1,1,94,Yes
SRV-033,2026-02,0,0,100,No
SRV-034,2026-02,0,2,96,Yes
SRV-035,2026-02,0,0,100,No
SRV-036,2026-02,0,1,98,No
SRV-037,2026-02,0,0,100,No
SRV-038,2026-02,0,0,100,No
SRV-039,2026-02,0,1,98,No
SRV-040,2026-02,0,1,98,No
SRV-041,2026-02,0,1,98,No
SRV-042,2026-02,0,1,98,No
SRV-043,2026-02,0,0,100,No
SRV-044,2026-02,0,0,100,No
SRV-045,2026-02,0,0,100,No
SRV-046,2026-02,0,0,100,No
SRV-047,2026-02,0,1,98,No
SRV-048,2026-02,0,2,96,Yes
SRV-049,2026-02,0,2,96,Yes
SRV-050,2026-02,0,1,98,No
SRV-051,2026-02,1,0,96,No
SRV-052,2026-02,1,1,94,Yes
SRV-053,2026-02,1,0,96,No
SRV-054,2026-02,0,0,100,No
SRV-055,2026-02,1,2,92,Yes
SRV-056,2026-02,1,2,92,Yes
SRV-057,2026-02,0,1,98,No
SRV-058,2026-02,0,1,98,No
SRV-059,2026-02,0,1,98,No
SRV-060,2026-02,1,0,96,No
SRV-061,2026-02,0,0,100,No
SRV-062,2026-02,0,0,100,No
SRV-063,2026-02,1,0,96,No
SRV-064,2026-02,0,2,96,Yes
SRV-065,2026-02,0,0,100,No
SRV-066,2026-02,0,0,100,No
SRV-067,2026-02,0,2,96,Yes
SRV-068,2026-02,1,0,96,No
SRV-069,2026-02,0,1,98,No
SRV-070,2026-02,0,0,100,No
SRV-071,2026-02,0,2,96,Yes
SRV-072,2026-02,1,2,92,Yes
SRV-073,2026-02,0,2,96,Yes
SRV-074,2026-02,0,0,100,No
SRV-075,2026-02,1,2,92,Yes
SRV-076,2026-02,0,0,100,No
SRV-077,2026-02,0,0,100,No
SRV-078,2026-02,0,1,98,No
SRV-079,2026-02,1,2,92,Yes
SRV-080,2026-02,0,0,100,No
SRV-001,2026-03,0,2,96,Yes
SRV-002,2026-03,0,1,98,No
SRV-003,2026-03,0,2,96,Yes
SRV-004,2026-03,0,0,100,No
SRV-005,2026-03,1,0,96,No
SRV-006,2026-03,0,1,98,No
SRV-007,2026-03,0,0,100,No
SRV-008,2026-03,1,2,92,Yes
SRV-009,2026-03,0,0,100,No
SRV-010,2026-03,0,0,100,No
SRV-011,2026-03,1,1,94,Yes
SRV-012,2026-03,0,1,98,No
SRV-013,2026-03,0,0,100,No
SRV-014,2026-03,1,0,96,No
SRV-015,2026-03,0,0,100,No
SRV-016,2026-03,0,1,98,No
SRV-017,2026-03,1,2,92,Yes
SRV-018,2026-03,0,0,100,No
SRV-019,2026-03,0,1,98,No
SRV-020,2026-03,0,2,96,Yes
SRV-021,2026-03,0,1,98,No
SRV-022,2026-03,1,1,94,Yes
SRV-023,2026-03,1,0,96,No
SRV-024,2026-03,0,1,98,No
SRV-025,2026-03,0,2,96,Yes
SRV-026,2026-03,0,0,100,No
SRV-027,2026-03,1,1,94,Yes
SRV-028,2026-03,0,0,100,No
SRV-029,2026-03,1,0,96,No
SRV-030,2026-03,1,0,96,No
SRV-031,2026-03,0,0,100,No
SRV-032,2026-03,0,0,100,No
SRV-033,2026-03,0,2,96,Yes
SRV-034,2026-03,0,2,96,Yes
SRV-035,2026-03,0,2,96,Yes
SRV-036,2026-03,0,2,96,Yes
SRV-037,2026-03,1,0,96,No
SRV-038,2026-03,0,0,100,No
SRV-039,2026-03,0,2,96,Yes
SRV-040,2026-03,1,1,94,Yes
SRV-041,2026-03,0,2,96,Yes
SRV-042,2026-03,0,1,98,No
SRV-043,2026-03,0,2,96,Yes
SRV-044,2026-03,0,0,100,No
SRV-045,2026-03,0,1,98,No
SRV-046,2026-03,0,1,98,No
SRV-047,2026-03,0,0,100,No
SRV-048,2026-03,1,1,94,Yes
SRV-049,2026-03,1,1,94,Yes
SRV-050,2026-03,0,1,98,No
SRV-051,2026-03,0,2,96,Yes
SRV-052,2026-03,1,1,94,Yes
SRV-053,2026-03,0,1,98,No
SRV-054,2026-03,0,1,98,No
SRV-055,2026-03,0,1,98,No
SRV-056,2026-03,1,1,94,Yes
SRV-057,2026-03,1,0,96,No
SRV-058,2026-03,0,1,98,No
SRV-059,2026-03,0,0,100,No
SRV-060,2026-03,0,0,100,No
SRV-061,2026-03,0,0,100,No
SRV-062,2026-03,0,0,100,No
SRV-063,2026-03,0,0,100,No
SRV-064,2026-03,1,1,94,Yes
SRV-065,2026-03,1,0,96,No
SRV-066,2026-03,0,0,100,No
SRV-067,2026-03,0,2,96,Yes
SRV-068,2026-03,1,2,92,Yes
SRV-069,2026-03,0,1,98,No
SRV-070,2026-03,0,1,98,No
SRV-071,2026-03,0,0,100,No
SRV-072,2026-03,0,0,100,No
SRV-073,2026-03,0,2,96,Yes
SRV-074,2026-03,0,0,100,No
SRV-075,2026-03,1,2,92,Yes
SRV-076,2026-03,0,1,98,No
SRV-077,2026-03,0,0,100,No
SRV-078,2026-03,0,0,100,No
SRV-079,2026-03,0,1,98,No
SRV-080,2026-03,1,2,92,Yes
SRV-001,2026-04,0,2,96,Yes
SRV-002,2026-04,0,0,100,No
SRV-003,2026-04,0,1,98,No
SRV-004,2026-04,0,2,96,Yes
SRV-005,2026-04,0,0,100,No
SRV-006,2026-04,0,1,98,No
SRV-007,2026-04,0,0,100,No
SRV-008,2026-04,0,2,96,Yes
SRV-009,2026-04,1,1,94,Yes
SRV-010,2026-04,0,2,96,Yes
SRV-011,2026-04,0,0,100,No
SRV-012,2026-04,0,2,96,Yes
SRV-013,2026-04,0,0,100,No
SRV-014,2026-04,0,1,98,No
SRV-015,2026-04,1,0,96,No
SRV-016,2026-04,1,1,94,Yes
SRV-017,2026-04,0,1,98,No
SRV-018,2026-04,0,1,98,No
SRV-019,2026-04,0,0,100,No
SRV-020,2026-04,0,0,100,No
SRV-021,2026-04,1,1,94,Yes
SRV-022,2026-04,0,2,96,Yes
SRV-023,2026-04,0,0,100,No
SRV-024,2026-04,0,1,98,No
SRV-025,2026-04,0,0,100,No
SRV-026,2026-04,0,2,96,Yes
SRV-027,2026-04,0,2,96,Yes
SRV-028,2026-04,0,2,96,Yes
SRV-029,2026-04,1,0,96,No
SRV-030,2026-04,0,0,100,No
SRV-031,2026-04,1,1,94,Yes
SRV-032,2026-04,0,0,100,No
SRV-033,2026-04,0,0,100,No
SRV-034,2026-04,0,0,100,No
SRV-035,2026-04,0,2,96,Yes
SRV-036,2026-04,0,0,100,No
SRV-037,2026-04,1,0,96,No
SRV-038,2026-04,1,0,96,No
SRV-039,2026-04,1,0,96,No
SRV-040,2026-04,1,2,92,Yes
SRV-041,2026-04,0,2,96,Yes
SRV-042,2026-04,0,0,100,No
SRV-043,2026-04,1,1,94,Yes
SRV-044,2026-04,0,0,100,No
SRV-045,2026-04,0,0,100,No
SRV-046,2026-04,1,1,94,Yes
SRV-047,2026-04,0,0,100,No
SRV-048,2026-04,0,2,96,Yes
SRV-049,2026-04,0,1,98,No
SRV-050,2026-04,1,0,96,No
SRV-051,2026-04,0,2,96,Yes
SRV-052,2026-04,0,2,96,Yes
SRV-053,2026-04,1,2,92,Yes
SRV-054,2026-04,1,0,96,No
SRV-055,2026-04,0,1,98,No
SRV-056,2026-04,0,0,100,No
SRV-057,2026-04,1,0,96,No
SRV-058,2026-04,0,0,100,No
SRV-059,2026-04,0,1,98,No
SRV-060,2026-04,1,2,92,Yes
SRV-061,2026-04,1,0,96,No
SRV-062,2026-04,0,2,96,Yes
SRV-063,2026-04,0,0,100,No
SRV-064,2026-04,0,0,100,No
SRV-065,2026-04,0,0,100,No
SRV-066,2026-04,1,0,96,No
SRV-067,2026-04,0,0,100,No
SRV-068,2026-04,0,0,100,No
SRV-069,2026-04,0,2,96,Yes
SRV-070,2026-04,0,0,100,No
SRV-071,2026-04,0,2,96,Yes
SRV-072,2026-04,1,0,96,No
SRV-073,2026-04,0,0,100,No
SRV-074,2026-04,0,1,98,No
SRV-075,2026-04,0,1,98,No
SRV-076,2026-04,0,0,100,No
SRV-077,2026-04,0,0,100,No
SRV-078,2026-04,0,2,96,Yes
SRV-079,2026-04,0,1,98,No
SRV-080,2026-04,0,0,100,No
SRV-001,2026-05,1,2,92,Yes
SRV-002,2026-05,0,1,98,No
SRV-003,2026-05,1,1,94,Yes
SRV-004,2026-05,1,2,92,Yes
SRV-005,2026-05,0,1,98,No
SRV-006,2026-05,1,0,96,No
SRV-007,2026-05,1,0,96,No
SRV-008,2026-05,0,1,98,No
SRV-009,2026-05,0,2,96,Yes
SRV-010,2026-05,0,2,96,Yes
SRV-011,2026-05,1,0,96,No
SRV-012,2026-05,1,0,96,No
SRV-013,2026-05,0,0,100,No
SRV-014,2026-05,0,0,100,No
SRV-015,2026-05,1,1,94,Yes
SRV-016,2026-05,0,0,100,No
SRV-017,2026-05,0,1,98,No
SRV-018,2026-05,1,0,96,No
SRV-019,2026-05,0,0,100,No
SRV-020,2026-05,0,2,96,Yes
SRV-021,2026-05,0,1,98,No
SRV-022,2026-05,0,0,100,No
SRV-023,2026-05,0,0,100,No
SRV-024,2026-05,0,2,96,Yes
SRV-025,2026-05,0,0,100,No
SRV-026,2026-05,1,0,96,No
SRV-027,2026-05,0,1,98,No
SRV-028,2026-05,1,2,92,Yes
SRV-029,2026-05,0,1,98,No
SRV-030,2026-05,0,1,98,No
SRV-031,2026-05,1,2,92,Yes
SRV-032,2026-05,0,2,96,Yes
SRV-033,2026-05,0,0,100,No
SRV-034,2026-05,0,1,98,No
SRV-035,2026-05,1,0,96,No
SRV-036,2026-05,0,0,100,No
SRV-037,2026-05,0,1,98,No
SRV-038,2026-05,1,1,94,Yes
SRV-039,2026-05,0,0,100,No
SRV-040,2026-05,0,0,100,No
SRV-041,2026-05,1,0,96,No
SRV-042,2026-05,1,1,94,Yes
SRV-043,2026-05,0,2,96,Yes
SRV-044,2026-05,1,2,92,Yes
SRV-045,2026-05,0,1,98,No
SRV-046,2026-05,0,0,100,No
SRV-047,2026-05,1,0,96,No
SRV-048,2026-05,0,0,100,No
SRV-049,2026-05,0,0,100,No
SRV-050,2026-05,0,2,96,Yes
SRV-051,2026-05,0,0,100,No
SRV-052,2026-05,0,0,100,No
SRV-053,2026-05,0,0,100,No
SRV-054,2026-05,1,1,94,Yes
SRV-055,2026-05,0,2,96,Yes
SRV-056,2026-05,1,0,96,No
SRV-057,2026-05,0,2,96,Yes
SRV-058,2026-05,0,0,100,No
SRV-059,2026-05,0,1,98,No
SRV-060,2026-05,0,2,96,Yes
SRV-061,2026-05,0,0,100,No
SRV-062,2026-05,0,0,100,No
SRV-063,2026-05,0,0,100,No
SRV-064,2026-05,0,1,98,No
SRV-065,2026-05,0,2,96,Yes
SRV-066,2026-05,0,1,98,No
SRV-067,2026-05,1,2,92,Yes
SRV-068,2026-05,0,0,100,No
SRV-069,2026-05,0,0,100,No
SRV-070,2026-05,0,0,100,No
SRV-071,2026-05,1,2,92,Yes
SRV-072,2026-05,1,2,92,Yes
SRV-073,2026-05,0,0,100,No
SRV-074,2026-05,0,0,100,No
SRV-075,2026-05,1,2,92,Yes
SRV-076,2026-05,0,0,100,No
SRV-077,2026-05,0,0,100,No
SRV-078,2026-05,0,2,96,Yes
SRV-079,2026-05,0,0,100,No
SRV-080,2026-05,0,1,98,No
SRV-001,2026-06,0,0,100,No
SRV-002,2026-06,0,0,100,No
SRV-003,2026-06,0,0,100,No
SRV-004,2026-06,1,0,96,No
SRV-005,2026-06,0,0,100,No
SRV-006,2026-06,0,2,96,Yes
SRV-007,2026-06,0,2,96,Yes
SRV-008,2026-06,0,0,100,No
SRV-009,2026-06,0,0,100,No
SRV-010,2026-06,0,2,96,Yes
SRV-011,2026-06,0,0,100,No
SRV-012,2026-06,0,2,96,Yes
SRV-013,2026-06,0,0,100,No
SRV-014,2026-06,0,2,96,Yes
SRV-015,2026-06,1,0,96,No
SRV-016,2026-06,0,2,96,Yes
SRV-017,2026-06,1,0,96,No
SRV-018,2026-06,1,0,96,No
SRV-019,2026-06,0,0,100,No
SRV-020,2026-06,0,0,100,No
SRV-021,2026-06,0,0,100,No
SRV-022,2026-06,1,0,96,No
SRV-023,2026-06,1,1,94,Yes
SRV-024,2026-06,0,0,100,No
SRV-025,2026-06,0,0,100,No
SRV-026,2026-06,0,2,96,Yes
SRV-027,2026-06,0,1,98,No
SRV-028,2026-06,0,0,100,No
SRV-029,2026-06,0,0,100,No
SRV-030,2026-06,1,2,92,Yes
SRV-031,2026-06,1,0,96,No
SRV-032,2026-06,0,0,100,No
SRV-033,2026-06,0,0,100,No
SRV-034,2026-06,0,2,96,Yes
SRV-035,2026-06,0,1,98,No
SRV-036,2026-06,1,2,92,Yes
SRV-037,2026-06,0,0,100,No
SRV-038,2026-06,0,2,96,Yes
SRV-039,2026-06,0,0,100,No
SRV-040,2026-06,0,1,98,No
SRV-041,2026-06,0,2,96,Yes
SRV-042,2026-06,0,0,100,No
SRV-043,2026-06,0,2,96,Yes
SRV-044,2026-06,0,2,96,Yes
SRV-045,2026-06,0,2,96,Yes
SRV-046,2026-06,0,1,98,No
SRV-047,2026-06,0,0,100,No
SRV-048,2026-06,1,0,96,No
SRV-049,2026-06,1,0,96,No
SRV-050,2026-06,0,1,98,No
SRV-051,2026-06,0,2,96,Yes
SRV-052,2026-06,0,2,96,Yes
SRV-053,2026-06,0,2,96,Yes
SRV-054,2026-06,0,2,96,Yes
SRV-055,2026-06,0,1,98,No
SRV-056,2026-06,0,0,100,No
SRV-057,2026-06,1,1,94,Yes
SRV-058,2026-06,0,2,96,Yes
SRV-059,2026-06,0,1,98,No
SRV-060,2026-06,1,0,96,No
SRV-061,2026-06,0,2,96,Yes
SRV-062,2026-06,0,2,96,Yes
SRV-063,2026-06,0,0,100,No
SRV-064,2026-06,0,0,100,No
SRV-065,2026-06,0,2,96,Yes
SRV-066,2026-06,0,2,96,Yes
SRV-067,2026-06,0,0,100,No
SRV-068,2026-06,1,2,92,Yes
SRV-069,2026-06,0,1,98,No
SRV-070,2026-06,0,1,98,No
SRV-071,2026-06,0,2,96,Yes
SRV-072,2026-06,1,0,96,No
SRV-073,2026-06,1,2,92,Yes
SRV-074,2026-06,1,2,92,Yes
SRV-075,2026-06,0,1,98,No
SRV-076,2026-06,0,0,100,No
SRV-077,2026-06,0,1,98,No
SRV-078,2026-06,0,0,100,No
SRV-079,2026-06,1,1,94,Yes
SRV-080,2026-06,1,0,96,No
