certificate_id,subject,template,issuer,expires_on,days_remaining,renewal_status
CERT-0028,CN=service028.lab.local,Computer,LAB-Issuing-CA,2028-03-07,595,Valid
CERT-0029,CN=service029.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-05-15,664,Valid
CERT-0030,CN=service030.lab.local,Computer,LAB-Issuing-CA,2027-07-24,368,Valid
CERT-0031,CN=service031.lab.local,Computer,LAB-Issuing-CA,2027-04-04,257,Valid
CERT-0032,CN=service032.lab.local,Computer,LAB-Issuing-CA,2027-11-19,486,Valid
CERT-0033,CN=service033.lab.local,Web Server,LAB-Issuing-CA,2028-01-02,530,Valid
CERT-0034,CN=service034.lab.local,Web Server,LAB-Issuing-CA,2027-06-27,341,Valid
CERT-0035,CN=service035.lab.local,Computer,LAB-Issuing-CA,2026-12-06,138,Valid
CERT-0036,CN=service036.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-11-30,497,Valid
CERT-0037,CN=service037.lab.local,Computer,LAB-Issuing-CA,2027-08-07,382,Valid
CERT-0038,CN=service038.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-05-17,666,Valid
CERT-0039,CN=service039.lab.local,Computer,LAB-Issuing-CA,2028-04-23,642,Valid
CERT-0040,CN=service040.lab.local,User,LAB-Issuing-CA,2027-02-11,205,Valid
CERT-0041,CN=service041.lab.local,User,LAB-Issuing-CA,2026-09-04,45,Renew Soon
CERT-0042,CN=service042.lab.local,Web Server,LAB-Issuing-CA,2026-11-06,108,Valid
CERT-0043,CN=service043.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-12-29,161,Valid
CERT-0044,CN=service044.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-08-23,398,Valid
CERT-0045,CN=service045.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-05-15,298,Valid
CERT-0046,CN=service046.lab.local,Computer,LAB-Issuing-CA,2028-01-07,535,Valid
CERT-0047,CN=service047.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-08-03,378,Valid
CERT-0048,CN=service048.lab.local,User,LAB-Issuing-CA,2027-11-08,475,Valid
CERT-0049,CN=service049.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-12-06,138,Valid
CERT-0050,CN=service050.lab.local,User,LAB-Issuing-CA,2026-07-23,2,Renew Soon
CERT-0051,CN=service051.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-10-13,449,Valid
CERT-0052,CN=service052.lab.local,User,LAB-Issuing-CA,2028-06-04,684,Valid
CERT-0053,CN=service053.lab.local,Web Server,LAB-Issuing-CA,2028-01-04,532,Valid
CERT-0054,CN=service054.lab.local,User,LAB-Issuing-CA,2026-10-18,89,Valid
CERT-0055,CN=service055.lab.local,User,LAB-Issuing-CA,2027-09-26,432,Valid
CERT-0056,CN=service056.lab.local,User,LAB-Issuing-CA,2027-06-19,333,Valid
CERT-0057,CN=service057.lab.local,Web Server,LAB-Issuing-CA,2027-04-10,263,Valid
CERT-0058,CN=service058.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-03-29,251,Valid
CERT-0059,CN=service059.lab.local,Computer,LAB-Issuing-CA,2027-10-26,462,Valid
CERT-0060,CN=service060.lab.local,Computer,LAB-Issuing-CA,2028-05-29,678,Valid
CERT-0061,CN=service061.lab.local,User,LAB-Issuing-CA,2027-12-25,522,Valid
CERT-0062,CN=service062.lab.local,Computer,LAB-Issuing-CA,2028-06-03,683,Valid
CERT-0063,CN=service063.lab.local,Web Server,LAB-Issuing-CA,2027-05-27,310,Valid
CERT-0064,CN=service064.lab.local,Web Server,LAB-Issuing-CA,2028-05-29,678,Valid
CERT-0065,CN=service065.lab.local,Web Server,LAB-Issuing-CA,2026-09-18,59,Valid
CERT-0066,CN=service066.lab.local,Web Server,LAB-Issuing-CA,2027-09-05,411,Valid
CERT-0067,CN=service067.lab.local,Web Server,LAB-Issuing-CA,2027-12-30,527,Valid
CERT-0068,CN=service068.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-06-11,691,Valid
CERT-0069,CN=service069.lab.local,Computer,LAB-Issuing-CA,2027-07-05,349,Valid
CERT-0070,CN=service070.lab.local,User,LAB-Issuing-CA,2027-04-27,280,Valid
CERT-0071,CN=service071.lab.local,Web Server,LAB-Issuing-CA,2027-01-24,187,Valid
CERT-0072,CN=service072.lab.local,Web Server,LAB-Issuing-CA,2026-08-04,14,Renew Soon
CERT-0073,CN=service073.lab.local,Computer,LAB-Issuing-CA,2026-09-07,48,Valid
CERT-0074,CN=service074.lab.local,Web Server,LAB-Issuing-CA,2028-03-15,603,Valid
CERT-0075,CN=service075.lab.local,Web Server,LAB-Issuing-CA,2026-11-10,112,Valid
CERT-0076,CN=service076.lab.local,Computer,LAB-Issuing-CA,2028-03-21,609,Valid
CERT-0077,CN=service077.lab.local,Computer,LAB-Issuing-CA,2027-07-30,374,Valid
CERT-0078,CN=service078.lab.local,Computer,LAB-Issuing-CA,2026-11-01,103,Valid
CERT-0079,CN=service079.lab.local,User,LAB-Issuing-CA,2027-03-27,249,Valid
CERT-0080,CN=service080.lab.local,Web Server,LAB-Issuing-CA,2027-11-01,468,Valid
CERT-0081,CN=service081.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-04-25,644,Valid
CERT-0082,CN=service082.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-04-20,273,Valid
CERT-0083,CN=service083.lab.local,User,LAB-Issuing-CA,2028-06-18,698,Valid
CERT-0084,CN=service084.lab.local,Computer,LAB-Issuing-CA,2027-03-31,253,Valid
CERT-0085,CN=service085.lab.local,User,LAB-Issuing-CA,2026-09-24,65,Valid
CERT-0086,CN=service086.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-09-12,53,Valid
CERT-0087,CN=service087.lab.local,User,LAB-Issuing-CA,2027-08-12,387,Valid
CERT-0088,CN=service088.lab.local,User,LAB-Issuing-CA,2026-09-10,51,Valid
CERT-0089,CN=service089.lab.local,Computer,LAB-Issuing-CA,2027-04-08,261,Valid
CERT-0090,CN=service090.lab.local,Web Server,LAB-Issuing-CA,2027-10-05,441,Valid
CERT-0091,CN=service091.lab.local,Computer,LAB-Issuing-CA,2027-11-26,493,Valid
CERT-0092,CN=service092.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-03-26,614,Valid
CERT-0093,CN=service093.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-01-09,172,Valid
CERT-0094,CN=service094.lab.local,Computer,LAB-Issuing-CA,2026-10-30,101,Valid
CERT-0095,CN=service095.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-01-15,543,Valid
CERT-0096,CN=service096.lab.local,Web Server,LAB-Issuing-CA,2027-02-19,213,Valid
CERT-0097,CN=service097.lab.local,User,LAB-Issuing-CA,2027-10-06,442,Valid
CERT-0098,CN=service098.lab.local,Web Server,LAB-Issuing-CA,2026-10-24,95,Valid
CERT-0099,CN=service099.lab.local,Web Server,LAB-Issuing-CA,2026-09-23,64,Valid
CERT-0100,CN=service100.lab.local,User,LAB-Issuing-CA,2028-02-16,575,Valid
CERT-0101,CN=service101.lab.local,Web Server,LAB-Issuing-CA,2027-10-10,446,Valid
CERT-0102,CN=service102.lab.local,Computer,LAB-Issuing-CA,2027-12-02,499,Valid
CERT-0103,CN=service103.lab.local,Web Server,LAB-Issuing-CA,2028-05-09,658,Valid
CERT-0104,CN=service104.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-08-18,28,Renew Soon
CERT-0105,CN=service105.lab.local,Computer,LAB-Issuing-CA,2027-04-09,262,Valid
CERT-0106,CN=service106.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-06-13,327,Valid
CERT-0107,CN=service107.lab.local,Web Server,LAB-Issuing-CA,2028-02-19,578,Valid
CERT-0108,CN=service108.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-12-20,517,Valid
CERT-0109,CN=service109.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-11-12,479,Valid
CERT-0110,CN=service110.lab.local,Web Server,LAB-Issuing-CA,2027-08-28,403,Valid
CERT-0111,CN=service111.lab.local,Computer,LAB-Issuing-CA,2028-01-15,543,Valid
CERT-0112,CN=service112.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-07-14,-7,Expired
CERT-0113,CN=service113.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-06-15,695,Valid
CERT-0114,CN=service114.lab.local,User,LAB-Issuing-CA,2026-11-12,114,Valid
CERT-0115,CN=service115.lab.local,User,LAB-Issuing-CA,2027-06-17,331,Valid
CERT-0116,CN=service116.lab.local,Web Server,LAB-Issuing-CA,2027-08-25,400,Valid
CERT-0117,CN=service117.lab.local,Web Server,LAB-Issuing-CA,2028-04-18,637,Valid
CERT-0118,CN=service118.lab.local,User,LAB-Issuing-CA,2027-07-20,364,Valid
CERT-0119,CN=service119.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-10-01,72,Valid
CERT-0120,CN=service120.lab.local,Computer,LAB-Issuing-CA,2027-05-03,286,Valid
CERT-0121,CN=service121.lab.local,Web Server,LAB-Issuing-CA,2027-01-07,170,Valid
CERT-0122,CN=service122.lab.local,Computer,LAB-Issuing-CA,2027-08-08,383,Valid
CERT-0123,CN=service123.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-05-13,296,Valid
CERT-0124,CN=service124.lab.local,User,LAB-Issuing-CA,2026-10-28,99,Valid
CERT-0125,CN=service125.lab.local,Web Server,LAB-Issuing-CA,2027-11-21,488,Valid
CERT-0126,CN=service126.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2028-04-18,637,Valid
CERT-0127,CN=service127.lab.local,Computer,LAB-Issuing-CA,2027-01-21,184,Valid
CERT-0128,CN=service128.lab.local,Computer,LAB-Issuing-CA,2026-08-16,26,Renew Soon
CERT-0129,CN=service129.lab.local,Computer,LAB-Issuing-CA,2026-08-05,15,Renew Soon
CERT-0130,CN=service130.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-11-23,490,Valid
CERT-0131,CN=service131.lab.local,User,LAB-Issuing-CA,2026-09-13,54,Valid
CERT-0132,CN=service132.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-12-04,501,Valid
CERT-0133,CN=service133.lab.local,Web Server,LAB-Issuing-CA,2026-07-27,6,Renew Soon
CERT-0134,CN=service134.lab.local,Web Server,LAB-Issuing-CA,2027-06-23,337,Valid
CERT-0135,CN=service135.lab.local,Web Server,LAB-Issuing-CA,2027-06-21,335,Valid
CERT-0136,CN=service136.lab.local,Web Server,LAB-Issuing-CA,2027-08-30,405,Valid
CERT-0137,CN=service137.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-02-12,206,Valid
CERT-0138,CN=service138.lab.local,Computer,LAB-Issuing-CA,2028-06-04,684,Valid
CERT-0139,CN=service139.lab.local,Computer,LAB-Issuing-CA,2028-02-24,583,Valid
CERT-0140,CN=service140.lab.local,Web Server,LAB-Issuing-CA,2026-09-22,63,Valid
CERT-0141,CN=service141.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-12-02,134,Valid
CERT-0142,CN=service142.lab.local,Web Server,LAB-Issuing-CA,2028-05-10,659,Valid
CERT-0143,CN=service143.lab.local,Web Server,LAB-Issuing-CA,2027-11-05,472,Valid
CERT-0144,CN=service144.lab.local,Computer,LAB-Issuing-CA,2027-03-16,238,Valid
CERT-0145,CN=service145.lab.local,Computer,LAB-Issuing-CA,2026-07-25,4,Renew Soon
CERT-0146,CN=service146.lab.local,Web Server,LAB-Issuing-CA,2028-04-18,637,Valid
CERT-0147,CN=service147.lab.local,Web Server,LAB-Issuing-CA,2027-05-21,304,Valid
CERT-0148,CN=service148.lab.local,Computer,LAB-Issuing-CA,2027-10-21,457,Valid
CERT-0149,CN=service149.lab.local,Web Server,LAB-Issuing-CA,2028-03-07,595,Valid
CERT-0150,CN=service150.lab.local,Web Server,LAB-Issuing-CA,2026-10-27,98,Valid
